id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
271819,0,0,0,0,0,0,1,1,0,0
274128,0,0,0,0,0,0,0,0,1,500
274138,0,0,0,0,0,0,1,1,0,0
340334,0,0,0,0,0,0,1,1,0,0
382588,0,0,0,0,0,0,1,5,0,0
274122,0,0,0,0,0,0,0,0,1,500
274189,0,0,0,0,0,0,1,1,0,0
362370,0,0,0,0,0,0,1,1,0,0
100554,0,0,0,0,0,0,1,1,0,0
126153,0,0,0,0,0,0,1,5,0,0
126158,0,0,0,0,0,0,1,5,0,0
147492,0,0,0,0,0,0,1,2,0,0
147493,0,0,0,0,0,0,1,5,0,0
223298,0,0,0,0,0,0,1,1,0,0
223305,0,0,0,0,0,0,1,5,0,0
276758,0,0,0,0,0,0,1,1,0,0
382031,0,0,0,0,0,0,1,5,0,0
390352,0,0,0,0,0,0,1,1,0,0
410895,0,0,0,0,0,0,0,0,1,17
255502,0,0,0,0,0,0,1,15,0,0
271820,0,0,0,0,0,0,1,1,0,0
276934,0,0,0,0,0,0,1,1,0,0
302774,0,0,0,0,0,0,1,5,0,0
319637,0,0,0,0,0,0,1,5,0,0
340335,0,0,0,0,0,0,1,1,0,0
357356,0,0,0,0,0,0,1,1,0,0
361068,0,0,0,0,0,0,1,1,0,0
147491,0,0,0,0,0,0,1,1,0,0
267277,0,0,0,0,0,0,1,1,0,0
274139,0,0,0,0,0,0,1,5,0,0
374731,0,0,0,0,0,0,1,5,0,0
401856,0,0,0,0,0,0,1,5,0,0
256684,1,450,0,0,0,0,0,0,0,0
256686,1,450,0,0,0,0,0,0,0,0
256688,1,450,0,0,0,0,0,0,0,0
297077,1,270,0,0,0,0,0,0,0,0
384890,1,520,0,0,0,0,0,0,0,0
384891,1,425,0,0,0,0,0,0,0,0
213256,0,0,0,0,0,0,1,1,0,0
274118,0,0,0,0,0,0,1,1,0,0
332068,0,0,0,0,0,0,1,1,0,0
339272,0,0,0,0,0,0,1,2,0,0
364845,0,0,0,0,0,0,1,2,0,0
401933,0,0,0,0,0,0,1,1,0,0
409838,0,0,0,0,0,0,1,1,0,0
364248,0,0,0,0,0,0,0,0,1,500
387888,0,0,0,0,0,0,0,0,1,250
387890,0,0,0,0,0,0,0,0,1,500
387894,0,0,0,0,0,0,0,0,1,500
390353,0,0,0,0,0,0,0,0,1,500
396258,0,0,0,0,0,0,0,0,1,500
416250,0,0,0,0,0,0,0,0,1,250
274153,0,0,0,0,0,0,1,5,0,0
274190,0,0,0,0,0,0,1,1,0,0
276756,0,0,0,0,0,0,1,1,0,0
304557,0,0,0,0,0,0,1,1,0,0
274124,0,0,0,0,0,0,0,0,1,500
274129,0,0,0,0,0,0,0,0,1,500
172917,0,0,1,1,0,0,0,0,0,0
261815,0,0,0,0,0,0,1,1,0,0
364842,0,0,0,0,0,0,0,0,1,250
364921,0,0,0,0,0,0,0,0,1,200
364922,0,0,0,0,0,0,0,0,1,500
253566,0,0,0,0,0,0,1,5,0,0
261374,0,0,0,0,0,0,1,5,0,0
274125,0,0,0,0,0,0,1,5,0,0
276757,0,0,0,0,0,0,1,1,0,0
298198,0,0,0,0,0,0,1,1,0,0
329297,0,0,0,0,0,0,1,1,0,0
350253,0,0,0,0,0,0,1,1,0,0
374732,0,0,0,0,0,0,1,5,0,0
402728,0,0,0,0,0,0,1,1,0,0
402737,0,0,0,0,0,0,1,1,0,0
249540,0,0,0,0,0,0,1,5,0,0
261373,0,0,0,0,0,0,1,1,0,0
267279,0,0,0,0,0,0,1,1,0,0
303974,0,0,0,0,0,0,1,1,0,0
328881,0,0,0,0,0,0,1,1,0,0
378447,0,0,0,0,0,0,1,1,0,0
393276,0,0,0,0,0,0,1,1,0,0
416253,0,0,0,0,0,0,1,1,0,0
416254,0,0,0,0,0,0,1,2,0,0
422497,0,0,0,0,0,0,1,5,0,0
256685,1,450,0,0,0,0,0,0,0,0
256687,1,450,0,0,0,0,0,0,0,0
257852,1,90,0,0,0,0,0,0,0,0
257853,1,90,0,0,0,0,0,0,0,0
275201,1,450,0,0,0,0,0,0,0,0
330193,1,90,0,0,0,0,0,0,0,0
335225,1,225,0,0,0,0,0,0,0,0
337000,1,850,0,0,0,0,0,0,0,0
337002,1,850,0,0,0,0,0,0,0,0
253562,0,0,0,0,0,0,1,1,0,0
255499,0,0,0,0,0,0,1,1,0,0
