id,original_price,sell_price,variations_types,stocks,size
LLAS01,2100,2058,[],100,0
LLAS02,3999,3920,[],100,0
LLAW01,799,784,[],100,0
LLBC1401,4491,4402,[],100,0
LLBC2001,6999,6860,[],100,0
LLBC2601,7499,7350,[],100,0
LLBC2701,9999,9800,[],100,0
LLBC2702,12999,12740,[],100,0
LLBM01,9000,8820,[],100,0
LLCF119,2000,1960,[],100,0
LLDC18,2499,2450,[],100,0
LLDI10,999,980,[],100,0
LLEB101,9999,9800,[],100,0
LLEB102,10999,10780,[],100,0
LLEB103,10999,10780,[],100,0
LLEB104,11499,11270,[],100,0
LLF45,24999,24500,[],100,0
LLGS23,6500,6370,[],100,0
LLGS303,8500,8330,[],100,0
LLGS930,6400,6272,[],100,0
LLGS99,3000,2940,[],100,0
LLHBZ01,2500,2450,[],100,0
LLHBZ04,3000,2940,[],100,0
LLHBZ05,5000,4900,[],100,0
LLHF421,7500,7350,[],100,0
LLHFD421,10000,9800,[],100,0
LLM18,12250,12005,[],100,0
LLM234,14000,13720,[],100,0
LLM306,5000,4900,[],100,0
LLMG73,3300,3234,[],100,0
LLMG93A,2999,2940,[],100,0
LLOT23,4500,4410,[],100,0
LLPC420,1600,1568,[],100,0
LLPCM03,1000,980,[],100,0
LLPCM17,2100,2058,[],100,0
LLPCW30,1200,1176,[],100,0
LLPVCD01,499,490,[],100,0
LLSBSR505,70000,68600,[],100,0
LLSR01,600,588,[],100,0
LLTM09,41000,40180,[],100,0
LLYM04,2000,1960,[],100,0
LLYM05,2000,1960,[],100,0
