id,name,status,sub_cate_id
16922,bike accessories,1,138
16923,helmet,1,137
16924,gloves,1,138
16925,jacket,1,149
16926,side box ,1,150
16927,automotive accessories,1,138
16928,studds thunder,1,138
16929,biker helmet,1,137
16930,clothing and accessories,1,149
16931,riding jacket,1,149
16932,cruiser box,1,150
16933,explorer box,1,150
16934,vault box,1,150
16935,top case,1,150
16936,safari box,1,150
16937,studds helmet,1,137
16938,studds riding jacket,1,149
16939,studds cruiser box,1,150
16940,studds explorer box,1,150
16941,studds vault box,1,150
16942,studds top case,1,150
16943,studds safari box,1,150
16944,studds gloves,1,138
16945,home kitchen items,1,111
16946,home improvement products,1,111
16947,lifelong,1,111
16948,bread maker,1,111
16949,gas stove,1,111
16950,hand blender,1,111
16951,air flyer,1,111
16952,mixer grinder,1,111
16953,oven,1,111
16954,oven toaster,1,111
16955,oven griller,1,111
16956,pressure cooker,1,111
16957,lifelong bred maker,1,111
16958,lifelong gas stove,1,111
16959,lifelong hand blender,1,111
16960,lifelong air flyer,1,111
16961,lifelong mixer grinder,1,111
16962,lifelong oven,1,111
16963,lifelong oven toaster,1,111
16964,lifelong oven griller,1,111
16965,lifelong pressure cooker,1,111
16966,ceiling fan,1,68
16967,electric toothbrush,1,68
16968,dry iron,1,68
16969,nose trimmer,1,68
16970,hair clipper,1,68
16971,eyebrow trimmer,1,68
16972,underarms trimmer,1,68
16973,refrigerator,1,68
16974,life long ceiling fan,1,68
16975,life long electric toothbrush,1,68
16976,life long dry iron,1,68
16977,life long nose trimmer,1,68
16978,life long hair clipper,1,68
16979,life long eyebrow trimmer,1,68
16980,life long underarms trimmer,1,68
16981,life long refrigerator,1,68
16982,sports items,1,124
16983,sports fitness,1,124
16984,cycles,1,151
16985,fitness accessories,1,124
16986,aerobics stepper,1,124
16987,skipping rope,1,124
16988,ankle weights,1,124
16989,ride cycle junior,1,151
16990,tribe cycle,1,151
16991,escape 26t cycle,1,151
16992,escape 27.5 t cycle,1,151
16993,falcon 27.5 t disc brake cycle,1,151
16994,air bike,1,151
16995,spin exercise bike,1,151
16996,air pressure massager,1,124
16997,pain relief massager,1,124
16998,electric foot machine,1,124
16999,dumbbells red ,1,124
17000,motorized treadmill,1,124
17001,yoga exercise mat,1,124
17002,lifelong sports items,1,124
17003,lifelong sports fitness,1,124
17004,lifelong cycles,1,151
17005,lifelong fitness accessories,1,124
17006,lifelong aerobics stepper,1,124
17007,lifelong skipping rope,1,124
17008,lifelong ankle weights,1,124
17009,lifelong ride cycle junior,1,124
17010,lifelong tribe cycle,1,151
17011,lifelong escape 26t cycle,1,151
17012,lifelong escape 27.5 t cycle,1,151
17013,lifelong falcon 27.5 t disc brake cycle,1,151
17014,lifelong air bike,1,151
17015,lifelong spin exercise bike,1,151
17016,lifelong air pressure massager,1,124
17017,lifelong pain relief massager,1,124
17018,lifelong electric foot machine,1,124
17019,lifelong dumbbells red ,1,124
17020,lifelong motorized treadmill,1,124
17021,lifelong yoga exercise mat,1,124
