id,tags
LLAS01,16983|16982|16985|16947|16986|17006|17003|17002|17005
LLAS02,16983|16982|16985|16947|16987|17007|17003|17002|17005
LLAW01,16983|16982|16985|16947|16988|17008|17003|17002|17005
LLBC1401,16983|16982|16984|16947|16989|17009|17004|17003|17002|17005
LLBC2001,16983|16982|16984|16947|16990|17010|17004|17003|17002|17005
LLBC2601,16983|16982|16984|16947|16991|17011|17004|17003|17002|17005
LLBC2701,16983|16982|16984|16947|16992|17012|17004|17003|17002|17005
LLBC2702,16983|16982|16984|16947|16993|17013|17004|17003|17002|17005
LLBM01,16945|16946|16947|16948|16957
LLCF119,14044|16947|16966|16974
LLDC18,14044|16947|16967|16975
LLDI10,14044|16947|16968|16976
LLEB101,16983|16982|16984|16947|16994|17014|17004|17003|17002|17005
LLEB102,16983|16982|16984|16947|16994|17014|17004|17003|17002|17005
LLEB103,16983|16982|16984|16947|16994|17014|17004|17003|17002|17005
LLEB104,16983|16982|16984|16947|16994|17014|17004|17003|17002|17005
LLF45,16983|16982|16985|16947|16995|17015|17016|17003|17002|17005
LLGS23,16945|16946|16947|16949|16958
LLGS303,16945|16946|16947|16949|16958
LLGS930,16945|16946|16947|16949|16958
LLGS99,16945|16946|16947|16949|16958
LLHBZ01,16945|16946|16947|16950|16959
LLHBZ04,16945|16946|16947|16950|16959
LLHBZ05,16945|16946|16947|16950|16959
LLHF421,16945|16946|16947|16951|16960
LLHFD421,16945|16946|16947|16951|16960
LLM18,16983|16982|16984|16947|16996|17016|17004|17003|17002|17005
LLM234,16983|16982|16985|16947|16997|17017|16997|17003|17002|17005
LLM306,16983|16982|16985|16947|16998|17018|17003|17002|17005
LLMG73,16945|16946|16947|16952|16961
LLMG93A,16945|16946|16947|16952|16961
LLOT23,16945|16946|16947|16953|16954|16955|16962|16963|16964
LLPC420,16945|16946|16947|16956|16965
LLPCM03,14044|16947|16969|16977
LLPCM17,14044|16947|16970|16978
LLPCW30,14044|16947|16971|16972|16979|16980
LLPVCD01,16983|16982|16985|16947|16999|17019|17003|17002|17005
LLSBSR505,14044|16947|16973|16981
LLSR01,16983|16982|16985|16947|16987|17007|17003|17002|17005
LLTM09,16983|16982|16985|16947|17000|17020|17003|17002|17005
LLYM04,16983|16982|16985|16947|17001|17021|17003|17002|17005
LLYM05,16983|16982|16985|16947|17001|17021|17003|17002|17005
