id,original_price,sell_price,variations_types,stocks,size
SB0001,61,60,500|1000|2000|3000|4000|5000,100,1
SB0002,38,37,500|1000|2000|3000|4000|5000,100,1
SB0004,173,170,500|1000|2000|3000|4000|5000,100,1
SB0005,74,73,500|1000|2000|3000|4000|5000,100,1
SB0006,41,41,500|1000|2000|3000|4000|5000,0,1
SB0007,61,60,500|1000|2000|3000|4000|5000,0,1
SB0008,50,49,500|1000|2000|3000|4000|5000,100,1
SB0009,242,238,100|200|300|400|500|600|700|800|900|1000,0,1
SB0010,162,159,500|1000|2000|3000|4000|5000,0,1
SB0011,44,44,500|1000|2000|3000|4000|5000,100,1
SB0012,138,135,500|1000|2000|3000|4000|5000,100,1
SB0013,83,81,500|1000|2000|3000|4000|5000,100,1
SB0014,103,101,500|1000|2000|3000|4000|5000,100,1
SB0015,58,57,500|1000|2000|3000|4000|5000,100,1
SB0016,128,126,500|1000|2000|3000|4000|5000,0,1
SB0017,109,107,500|1000|2000|3000|4000|5000,100,1
SB0018,87,86,500|1000|2000|3000|4000|5000,100,1
SB0019,127,125,500|1000|2000|3000|4000|5000,100,1
SB0020,104,102,500|1000|2000|3000|4000|5000,100,1
SB0021,142,140,500|1000|2000|3000|4000|5000,100,1
SB0022,92,92,500|1000|2000|3000|4000|5000,0,1
SB0023,150,147,500|1000|2000|3000|4000|5000,0,1
SB0024,127,125,500|1000|2000|3000|4000|5000,0,1
SB0026,156,153,500|1000|2000|3000|4000|5000,0,1
SB0027,156,153,500|1000|2000|3000|4000|5000,0,1
SB0028,109,107,500|1000|2000|3000|4000|5000,0,1
SB0029,127,115,500|1000|2000|3000|4000|5000,0,1
SB0030,109,107,500|1000|2000|3000|4000|5000,100,1
SB0031,44,44,500|1000|2000|3000|4000|5000,0,1
SB0032,107,105,500|1000|2000|3000|4000|5000,100,1
SB0033,44,44,500|1000|2000|3000|4000|5000,100,1
SB0034,146,143,500|1000|2000|3000|4000|5000,100,1
SB0035,42,38,500|1000|2000|3000|4000|5000,0,1
SB0003,39,38,500|1000|2000|3000|4000|5000,100,1
SB0025,42,42,500|1000|2000|3000|4000|5000,100,1
SB0036,120,118,500|1000|2000|3000|4000|5000,100,1
