id,original_price,sell_price,variations_types,stocks,size
MGM2133BIN,5050,4949,[],100,0
MGM2133RIN,5050,4949,[],100,0
MGM4334BIN,5790,5675,[],100,0
MGM4334RIN,6270,6145,[],100,0
MGM6644BIN,8320,8154,[],100,0
MGM6644WIN,8220,8056,[],100,0
MGM8642BIN,9840,9644,[],100,0
MFQ22100,3890,3813,[],100,0
MFQ3555,7460,7311,[],100,0
MCM3501MIN,12890,12633,[],100,0
MS-ACTN2-BLK,29999,29400,[],100,0
MS-ACTN2-BRN,29999,29400,[],100,0
MS-ACTN2-WHT,29999,29400,[],100,0
MS-EMBRN-BLK,17499,17150,[],100,0
MS-EMBRN-BLKBR,17499,17150,[],100,0
MS-EMBRN-CR,17499,17150,[],100,0
MS-EMBRN-FR,17499,17150,[],100,0
MS-KLBN2-BLK,31999,31360,[],100,0
MS-KLBN2-BRNDY,31999,31360,[],100,0
MS-KLBN2-GRY,31999,31360,[],100,0
MS-KLBN2-BBRS,31999,31360,[],100,0
MS-MAJ3BT-BLK,12999,12740,[],100,0
MS-MAJ3BT-BRN,12999,12740,[],100,0
MS-MAJ3BT-WHT,12999,12740,[],100,0
MS-MAJ3VG-BLK,14999,14700,[],100,0
MS-MAJIVBT-BLK,14999,14700,[],100,0
MS-MIDANCBT-BLACK,24999,24500,[],100,0
MS-MIDBT-BLK,14499,14210,[],100,0
MS-MIN2BT-BLK,10999,10780,[],100,0
MS-MIN2BT-BRN,10999,10780,[],100,0
MS-MIN2BT-WHT,10999,10780,[],100,0
MS-MODEQ-BLK,6299,6174,[],100,0
MS-MODE-BLK,4499,4410,[],100,0
MS-MNTRBT-BLK,17999,17640,[],100,0
MS-MNTRIIANC-BLK,29999,29400,[],100,0
MS-STMR2-BLK,39999,39200,[],100,0
MS-STMR2-BRN,39999,39200,[],100,0
MS-STMR2-WHT,39999,39200,[],100,0
MS-STWL2-BLK,24999,24500,[],100,0
MS-STWL2-BLKBR,24999,24500,[],100,0
MS-STWL2-BRNDY,24999,24500,[],100,0
MS-STWL2-GREY,24999,24500,[],100,0
MS-TFT-BLK,47999,47040,[],100,0
MS-UXBRGA-BLK,24999,24500,[],100,0
MS-UXBRGA-WHT,24999,24500,[],100,0
MS-UXBRVG-BLK,24999,24500,[],100,0
MS-WBRN2-BLK,54999,53900,[],100,0
MS-WBRN2-BRN,54999,53900,[],100,0
MS-WBRN2-WHT,54999,53900,[],100,0
KH_131SR,1349,1323,[],100,0
KH_2035,5399,5292,[],100,0
KH_20635B,8999,8820,[],100,0
KH_54PC,499,490,[],100,0
KH_66825,1199,1176,[],100,0
KH_8015,599,588,[],100,0
KH_BCTK,799,784,[],100,0
KH_BMTC,649,637,[],100,0
KH_BSNK,5499,5390,[],100,0
KH_CCRC,2099,2058,[],100,0
KH_CMNA,1699,1666,[],100,0
KH_CMT,2199,2156,[],100,0
KH_DB12,799,784,[],100,0
KH_DB15,1099,1078,[],100,0
KH_DB17,1299,1274,[],100,0
KH_DDPS,1099,1078,[],100,0
KH_DSGB,599,588,[],100,0
KH_DSMK,1899,1862,[],100,0
KH_FOTM,1499,1470,[],100,0
KH_GSCR,2599,2548,[],100,0
KH_HEQ,6499,6370,[],100,0
KH_HF4PS,499,490,[],100,0
KH_HG298,3999,3920,[],100,0
KH_HURB,799,784,[],100,0
KH_HVFC,599,588,[],100,0
KH_INT44,1299,1274,[],100,0
KH_LHX16,4199,4116,[],100,0
KH_MFG,1999,1960,[],100,0
KH_OFRC,3799,3724,[],100,0
KH_PC,749,735,[],100,0
KH_PHFS,849,833,[],100,0
KH_PPBD,1299,1274,[],100,0
KH_PSRC,4399,4312,[],100,0
KH_RCRR,2599,2548,[],100,0
KH_RRCC,3599,3528,[],100,0
KH_SB,699,686,[],100,0
KH_SPDS,1299,1274,[],100,0
KH_TCLC,5599,5488,[],100,0
KH_UFO,549,539,[],100,0
PUP-WC-34WH,1290,1265,[],100,0
PUP-WC-34BK,1290,1265,[],100,0
PUP-TCPDWC,1890,1853,[],100,0
PUP-TCPD20W,1790,1755,[],100,0
PUP-TCMWC,4990,4891,[],100,0
PUP-WCSET,2699,2646,[],100,0
PUP-LEDWC-34WH,1690,1657,[],100,0
PUP-WTA-SIL,1990,1951,[],100,0
PUP-WTA-BLK,1990,1951,[],100,0
FB-4IN1-12GRY,1690,1657,[],100,0
PUP-CNL-30BK,1990,1951,[],100,0
PUP-NT3N1-15BK,1790,1755,[],100,0
PUP-12CM3IN1-BK,1690,1657,[],100,0
PUP-RBKY-12BK,1990,1951,[],100,0
PUP-MUC-15BK,690,677,[],100,0
FB-FTCTL-12BKRED,1290,1265,[],100,0
FB-FLC-15BK,990,971,[],100,0
PUP-USBHC4N1,4490,4401,[],100,0
PUP-USBHC5N1,3990,3911,[],100,0
PUP-USBHC8N1,8490,8321,[],100,0
PUP-USBHC9N1,8990,8811,[],100,0
PUP-USBHC,7490,7341,[],100,0
PUP-USBHCC,8490,8321,[],100,0
PUP-4N1WCS,4990,4891,[],100,0
PUP-WLCF15W,3490,3421,[],100,0
PUP-3C10K-BLK,3990,3911,[],100,0
PUP-3C10K-WHT,3990,3911,[],100,0
PUP-SPB-10K-WHT,3490,3421,[],100,0
PUP-PB78-DOG,2990,2931,[],100,0
PUP-PB78-CHAPLIN,2990,2931,[],100,0
PUP-PMMPB10K-BLK,4490,4401,[],100,0
PUP-PMMPB10K-RED,4490,4401,[],100,0
PUP-PMMPB10K-BLU,4490,4401,[],100,0
PUP-PMPB10K,2690,2637,[],100,0
PUP-MPB5K-GMT,2990,2931,[],100,0
PUP-MPB10K-GMT,3990,3911,[],100,0
PUP-MPB10K-SIL,3990,3911,[],100,0
PUP-PB10KGRY,3490,3421,[],100,0
PUP-PB10KGRN,3490,3421,[],100,0
PUP-PB6KGRY,2490,2441,[],100,0
FB-FLC-15BKRED,990,971,[],100,0
FB-BEP-12BLK,690,677,[],100,0
FB-BEP-12WHT,690,677,[],100,0
FB-FTCC-15BK,790,775,[],100,0
FB-FTCC-15BKRED,790,775,[],100,0
FB-RLC-15BK,790,775,[],100,0
FB-RLC-15BL,790,775,[],100,0
FB-RTCC-15BK,790,775,[],100,0
FB-RTCC-15BL,790,775,[],100,0
GR-CP-IPTGST102,8870,8693,[],100,0
GR-CP-IPTGST109,9270,9085,[],100,0
GR-CP-IPTGST11,9170,8987,[],100,0
GR-CS-13CLWC,5280,5175,[],100,0
GR-CS-13CL20WWC,7070,6929,[],100,0
GR-CS-13CLTG20W,5570,5459,[],100,0
GR-CROC13-BLK,2990,2931,[],100,0
GR-CROC13-BRN,2990,2931,[],100,0
GR-CROC13-CML,2990,2931,[],100,0
GR-CROC13-GRN,2990,2931,[],100,0
GR-CROCF13-BLK,2990,2931,[],100,0
GR-CROCF13-BRN,2990,2931,[],100,0
GR-CROCF13-CML,2990,2931,[],100,0
GR-CROCF13-GRN,2990,2931,[],100,0
GR-BLT13-BLK,3290,3225,[],100,0
GR-BLT13-BLU,3290,3225,[],100,0
GR-BLT13-GRN,3290,3225,[],100,0
GR-BLT13-CYAN,3290,3225,[],100,0
GR-BLT13-RED,3290,3225,[],100,0
GR-GRA13-CML,3690,3617,[],100,0
GR-GRA13-BKCML,3690,3617,[],100,0
GR-GRA13-BLUCML,3690,3617,[],100,0
GR-LEC13-BLK,3290,3225,[],100,0
GR-LEC13-GRY,3290,3225,[],100,0
GR-LEC13-BLU,3290,3225,[],100,0
GR-HUG13-BLK,3990,3911,[],100,0
GR-RBN13-BLK,3690,3617,[],100,0
