id,name,status,sub_cate_id
17079,toys and games,1,126
17080,grip laptop bag,1,68
17081,speaker,1,68
17082,speaker in electronics,1,68
17083,marshall speaker,1,68
17084,headphone,1,68
17085,headphone in electronics,1,68
17086,earphone,1,68
17087,marshall earphone,1,68
17088,fulebox earphone,1,68
17089,tempered glass,1,68
17090,tempered glass in electronics,1,68
17091,grip tempered glass,1,68
17092,power bank in gripp,1,68
17093,power bank,1,68
17094,power bank in electronics,1,68
17095,power bank in power up,1,68
17096,charger cable,1,68
17097,power charger cable,1,68
17098,usb cable charge,1,68
17099,lighting cable in fule box,1,68
17100,c cable in fule box,1,68
17101,case combo in grip,1,68
17102,hd cable in 2m in power up,1,68
17103,hd cable in 3m in power up,1,68
17104,magic mobile phone stand in gripp,1,68
17105,bosch mixer grinder,1,68
17106,itoys educational solar robot kit,1,126
17107,itoys table foot ball game ,1,126
17108,bosch,1,152
17109,itoys wooden 54 blocks nuber building,1,126
17110,itoys ice cream ice cu8-2 sweets,1,126
17111,itoys limitless my building buuil construction,1,126
17112,itoys baby crawling cucra for,1,126
17113,itoys bubble making bubble muble toy,1,126
17114,itoys billiard snooker for kur k birthday,1,126
17115,itoys mad racing cross curos remote,1,126
17116,itoys cosmetic makeup art auand for,1,126
17117,itoys giant super cement mucon truck,1,126
17118,itoys magnetic dart board bukid kids,1,126
17119,itoys,1,126
17120,marshall,1,68
17121,itoys hayley baby doll duand play,1,126
17122,itoys toys pretend set sucto for,1,126
17123,itoys play doctor in ku me trolley,1,126
17124,itoys finger play play suall football,1,126
17125,itoys gravity sensing car cur w rc,1,126
17126,itoys hawk eye quadcopter rute  control,1,126
17127,itoys happy family pc fuppa peppa,1,126
17128,itoys ice hockey ice huice game,1,126
17129,itoys huanger roll ball bur k for,1,126
17130,itoys food heaven vegetable fuuit chopping,1,126
17131,itoys int-444 video portable puble usb,1,126
17132,itoys toy lh-x16 drone quter flying,1,126
17133,itoys mini football game tue s soccer,1,126
17134,itoys rock crawler control cumot tire,1,126
17135,itoys plastic chair,1,126
17136,itoys peppa pig happy family,1,126
17137,itoys pretty pram pretty baby doll,1,126
17138,itoys speed pioneer car toy,1,126
17139,itoys remote control racing rock,1,126
17140,itoys crawler extreme rock ruroc control,1,126
17141,itoys toy skate board,1,126
17142,itoys baby girl soft suoll for,1,126
17143,itoys twisted climber climber,1,126
17144,itoys magic balls,1,126
17145,fuel box cable,1,68
17146,fuel box,1,68
17147,gripp,1,68
17148,powerup,1,68
