id,original_price,sell_price,variations_types,stocks,size
368743,200,180,[],0,0
423167,100,60,[],100,0
424581,120,72,[],100,0
423168,205,123,[],100,0
423170,165,99,[],100,0
368742,110,93,[],100,0
420450,299,149,[],100,0
419777,150,90,[],100,0
420446,199,109,[],0,0
401672,999,699,[],100,0
419438,345,276,[],100,0
384205,1099,769,[],100,0
382050,700,490,[],100,0
382049,999,499,[],100,0
383630,350,192,[],0,0
284301,65,39,[],100,0
284272,65,35,[],100,0
284317,56,33,[],0,0
284308,65,39,[],100,0
284264,65,39,[],100,0
284319,67,40,[],100,0
279817,30,27,[],100,0
279822,28,25,[],100,0
279864,70,63,[],100,0
279813,70,63,[],100,0
406050,200,120,[],0,0
409838,899,449,[],100,0
401858,2899,1449,[],100,0
401857,3999,1999,[],100,0
387894,700,595,[],100,0
267277,1350,945,[],100,0
326624,2600,1430,[],100,0
302774,5500,3300,[],100,0
387890,750,637,[],100,0
330469,1400,980,[],100,0
424839,2700,1485,[],100,0
387892,375,300,[],100,0
387893,700,420,[],100,0
267276,1350,810,[],100,0
401856,3900,2145,[],100,0
339195,350,192,[],0,0
381846,280,196,[],0,0
102774,280,168,[],0,0
423825,2500,1000,[],100,0
307943,310,170,[],100,0
376908,115,69,[],100,0
423143,699,594,[],100,0
409815,699,594,[],100,0
409816,699,594,[],100,0
409820,1149,976,[],100,0
409818,1149,976,[],0,0
409819,1149,976,[],100,0
412256,1149,976,[],100,0
422302,315,173,[],100,0
408984,375,262,[],100,0
419570,155,108,[],100,0
284698,82,49,[],100,0
