id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
337627,0,0,0,0,0,0,0,0,1,122
337625,0,0,0,0,0,0,0,0,1,122
400263,0,0,0,0,0,0,0,0,1,17
411317,0,0,0,0,0,0,0,0,1,154
400689,0,0,0,0,0,0,0,0,1,200
400690,0,0,0,0,0,0,0,0,1,200
400691,0,0,0,0,0,0,0,0,1,200
400692,0,0,0,0,0,0,0,0,1,200
345597,0,0,0,0,0,0,0,0,1,135
345598,0,0,0,0,0,0,0,0,1,135
379676,0,0,0,0,0,0,0,0,1,17
345591,0,0,0,0,0,0,0,0,1,135
376903,0,0,0,0,0,0,0,0,1,135
403847,0,0,0,0,0,0,0,0,1,150
364714,0,0,0,0,0,0,0,0,1,120
382078,0,0,0,0,0,0,0,0,1,130
422395,0,0,0,0,0,0,0,0,1,120
261018,0,0,0,0,0,0,0,0,1,50
397986,0,0,0,0,0,0,0,0,1,100
304377,1,300,0,0,0,0,0,0,0,0
240156,1,400,0,0,0,0,0,0,0,0
240182,1,400,0,0,0,0,0,0,0,0
320657,1,100,0,0,0,0,0,0,0,0
335241,1,400,0,0,0,0,0,0,0,0
357810,1,300,0,0,0,0,0,0,0,0
358557,1,200,0,0,0,0,0,0,0,0
262270,0,0,0,0,1,72,0,0,0,0
273223,0,0,0,0,1,14,0,0,0,0
276402,0,0,0,0,1,16,0,0,0,0
292597,0,0,0,0,1,36,0,0,0,0
292607,0,0,0,0,1,52,0,0,0,0
292610,0,0,0,0,1,44,0,0,0,0
314324,0,0,0,0,1,50,0,0,0,0
320630,0,0,0,0,1,72,0,0,0,0
339021,0,0,0,0,1,18,0,0,0,0
339022,0,0,0,0,1,46,0,0,0,0
339023,0,0,0,0,1,36,0,0,0,0
339024,0,0,0,0,1,34,0,0,0,0
341487,0,0,0,0,1,34,0,0,0,0
369615,0,0,0,0,1,4,0,0,0,0
374957,0,0,0,0,1,1,0,0,0,0
374958,0,0,0,0,1,1,0,0,0,0
376437,0,0,0,0,1,76,0,0,0,0
385575,0,0,0,0,1,84,0,0,0,0
385577,0,0,0,0,1,56,0,0,0,0
396932,0,0,0,0,1,44,0,0,0,0
400936,0,0,0,0,1,28,0,0,0,0
409815,0,0,0,0,1,50,0,0,0,0
409816,0,0,0,0,1,34,0,0,0,0
409817,0,0,0,0,1,34,0,0,0,0
412256,0,0,0,0,1,56,0,0,0,0
413399,0,0,0,0,1,108,0,0,0,0
413400,0,0,0,0,1,98,0,0,0,0
413401,0,0,0,0,1,82,0,0,0,0
419528,0,0,0,0,1,5,0,0,0,0
425088,0,0,0,0,1,42,0,0,0,0
425089,0,0,0,0,1,32,0,0,0,0
425090,0,0,0,0,1,30,0,0,0,0
425091,0,0,0,0,1,24,0,0,0,0
385576,0,0,0,0,1,66,0,0,0,0
385578,0,0,0,0,1,48,0,0,0,0
396929,0,0,0,0,1,36,0,0,0,0
409818,0,0,0,0,1,76,0,0,0,0
409819,0,0,0,0,1,64,0,0,0,0
409820,0,0,0,0,1,86,0,0,0,0
413402,0,0,0,0,1,66,0,0,0,0
423142,0,0,0,0,1,22,0,0,0,0
