id,original_price,sell_price,variations_types,stocks,size
412271,225,215,[],26,0
412276,225,215,[],26,0
330758,199,160,[],26,0
421492,225,180,[],26,0
401775,199,160,[],26,0
391781,399,289,[],26,0
412266,225,215,[],26,0
419489,225,215,[],26,0
377949,499,491,[],26,0
377948,499,491,[],26,0
377941,499,491,[],26,0
425244,250,235,[],26,0
418655,250,239,[],26,0
425243,250,235,[],26,0
277936,399,375,[],26,0
408649,200,140,[],26,0
408650,200,140,[],26,0
386052,699,645,[],26,0
386053,699,645,[],26,0
386051,699,645,[],26,0
422395,299,279,[],26,0
377974,499,491,[],26,0
377943,499,491,[],26,0
377942,499,491,[],26,0
377945,499,491,[],26,0
385228,499,469,[],26,0
403540,299,287,[],26,0
403539,299,287,[],26,0
403531,299,287,[],26,0
403532,299,287,[],26,0
386075,990,923,[],26,0
421009,299,287,[],26,0
421108,299,287,[],26,0
419484,299,279,[],26,0
423040,525,369,[],26,0
423041,525,369,[],26,0
423042,525,369,[],26,0
265645,86,86,[],26,0
265643,86,86,[],26,0
320103,45,44,[],26,0
376154,231,231,[],26,0
388287,115,112,[],26,0
321767,135,135,[],26,0
266999,135,135,[],26,0
266996,135,135,[],26,0
320947,85,85,[],26,0
320950,85,85,[],26,0
296791,117,115,[],26,0
296789,117,115,[],26,0
413657,220,219,[],26,0
421058,229,229,[],26,0
421059,250,250,[],26,0
411509,191,191,[],26,0
424938,120,116,[],26,0
421632,200,200,[],26,0
421634,200,200,[],26,0
405664,350,344,[],26,0
414040,90,84,[],26,0
414038,90,84,[],26,0
402510,120,115,[],26,0
419214,175,171,[],26,0
420385,225,215,[],26,0
420386,252,241,[],26,0
422013,100,100,[],26,0
422015,100,100,[],26,0
415323,56,56,[],26,0
415325,56,56,[],26,0
419425,80,73,[],26,0
394959,295,290,[],26,0
265969,40,39,[],26,0
364917,319,314,[],26,0
280964,210,210,[],26,0
413949,125,112,[],26,0
413953,148,143,[],26,0
422521,55,46,[],26,0
422275,10,10,[],26,0
422524,35,35,[],26,0
398091,10,10,[],26,0
411365,30,30,[],26,0
376647,120,120,[],26,0
