id,name,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
227052,Ensure Vannila Flavour Health Drink 400G Pet Bottle,1,400,0,0,0,0,0,0,0,0
258403,Ensure Chocolate Flavour Health Drink 400G,1,400,0,0,0,0,0,0,0,0
305787,Protinex Original 400G Tin,1,400,0,0,0,0,0,0,0,0
305790,Protinex Vanilla Delight Flavour 250G Tin,1,250,0,0,0,0,0,0,0,0
305792,Protinex Vanilla Delight Flavour 400G,1,400,0,0,0,0,0,0,0,0
309773,Protinex Original Tin 250G,1,250,0,0,0,0,0,0,0,0
337056,Manna Badam Mix Instant Drink Mix 200G,1,200,0,0,0,0,0,0,0,0
343195,Manna Ragi Malt Tasty & Refreshing 200G,1,200,0,0,0,0,0,0,0,0
343476,Manna Satto Instant 500G,1,500,0,0,0,0,0,0,0,0
375612,Protinex Tasty Chocolate Flavour 250G Tin,1,250,0,0,0,0,0,0,0,0
400282,Protinex Original 750G Refill,1,750,0,0,0,0,0,0,0,0
406033,Himalaya Quista Kids Delicious Vanilla Flavour 200G Jar,1,200,0,0,0,0,0,0,0,0
406035,Himalaya Quista Kids Delicious Chocolate Flavour 200G Jar,1,200,0,0,0,0,0,0,0,0
412855,Horlicks Classic Malt 1Kg Refill,0,0,1,1,0,0,0,0,0,0
412859,Horlicks Chocolate Delight Flavour 500G Refill,1,500,0,0,0,0,0,0,0,0
412861,Horlicks Classic Malt 500G Refill,1,500,0,0,0,0,0,0,0,0
412869,Horlicks Chocolate Delight Flavour 1Kg Refill,0,0,1,1,0,0,0,0,0,0
412909,Horlicks Classic Malt 20G Pack 24 Sachets,1,20,0,0,0,0,0,0,0,0
412912,Horlicks Classic Malt 2Kg Container,0,0,1,2,0,0,0,0,0,0
412914,Horlicks Chocolate Delight Flavour 750G Pouch,1,750,0,0,0,0,0,0,0,0
412933,Horlicks Lite Badam Flavour 450G Refill,1,450,0,0,0,0,0,0,0,0
412943,Horlicks Lite Regular Malt Flavour 450G Jar,1,450,0,0,0,0,0,0,0,0
415173,Horlicks Classic Malt 500G Pouch,1,500,0,0,0,0,0,0,0,0
415175,"Boost Nutrition Drink - Health, Energy & Sports 500G Pouch",1,500,0,0,0,0,0,0,0,0
419358,Junior Horlicks Chocolate Flavour 500G Pouch,1,500,0,0,0,0,0,0,0,0
419361,Junior Horlicks Vanilla Flavour 500G Refill,1,500,0,0,0,0,0,0,0,0
419362,Junior Horlicks Vanilla Flavour 500G Jar,1,500,0,0,0,0,0,0,0,0
