id,name,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
100223,Kinley With Minerals Water 500Ml Pack Of 24,0,0,0,0,0,0,0,0,1,500
229794,Tropicana Mango Delight 1L,0,0,0,0,0,0,1,1,0,0
242060,Aquafina Drinking Water 1L Pack Of 12,0,0,0,0,0,0,1,1,0,0
265682,Kinley With Minerals Water 500Ml,0,0,0,0,0,0,0,0,1,500
265688,Tropicana Litchi Delight 200Ml,0,0,0,0,0,0,0,0,1,200
265696,Fanta Orange Flavoured 1.25L,0,0,0,0,0,0,1,1.25,0,0
265701,Tropicana Pineapple Delight 200Ml,0,0,0,0,0,0,0,0,1,200
265707,Thums Up 1.25L,0,0,0,0,0,0,1,1.25,0,0
265726,Coca Cola Original Taste 1.25L,0,0,0,0,0,0,1,1.25,0,0
265853,Real Pomegranate 1L,0,0,0,0,0,0,1,1,0,0
288922,Coca Cola Coke Original Taste 300Ml,0,0,0,0,0,0,0,0,1,300
288925,Sprite 300Ml Can,0,0,0,0,0,0,0,0,1,300
288926,Fanta Orange Flavour 300Ml Can,0,0,0,0,0,0,0,0,1,300
288927,Thums Up 300Ml Can,0,0,0,0,0,0,0,0,1,300
288928,Diet Coke Crisp Taste 300Ml Can,0,0,0,0,0,0,0,0,1,300
292388,Pepsi 250Ml Can Pack Of 24,0,0,0,0,0,0,0,0,1,250
292390,7 Up 250Ml Can Pack Of 24,0,0,0,0,0,0,0,0,1,250
329876,Kinley Soda 750Ml Pack Of 24,0,0,0,0,0,0,0,0,1,750
331401,Thums Up 750Ml Pack Of 24,0,0,0,0,0,0,0,0,1,750
331402,Sprite 750Ml Pack Of 24,0,0,0,0,0,0,0,0,1,750
332164,Sprite 750Ml ,0,0,0,0,0,0,0,0,1,750
332167,Limca Lime N Lemon 750Ml,0,0,0,0,0,0,0,0,1,750
332174,Fanta Orange Flavour 750Ml,0,0,0,0,0,0,0,0,1,750
332175,Coca Cola Original Taste 750Ml,0,0,0,0,0,0,0,0,1,750
332176,Coca Cola Original Taste 750Ml Pack Of 24,0,0,0,0,0,0,0,0,1,750
332177,Limca Lime N Lemon 750Ml Pack Of 24,0,0,0,0,0,0,0,0,1,750
332178,Fanta Orange Flavoured 750Ml Pack Of 24,0,0,0,0,0,0,0,0,1,750
343623,Coca Cola Original Taste 250Ml,0,0,0,0,0,0,0,0,1,250
346547,Coca Cola Original Taste 2.25L Pack Of 9,0,0,0,0,0,0,1,2.5,0,0
346549,Fanta Orange Flavoured 2.25L Pack Of 9,0,0,0,0,0,0,1,2.5,0,0
346550,Thums Up 2.25L Pack Of 9,0,0,0,0,0,0,1,2.5,0,0
346554,Coca Cola Original Taste 2.25L,0,0,0,0,0,0,1,2.5,0,0
346558,Fanta Orange Flavoured 2.25L,0,0,0,0,0,0,1,2.5,0,0
346559,Thums Up 2.25L,0,0,0,0,0,0,1,2.5,0,0
346561,Sprite 2.25L,0,0,0,0,0,0,1,2.5,0,0
352326,Real Active Mixed Fruit Juice 1L,0,0,0,0,0,0,1,1,0,0
353034,Sprite 1.75L Pack Of 12,0,0,0,0,0,0,1,1.75,0,0
353231,Sprite 1.75L,0,0,0,0,0,0,1,1.75,0,0
353288,Coca Cola Original Taste 1.75L,0,0,0,0,0,0,1,1.75,0,0
357190,B Natural Mixed Fruit Merry 180Ml,0,0,0,0,0,0,0,0,1,180
357850,Mirinda Orange Flavour 2.25L,0,0,0,0,0,0,1,2.25,0,0
359405,Thums Up 250Ml,0,0,0,0,0,0,0,0,1,250
365748,B Natural Mango 180Ml,0,0,0,0,0,0,0,0,1,180
366678,Real Wellnesz Jamun Plus 1L,0,0,0,0,0,0,1,1,0,0
367208,Bindu Fizz Jeera Masala 300Ml,0,0,0,0,0,0,0,0,1,300
367216,Bindu Fizz Jeera Masala 600Ml,0,0,0,0,0,0,0,0,1,600
367217,Bindu Fizz Jeera Masala 1L,0,0,0,0,0,0,1,1,0,0
371622,Bindu Fizz Jeera Masala 200Ml,0,0,0,0,0,0,0,0,1,200
379008,Pepsi 250Ml,0,0,0,0,0,0,0,0,1,250
379009,7 Up 250Ml,0,0,0,0,0,0,0,0,1,250
379010,Mirinda Orange Flavour 250Ml,0,0,0,0,0,0,0,0,1,250
379011,Mountain Dew 250Ml,0,0,0,0,0,0,0,0,1,250
384551,Limca Lime N Lemon 250Ml,0,0,0,0,0,0,0,0,1,250
393051,Fruzon Fizzy Lemon 200Ml,0,0,0,0,0,0,0,0,1,250
