id,name,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
257852,Weikfield Jelly Crystals Strawberry Flavour 90G Refill,1,90,0,0,0,0,0,0,0,0
257853,Weikfield Jelly Crystals Mango Flavour 90G,1,90,0,0,0,0,0,0,0,0
257862,Weikfield Corn Flour 500G Refill,1,500,0,0,0,0,0,0,0,0
257863,Weikfield Baking Powder 100G Jar,1,100,0,0,0,0,0,0,0,0
261687,Weikfield Cocoa Powder 150G Jar,1,150,0,0,0,0,0,0,0,0
284087,Weikfield Corn Flour 100G Refill,1,100,0,0,0,0,0,0,0,0
317131,Weikfield Cocoa Powder 50G Jar,1,50,0,0,0,0,0,0,0,0
330192,Weikfield Jelly Crystals Raspberry Flavour 90G Refill,1,90,0,0,0,0,0,0,0,0
388729,Weikfield Custard Powder Mango Flavour 75G Refill,1,75,0,0,0,0,0,0,0,0
106417,Everyday Heavy Duty Aaa 1012 1.5V Pack Of 10 Batteries,0,0,0,0,1,1,0,0,0,0
273620,Duracell Ultra Aaa 6 1.5V Pack Of 6 Batteries,0,0,0,0,1,1,0,0,0,0
273623,Duracell Ultra Aaa 4 1.5V Alkaline Pack Of 4 Batteries,0,0,0,0,1,1,0,0,0,0
375307,Everyday Heavy Duty Aa 1015 Mj Battery 1.5V Pack Of 10 Batteries,1,10,0,0,0,0,0,0,0,0
229636,Venkys Chicken Burger Party 1Kg,0,0,1,1,0,0,0,0,0,0
268713,Venkys Chicken Pops 1Kg,0,0,1,1,0,0,0,0,0,0
259837,Whiskas Ocean Fish Flavour With Milk Junior 2-12 Months 450G,1,450,0,0,0,0,0,0,0,0
259856,Whiskas Ocean Fish Flavour Adult 1+ Years 480G,1,480,0,0,0,0,0,0,0,0
265371,Whiskas Tuna Flavour Adult 1+ Years 1.2Kg,0,0,1,1.2,0,0,0,0,0,0
266156,Glenand Liver & Meat Dog Biscuits For Dogs Of All Breeds & Ages 700G,1,700,0,0,0,0,0,0,0,0
322932,Drools Real Chicken & Chicken Liver Chunks Gravy Adult 150G,1,150,0,0,0,0,0,0,0,0
322933,Drools Real Chicken & Chicken Liver Chunks Gravy Puppy 150G,1,150,0,0,0,0,0,0,0,0
351050,Pedigree Meat Jerky Roasted Lamb Flavour 80G,1,80,0,0,0,0,0,0,0,0
353634,Pedigree Chicken & Milk Puppy 6Kg Bag,0,0,1,6,0,0,0,0,0,0
353644,Pedigree Chicken & Vegetables Adult 6Kg Bag,0,0,1,6,0,0,0,0,0,0
353658,Pedigree Chicken & Vegetables Adult 90G,1,90,0,0,0,0,0,0,0,0
361006,Pedigree Dentate Daily Oral Care Triple Action 180G,1,180,0,0,0,0,0,0,0,0
380976,Pure Pet Ocean Fish Cat Adult 1.2Kg,0,0,1,12,0,0,0,0,0,0
392913,Pure Pet Biscuits With Real Chicken Milk Flavour 905G,1,905,0,0,0,0,0,0,0,0
392961,Pure Pet Chicken And Vegetables Puppy 1.1Kg,0,0,1,1.1,0,0,0,0,0,0
393065,Pure Pet Biscuits With Real Chicken Flavour 905G,1,905,0,0,0,0,0,0,0,0
405405,Drools Absolute Calcium Bone For Pets Pack Of 40 Pieces / 600G,1,600,0,0,0,0,0,0,0,0
415280,Pure Pet Munchy Sticks Chicken Flavour 400G,1,400,0,0,0,0,0,0,0,0
424931,Purina Super Coat With Chicken Puppy Up To 12 Months 3Kg,0,0,1,3,0,0,0,0,0,0
424939,Purina Friskies Seafood Sensations Adult 1.2Kg,0,0,1,1.2,0,0,0,0,0,0
424940,Purina Friskies Seafood Sensations Adult 3Kg,0,0,1,3,0,0,0,0,0,0
267629,Origami Kitchen Towels 2In1 2Ply,0,0,0,0,1,1,0,0,0,0
294223,Origami Non-Woven Kitchen Towels 80 Pulls,0,0,0,0,1,1,0,0,0,0
326875,Origami Kitchen Towels 4In1 2Ply,0,0,0,0,1,1,0,0,0,0
