id,name,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
104821,Amul Cheese Spread Punchy Pepper 200G,1,200,0,0,0,0,0,0,0,0
124871,Britannia Cheezza Cheese For Pizza 200G,1,200,0,0,0,0,0,0,0,0
137575,Milky Mist Paneer 1Kg Pouch,0,0,1,1,0,0,0,0,0,0
161897,Delicious Fat Spread 500G,1,500,0,0,0,0,0,0,0,0
161898,Delicious Fat Spread 100G,1,100,0,0,0,0,0,0,0,0
161899,Amul Masti Spiced Butter Milk 200Ml,0,0,0,0,0,0,0,0,1,200
213240,Nandini Toned Milk 1L,0,0,0,0,0,0,1,1,0,0
245001,Nandini Set Curd With Enriched Milk Solids 400G Cup,1,400,0,0,0,0,0,0,0,0
259985,Britannia Cake Gobbles Choco Chill Cake 115G,1,115,0,0,0,0,0,0,0,0
279588,Amul Malai Paneer Cubes 200G,1,200,0,0,0,0,0,0,0,0
281872,Britannia Cake Gobbles Fruity Fun Cake 115G,1,115,0,0,0,0,0,0,0,0
292401,Amul Cheese Processed 200G Block,1,200,0,0,0,0,0,0,0,0
320288,Milky Mist Cream Medium Fat 200G,1,200,0,0,0,0,0,0,0,0
325485,Britannia Cheesy Block Processed Food 1Kg,0,0,1,1,0,0,0,0,0,0
327660,Milky Mist Curd 1 Bucket,0,0,0,0,1,1,0,0,0,0
334397,Britannia Cake Gobbles Butter Blast 50G,1,50,0,0,0,0,0,0,0,0
334398,Britannia Cake Gobbles Milky Masti 50G,1,50,0,0,0,0,0,0,0,0
334399,Britannia Cake Gobbles Choco Chill Cake 50G,1,50,0,0,0,0,0,0,0,0
334400,Britannia Cake Gobbles Fruity Fun 50G,1,50,0,0,0,0,0,0,0,0
334401,Britannia Cake Gobbles Pineapple Plung 50G,1,50,0,0,0,0,0,0,0,0
334402,Britannia Cake Gobbles Orange Bites 50G,1,50,0,0,0,0,0,0,0,0
336835,Britannia Cake Nut & Raisin Romance 140G,1,140,0,0,0,0,0,0,0,0
357688,Britannia Cheese Cubes Classic 600G,1,600,0,0,0,0,0,0,0,0
365727,Nandini Spiced Butter Milk 200Ml,0,0,0,0,0,0,0,0,1,200
370393,Milky Mist Cooking Butter Unsalted 100G,1,100,0,0,0,0,0,0,0,0
370394,Milky Mist Table Butter Salted 100G,1,100,0,0,0,0,0,0,0,0
376499,Cream Pot Vanilla Magic 4L,0,0,0,0,0,0,1,4,0,0
376501,Cream Pot Butterscotch Fun 4L,0,0,0,0,0,0,1,4,0,0
393174,Modern Cake Wow Vanilla 55G,1,55,0,0,0,0,0,0,0,0
393185,Modern Cake Fruit Fusion 120G,1,120,0,0,0,0,0,0,0,0
416411,Elite Banana Pudding Cake Sliced 150G,1,150,0,0,0,0,0,0,0,0
205660,Ponds Bright Beauty Serum Cream Spotless Glow 50G,1,50,0,0,0,0,0,0,0,0
281465,Lakme Cleansing Milk Depp Cleanser Gentle Care 120Ml,0,0,0,0,0,0,0,0,1,120
286741,Vaseline Intensive Care Cocoa Glow Body Lotion 400Ml,0,0,0,0,0,0,0,0,1,400
299715,Clean & Clear Foaming Face Wash 100Ml,0,0,0,0,0,0,0,0,1,100
331365,Garnier Men Acno Fight Anti Pimple Face Wash 100G,1,100,0,0,0,0,0,0,0,0
331528,Joy Skin Fruits Fruit Moisturizing Skin Cream 50Ml,0,0,0,0,0,0,0,0,1,50
334571,Joy Pure Neem Skin Purifying Face Wash 100Ml,0,0,0,0,0,0,0,0,1,100
340126,Vlcc Natural Sciences Almond Honey Deep Nourishing Skin Brightening Body Lotion 350Ml,0,0,0,0,0,0,0,0,1,350
344521,Lotus Herbals Safe Sun Uv Screen Matte Gel 100G,1,100,0,0,0,0,0,0,0,0
345879,Garnier Men Turbo Bright Anti Pollution Doble Action Face Wash 50G,1,50,0,0,0,0,0,0,0,0
383534,Ponds Moisturizing Cream 6G Pack Of 64,1,6,0,0,0,0,0,0,0,0
409695,Vlcc Natural Sciences Ullimo Blends Charcoal Face Wash 100G,1,100,0,0,0,0,0,0,0,0
286536,Zandu Pancharishta Ayurvedic Digestive Tonic 450Ml,0,0,0,0,0,0,0,0,1,450
319335,Skore Condoms Assorted Colours & Dotted Shades 10N,0,0,0,0,1,1,0,0,0,0
412901,Eno Fruit Salt Lemon Flavour 6 Sachets 30G,1,30,0,0,0,0,0,0,0,0
279853,24 Mantra Organic Whole Wheat Atta 1Kg,0,0,1,1,0,0,0,0,0,0
301987,24 Mantra Organic Whole Wheat Atta 5Kg,0,0,1,5,0,0,0,0,0,0
301309,Jowar Flour 500G,1,500,0,0,0,0,0,0,0,0
399491,Whole Wheat Chakki Atta 1Kg,0,0,1,1,0,0,0,0,0,0
273071,Double Horse Rice Flour 1Kg ,0,0,1,1,0,0,0,0,0,0
387225,Double Horse Wheat Broken Fine 500G,1,500,0,0,0,0,0,0,0,0
269806,Double Horse Rice Flour 500G ,1,500,0,0,0,0,0,0,0,0
258588,Nutrella Soya Chunks 200G Cartoon,1,200,0,0,0,0,0,0,0,0
378384,Organic Tattva Wheat Flour 5Kg,0,0,1,5,0,0,0,0,0,0
402738,Pro Nature Organic Ragi Flour 500G,1,500,0,0,0,0,0,0,0,0
388092,Tata Sampann Urad Whole 500 G,1,500,0,0,0,0,0,0,0,0
392757,Urad Dal Split 1Kg,0,0,1,1,0,0,0,0,0,0
392779,Urad Dal Split 10Kg,0,0,1,10,0,0,0,0,0,0
392847,Urad Whole 10Kg,0,0,1,10,0,0,0,0,0,0
