id,name,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
333346,"Mccain Variety Pack Masala Fries, Smiles, Chilli Garlic Potato Fries 550G",1,550,0,0,1,1,0,0,0,0
342899,Godrej Real Good Yummiez Chicken Nuggets 500G,1,500,0,0,0,0,0,0,0,0
342900,Godrej Real Good Yummiez Chicken Nuggets 750G,1,750,0,0,0,0,0,0,0,0
418020,Mccain Emoti Bites Crispy Happy Potatoes 750G,1,750,0,0,0,0,0,0,0,0
423883,Indian Paratha Company Samosa Aloo Paratha 400G,1,400,0,0,0,0,0,0,0,0
423884,Indian Paratha Company Achari Masti Paratha 400G,1,400,0,0,0,0,0,0,0,0
122620,Kellogg'S Corn Flakes Original 475G,1,475,0,0,0,0,0,0,0,0
181594,Bagrrys Crunchy Muesli No Added Sugar Multi Grain 500G,1,500,0,0,0,0,0,0,0,0
221409,Barry'S Fruit N Fiber Muesli Strawberry With Almonds & Raisins 1Kg,0,0,1,1,0,0,0,0,0,0
221410,Barry'S Fruit N Fiber Muesli Mixed Fruit With Almonds & Raisins 1Kg,0,0,1,1,0,0,0,0,0,0
251011,Kellogg'S Special K Original With Whole Wheat 435G,1,435,0,0,0,0,0,0,0,0
251018,Kellogg'S Corn Flakes Original 100G,1,100,0,0,0,0,0,0,0,0
251020,Kellogg'S Corn Flakes Original 250G,1,250,0,0,0,0,0,0,0,0
251033,Kellogg'S Special K Original With Whole Wheat 290G,1,290,0,0,0,0,0,0,0,0
265956,Mtr Upma Breakfast 160G,1,160,0,0,0,0,0,0,0,0
293717,Saffola Masala Oats Masala & Coriander 38G,1,38,0,0,0,0,0,0,0,0
293718,Saffola Masala Oats Curry & Pepper 38G,1,38,0,0,0,0,0,0,0,0
304212,Manna Health Mix All Natural Multigrain Mix 1Kg,0,0,1,1,0,0,0,0,0,0
319692,Kellogg'S Special K Original With Whole Wheat 900G,1,900,0,0,0,0,0,0,0,0
319695,Kellogg'S Corn Flakes With Real Honey 630G,1,630,0,0,0,0,0,0,0,0
336430,Kellogg'S Corn Flakes Original 875G,1,875,0,0,0,0,0,0,0,0
341095,Soulfull Ragi Bites Choco Fills & Vanilla Fills 30G Pack Of 6,1,30,0,0,0,0,0,0,0,0
351747,Barry'S Crunchy Muesli Almonds Raisins & Honey 200G,1,200,0,0,0,0,0,0,0,0
358854,Soulfull Crunchy Millet Muesli Almonds & Raisins 400G,1,400,0,0,0,0,0,0,0,0
372011,Soulfull 0% Added Sugar Millet Muesli 400G,1,400,0,0,0,0,0,0,0,0
379919,Fine Life Love O Choco 28.6G Pack Of 15,1,28.6,0,0,0,0,0,0,0,0
383263,Soulfull Ragi Bites No Maida Loopies 200G,1,200,0,0,0,0,0,0,0,0
390749,Kellogg'S Crunchy Bites 26G Pack Of 16,1,26,0,0,0,0,0,0,0,0
392152,Kellogg'S Corn Flakes Original 70G,1,70,0,0,0,0,0,0,0,0
392167,Kellogg'S Chocos 56G,1,56,0,0,0,0,0,0,0,0
409908,Asal Coin Paratha 150G,1,150,0,0,0,0,0,0,0,0
409909,Asal Wheat Chapati (6 Pcs) 200G,1,200,0,0,0,0,0,0,0,0
421057CB,Yoga Bar Super Muesli 0% Added Sugar Almonds+Seeds+Whole Grains 400G,1,400,0,0,0,0,0,0,0,0
424732,Asap Muesli Fruit & 5 Toasted Grains Fruits 420G,1,420,0,0,0,0,0,0,0,0
424733,Asap Muesli Almond Honey & Toasted Grains Badam Milk 420G,1,420,0,0,0,0,0,0,0,0
