id,name
326636,Comfort Lily Fresh Fabric Conditioners 860 ml
408176,Harpic Power Plus Original 600 ml
415760,Lizol Disinfectant Surface Cleaner Floral 1800 ML
411629,Lizol Disinfectant Surface Cleaner Citrus 625 ML
411628,Lizol Disinfectant Surface Cleaner Floral 625 ML
410298,Lizol Disinfectant Surface Cleaner Floral 5L
189221,Mr White Detergent Powder (3 kg+ 1kg Free)
198934,Mr.White Washing Powder (5 kg+2 kg Free)
409715,Nimyle Herbal Floor Cleaner 975ml
409710,Nimyle Herbal Floor Cleaner 475ml
397661,Patanjali Herbal Wash Detergent Powder 1 KG
306703,Rin Powder (10g Pack Of 108)
415762,Safe Wash Anti-Germ Liquid Detergent 1L
288139,Surf Excel Quick Wash Detergents (10g Pack Of 72)
101165,Tide Plus Lemon And Mint Detergent Powder (2 kg)
405232,Tide Ultra 3-In-1 (1 kg)
266962,Vim Dishwash Lemon Pet Bottle 500ml
398591,Woosh Super Wash Detergent Powder 1KG + 250g (Combo Pack)
398595,Woosh Ultra Washing Powder 1 KG
398596,Woosh Ultra Washing Powder 4 KG
395894,Woosh Ultra Washing Powder 500 G
424055,Woosh Ultra Washing Powder  Jar 2KG
