id,name
368288,Cherry(Approx-220G-250G)
229771,Amul Butter - Pasteurised 100G Pack Of 10
352848,Amul Butter - Pasteurised Tub 200G
249163,Amul Butter Unsalted 500 G
318028,Amul Butter Pasteurised 10G*100Pcs
363853,"Amul Ice Cream - Butterscotch, 750Ml Pack Buy-1 Get-1 Free"
104615,Amul Processed Cheese 8-Cubes 200 G
104582,Amul Processed Cheese Block 1 Kg
104833,Amul Shrikhand Elaichi 500G
104708,Amul Slim N Trim Skimmed Milk 1L
281536,Nandini Good Life Gold Milk 1L
184607,Nandini Good Life Uht Milk 1 L
