id,name
279649,Vijayan Gold Premium Sorted Sona Masoori Raw Rice 30Kg
392164,Bittu Golden Premium Sorted Sona Masoori Raw Rice 26Kg
357692,Golden Tiger Premium Quality Sortex Boiled Rice 26Kg
333126,NRI Gold Sorted Cleaned Sona Masoori Raw Rice 26Kg
393593,V Gopal Sona Masoori Raw Rice 26kg
304705,Jana Priya Gold Sona Masoori Raw Rice 26Kg
366493,S Green Premium Sona Masoori Steam Rice  26Kg
417117,Kalki Gold Divine Sorted Sona Masoori Raw Rice 26Kg
342391,MK Royal Premium Quality Sorted Sona Masoori Raw Rice 30Kg
422981,Maski Bullet Lachkari Vada Kollam Jeera Rice 26Kg
417113,Kalki Bullet Sona Masoori Steam Rice 26Kg
399514,Ambatis Steam Rice 26Kg
357693,Bittu Royal Premium Sorted Sona Masoori Steam Rice 26Kg
391298,Silver Star Sorted Premium Sona Masoori Steam Rice 26Kg
381058,Kaveri Premium Quality Sorted Sona Masoori Steam Rice 26Kg
