id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
367537,1,120,0,0,0,0,0,0,0,0
367539,1,240,0,0,0,0,0,0,0,0
245724,0,0,1,1.2,0,0,0,0,0,0
266286,1,180,0,0,0,0,0,0,0,0
268653,1,450,0,0,0,0,0,0,0,0
319731,1,68,0,0,0,0,0,0,0,0
266437,1,200,0,0,0,0,0,0,0,0
389559,1,500,0,0,0,0,0,0,0,0
389560,1,500,0,0,0,0,0,0,0,0
258601,1,500,0,0,0,0,0,0,0,0
275198,1,500,0,0,0,0,0,0,0,0
345330,1,500,0,0,0,0,0,0,0,0
361357,1,500,0,0,0,0,0,0,0,0
258602,1,500,0,0,0,0,0,0,0,0
413940,1,400,0,0,0,0,0,0,0,0
413949,1,400,0,0,0,0,0,0,0,0
413953,1,400,0,0,0,0,0,0,0,0
226990,1,400,0,0,0,0,0,0,0,0
353101,1,200,0,0,0,0,0,0,0,0
353099,1,430,0,0,0,0,0,0,0,0
412603,1,500,0,0,0,0,0,0,0,0
393888,1,85,0,0,0,0,0,0,0,0
266151,1,70.5,0,0,0,0,0,0,0,0
266071,1,72.5,0,0,0,0,0,0,0,0
266096,1,290,0,0,0,0,0,0,0,0
283307,1,400,0,0,0,0,0,0,0,0
389749,1,300,0,0,0,0,0,0,0,0
314134,1,350,0,0,0,0,0,0,0,0
389739,1,400,0,0,0,0,0,0,0,0
389740,1,350,0,0,0,0,0,0,0,0
340878,1,70,0,0,0,0,0,0,0,0
339539,1,70,0,0,0,0,0,0,0,0
339536,1,70,0,0,0,0,0,0,0,0
339542,1,70,0,0,0,0,0,0,0,0
260427,1,300,0,0,0,0,0,0,0,0
260432,1,300,0,0,0,0,0,0,0,0
260439,1,300,0,0,0,0,0,0,0,0
260429,1,300,0,0,0,0,0,0,0,0
260434,1,300,0,0,0,0,0,0,0,0
260424,1,300,0,0,0,0,0,0,0,0
260435,1,300,0,0,0,0,0,0,0,0
260430,1,300,0,0,0,0,0,0,0,0
424489,1,46,0,0,0,0,0,0,0,0
287006,1,270,0,0,0,0,0,0,0,0
287005,1,67.5,0,0,0,0,0,0,0,0
391763,1,405,0,0,0,0,0,0,0,0
403874,1,135,0,0,0,0,0,0,0,0
385287,1,70,0,0,0,0,0,0,0,0
385288,1,280,0,0,0,0,0,0,0,0
420740,1,270,0,0,0,0,0,0,0,0
351072,1,280,0,0,0,0,0,0,0,0
351076,1,60,0,0,0,0,0,0,0,0
357839,1,280,0,0,0,0,0,0,0,0
263521,1,260,0,0,0,0,0,0,0,0
263524,1,420,0,0,0,0,0,0,0,0
357827,1,560,0,0,0,0,0,0,0,0
363671,0,0,1,1.95,0,0,0,0,0,0
340073,1,152,0,0,0,0,0,0,0,0
374684,1,72.8,0,0,0,0,0,0,0,0
387091,1,125,0,0,0,0,0,0,0,0
387106,1,150,0,0,0,0,0,0,0,0
408816,1,125,0,0,0,0,0,0,0,0
401614,1,150,0,0,0,0,0,0,0,0
413923,1,35,0,0,0,0,0,0,0,0
274988,1,140,0,0,0,0,0,0,0,0
421667,1,100,0,0,0,0,0,0,0,0
405772,1,250,0,0,0,0,0,0,0,0
372679,1,61.6,0,0,0,0,0,0,0,0
384313,0,0,1,1,0,0,0,0,0,0
410914,1,120,0,0,0,0,0,0,0,0
396820,1,59,0,0,0,0,0,0,0,0
339197,1,300,0,0,0,0,0,0,0,0
405277,1,300,0,0,0,0,0,0,0,0
417469,1,40,0,0,0,0,0,0,0,0
417483,1,33.3,0,0,0,0,0,0,0,0
417470,1,40,0,0,0,0,0,0,0,0
417480,1,100,0,0,0,0,0,0,0,0
409177,1,28,0,0,0,0,0,0,0,0
416237,1,456,0,0,0,0,0,0,0,0
416238,1,152,0,0,0,0,0,0,0,0
335733,1,160,0,0,0,0,0,0,0,0
335737,1,160,0,0,0,0,0,0,0,0
401690,1,337,0,0,0,0,0,0,0,0
333044,1,280,0,0,0,0,0,0,0,0
118544,1,249.6,0,0,0,0,0,0,0,0
340143,1,576,0,0,0,0,0,0,0,0
406075,1,448,0,0,0,0,0,0,0,0
343929,1,280,0,0,0,0,0,0,0,0
268978,1,7.2,0,0,0,0,0,0,0,0
405797,1,38,0,0,0,0,0,0,0,0
405800,1,60,0,0,0,0,0,0,0,0
