nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,285284,49,285284.jpeg,Almond Premium Loose,"[""285284.jpeg""]",1011,919,10,1,2,26,1,1,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,250|500|1000|2000,1,0,13170|13194|13241|14178,0,852
0,424677,49,424677.jpeg,Beardinator Anti Greying Beard Oil 30 Ml,"[""424677.jpeg""]",349,279,21,-1,7,20,1,1,0,0,0,0,0,0,0,0,1,30,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14222|14249,0,972
0,424678,49,424678.jpeg,Beardinator Beard & Face Wash 100 Ml,"[""424678.jpeg""]",349,187,47,-1,7,20,1,1,0,0,0,0,0,0,0,0,1,100,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14222|799|14248|14249,0,972
0,424679,49,424679.jpeg,Beardinator Beard Softener 45 G,"[""424679.jpeg""]",399,214,47,-1,7,20,1,1,1,45,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14222|14249,0,972
0,424676,49,424676.jpeg,Beardinator Daily Beard Oil 30 Ml,"[""424676.jpeg""]",349,187,47,-1,7,20,1,1,0,0,0,0,0,0,0,0,1,30,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14222|14249,0,972
0,405849,49,405849.jpeg,Berdo Strong Hold Hair Wax Crystal Wax 50 G,"[""405849.jpeg""]",195,170,13,-1,7,20,1,1,1,50,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14226|14258,0,977
0,425589,49,425589.jpeg,Bombay Shaving Company Beard Trimmer & Hair Clipper Grey,"[""425589.jpeg""]",1999,1199,41,-1,7,20,1,1,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14220|14249,0,111
0,421886,49,421886.jpeg,Bombay Shaving Company Coffee Face Scrub 100 G,"[""421886.jpeg""]",299,201,33,-1,7,20,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14220|799|14248,0,111
0,421887,49,421887.jpeg,Bombay Shaving Company Coffee Face Wash 100G,"[""421887.jpeg""]",249,199,21,-1,7,20,1,1,1,10,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14220|799|14248,0,111
0,427777,49,427777.jpeg,Bombay Shaving Company Daily Shave Care Kit,"[""427777.jpeg""]",1850,1480,20,-1,7,20,1,1,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14220|14259,0,111
0,424393,49,424393.jpeg,Bombay Shaving Company Fenugreek & Flaxseed Hair Wax 100 G,"[""424393.jpeg""]",395,248,38,-1,7,20,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14220|14260,0,111
0,424390,49,424390.jpeg,Bombay Shaving Company Fitkari After Shave Gel 100 G,"[""424390.jpeg""]",245,165,33,-1,7,20,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14220|14261,0,111
0,424394,49,424394.jpeg,Bombay Shaving Company Onion & Bringraj Hair Growth Oil 100 Ml,"[""424394.jpeg""]",425,266,38,-1,7,20,1,1,0,0,0,0,0,0,0,0,1,100,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14220|14262,0,111
0,411152,49,411152.jpeg,Bombay Shaving Company Pure Leather Shaving Brush,"[""411152.jpeg""]",195,122,38,-1,7,20,1,1,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14220|14263,0,111
0,424388,49,424388.jpeg,Bombay Shaving Company Shaving Cream Charcoal 78 G,"[""424388.jpeg""]",99,64.6,35,-1,7,20,1,1,1,78,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|14220|14264,0,111
0,398284,49,398284.jpeg,Breads And Bakes Plum Cake 225G,"[""398284.jpeg""]",180,90,50,1,3,30,1,1,1,22,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,0,13244|13367|14190|14197|14198,0,977
0,285273,49,285273.jpeg,Cashew Premium Loose,"[""285273.jpeg""]",1018,925,10,1,2,26,1,1,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,250|500|1000|2000,1,0,13170|13194|13241|14179,0,852
0,285280,49,285280.jpeg,Cashew Split 2 Pc Loose,"[""285280.jpeg""]",867,788,10,1,2,26,1,1,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,250|500|1000|2000,1,0,13170|13194|13241|14180,0,852
0,285283,49,285283.jpeg,Cashew Split 8 Pc Loose,"[""285283.jpeg""]",597,542,10,1,2,26,1,1,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,250|500|1000|2000,1,0,13170|13194|13241|14181,0,852
0,285314,49,285314.jpeg,Charmagaz Loose,"[""285314.jpeg""]",395,359,10,1,2,26,1,1,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,250|500|1000|2000,1,0,13170|13194|13241|14182,0,852
0,SB0077,49,SB0077.jpeg,Cucumber White,"[""SB0077.jpeg""]",33,30,10,1,1,23,1,1,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,250|500|1000|2000,1,0,13003|13004|14177,0,260
0,429374,49,429374.jpeg,Dabur Vatika Health Shampoo 340 Ml,"[""429374.jpeg""]",189,172,9,-1,7,20,1,1,0,0,0,0,0,0,0,0,1,340,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|1120|641,0,175
0,422857,49,422857.jpeg,Dodla Paneer 1 Kg,"[""422857.jpeg""]",399,319,21,1,3,32,1,1,0,0,1,1,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,5,13244|13871|14191|14196,0,199
0,422650,49,422650.jpeg,Dodla Paneer 200 G,"[""422650.jpeg""]",99,75,25,1,3,32,1,1,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,5,13244|13871|14191|14196,0,199
0,308034,49,308034.jpeg,Dry Dates Loose,"[""308034.jpeg""]",344,312,10,1,2,26,1,1,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,250|500|1000|2000,1,0,13170|13194|13241|14183,0,852
0,335695,49,335695.jpeg,Dry Fig Loose,"[""335695.jpeg""]",1298,1180,10,1,2,26,1,1,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,250|500|1000|2000,1,0,13170|13194|13241|14184,0,852
0,424593,49,424593.jpeg,Fresh Ones Kitchen Towels 60 Sheets 4 Rolls 2 Ply,"[""424593.jpeg""]",265,122,54,-1,8,111,1,1,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13943|14227|14265,0,975
0,418763,49,418763.jpeg,Gadre Ethnic Entrees Prawn Chettinad Curry 380 G,"[""418763.jpeg""]",299,150,50,1,5,103,1,1,1,380,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,5,13150|13152|14200|14202|14213,0,265
0,418766,49,418766.jpeg,Gadre Ethnic Entrees Prawn Hariyali Masala 380 G,"[""418766.jpeg""]",299,150,50,1,5,103,1,1,1,380,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,5,13150|13152|14200|14203|14214,0,265
0,423166,49,423166.jpeg,Goeld Diwali Dal Aloo Tikki 320 G,"[""423166.jpeg""]",135,68,50,1,5,103,1,1,1,320,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,5,13150|13152|13872|14204|14219,0,928
0,423163,49,423163.jpeg,Goeld Soya Shami Kebab 240 G,"[""423163.jpeg""]",135,68,50,1,5,103,1,1,1,240,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,[],0,5,13150|13152|13872|14205|14215,0,928
0,250193,49,250193.jpeg,Grapes Black Seedless Loose,"[""250193.jpeg""]",193,175,10,1,1,22,1,1,0,0,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,4,1,0,250|500|1000|2000,1,0,13003|13017|14145,0,260
0,418632,49,418632.jpeg,Head & Shoulders Anti Dandruff Shampoo Neem 180 Ml,"[""418632.jpeg""]",200,182,9,-1,7,20,1,1,0,0,0,0,0,0,0,0,1,180,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|722|641,0,316
0,418630,49,418630.jpeg,Head & Shoulders Anti Dandruff Shampoo Neem 340 Ml,"[""418630.jpeg""]",375,341,10,-1,7,20,1,1,0,0,0,0,0,0,0,0,1,340,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|722|641,0,316
0,418631,49,418631.jpeg,Head & Shoulders Anti Dandruff Shampoo Neem 650 Ml,"[""418631.jpeg""]",825,681,18,-1,7,20,1,1,0,0,0,0,0,0,0,0,1,650,,,,20-12-2050,0,1,4,4,1,0,[],0,18,13840|13841|722|641,0,316
