id,original_price,sell_price,variations_types,stocks,size
285284,1011,919,250|500|1000|2000,0,1
424677,349,279,[],0,0
424678,349,187,[],0,0
424679,399,214,[],0,0
424676,349,187,[],0,0
405849,195,170,[],0,0
425589,1999,1199,[],0,0
421886,299,201,[],0,0
421887,249,199,[],0,0
427777,1850,1480,[],0,0
424393,395,248,[],0,0
424390,245,165,[],0,0
424394,425,266,[],0,0
411152,195,122,[],0,0
424388,99,64.6,[],0,0
398284,180,90,[],0,0
285273,1018,925,250|500|1000|2000,0,1
285280,867,788,250|500|1000|2000,0,1
285283,597,542,250|500|1000|2000,0,1
285314,395,359,250|500|1000|2000,0,1
SB0077,33,30,250|500|1000|2000,0,1
429374,189,172,[],0,0
422857,399,319,[],0,0
422650,99,75,[],0,0
308034,344,312,250|500|1000|2000,0,1
335695,1298,1180,250|500|1000|2000,0,1
424593,265,122,[],0,0
418763,299,150,[],0,0
418766,299,150,[],0,0
423166,135,68,[],0,0
423163,135,68,[],0,0
250193,193,175,250|500|1000|2000,0,1
418632,200,182,[],0,0
418630,375,341,[],0,0
418631,825,681,[],0,0
418633,85,77.3,[],0,0
214022,400,352,[],0,0
423016,100,85,[],0,0
374382,105,79,[],0,0
412733,140,130,[],0,0
427577,145,132,[],0,0
427575,275,250,[],0,0
393304,125,114,[],0,0
415171,450,315,[],0,0
421396,125,114,[],0,0
421397,225,205,[],0,0
421393,499,352,[],0,0
425410,375,313,[],0,0
420601,190,158,[],0,0
420620,179,149,[],0,0
420612,475,396,[],0,0
420617,475,396,[],0,0
425408,349,291,[],0,0
420613,525,434,[],0,0
428637,450,405,[],0,0
417757,410,190,[],0,0
357672,136,118,[],0,0
SB0078,637,439,500|1000|2000,0,1
422375,199,173,[],0,0
422376,199,173,[],0,0
350487,330,300,250|500|1000|2000,0,1
422396,155,131,[],0,0
422397,155,131,[],0,0
SB0076,275,250,250|500|1000|2000,0,1
316384,1924,1749,250|500|1000|2000,0,1
335697,1319,1199,250|500|1000|2000,0,1
285296,329,299,250|500|1000|2000,0,1
410894,650,586,[],0,0
420823,599,540,[],0,0
410569,203,184,250|500|1000|2000,0,1
422299,75,36,[],0,0
422720,349,279,[],0,0
409868,350,292,[],0,0
427774,2148,1718,[],0,0
409864,349,291,[],0,0
409878,349,291,[],0,0
409876,349,291,[],0,0
422721,349,279,[],0,0
427776,2396,1917,[],0,0
425538,349,279,[],0,0
409867,349,291,[],0,0
422719,349,279,[],0,0
422663,199,166,[],0,0
336901,813,739,250|500|1000|2000,0,1
106312,565,389,500|1000|2000|3000|4000,0,1
106235,580,400,500|1000|2000|3000|4000,0,1
106254,971,669,500|1000|2000|3000|4000,0,1
106268,711,490,500|1000|2000|3000|4000,0,1
315804,580,400,500|1000|2000|3000|4000,0,1
106288,580,400,500|1000|2000|3000|4000,0,1
277174,1377,949,500|1000|2000|3000|4000,0,1
106374,580,400,500|1000|2000|3000|4000,0,1
107563,580,400,500|1000|2000|3000|4000,0,1
106261,579,399,500|1000|2000|3000|4000,0,1
106216,580,400,500|1000|2000|3000|4000,0,1
106306,579,399,500|1000|2000|3000|4000,0,1
106316,434,299,500|1000|2000|3000|4000,0,1
106369,580,400,500|1000|2000|3000|4000,0,1
SB0079,580,400,500|1000|2000|3000|4000,0,1
106384,507,349,500|1000|2000|3000|4000,0,1
SB0091,580,400,500|1000|2000|3000|4000,0,1
101678,580,400,500|1000|2000|3000|4000,0,1
SB0080,110,100,500|1000|2000|3000|4000,0,1
SB0052,110,100,500|1000|2000|3000|4000,0,1
SB0081,110,100,500|1000|2000|3000|4000,0,1
SB0082,110,100,500|1000|2000|3000|4000,0,1
SB0083,110,100,500|1000|2000|3000|4000,0,1
SB0084,110,100,500|1000|2000|3000|4000,0,1
SB0085,110,100,500|1000|2000|3000|4000,0,1
SB0086,110,100,500|1000|2000|3000|4000,0,1
SB0087,110,100,500|1000|2000|3000|4000,0,1
SB0088,110,100,500|1000|2000|3000|4000,0,1
SB0089,110,100,500|1000|2000|3000|4000,0,1
SB0090,110,100,500|1000|2000|3000|4000,0,1
249415,110,100,500|1000|2000|3000|4000,0,1
249959,110,100,500|1000|2000|3000|4000,0,1
250196,110,100,500|1000|2000|3000|4000,0,1
368187,110,100,500|1000|2000|3000|4000,0,1
368288,110,100,500|1000|2000|3000|4000,0,1
368284,110,100,500|1000|2000|3000|4000,0,1
368277,110,100,500|1000|2000|3000|4000,0,1
423840,80,75,[],0,0
423839,80,72,[],0,0
423838,120,90,[],0,0
409907,70,59.5,[],0,0
409909,50,47,[],0,0
409906,70,59.5,[],0,0
409908,39,33.2,[],0,0
399099,120,102,[],0,0
419348,210,179,[],0,0
399095,200,170,[],0,0
409158,120,102,[],0,0
409157,120,102,[],0,0
398321,240,204,[],0,0
399093,290,247,[],0,0
409174,220,187,[],0,0
409159,220,187,[],0,0
398323,170,136,[],0,0
428844,170,145,[],0,0
398325,270,216,[],0,0
