nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,415542,49,415542.jpg,Safal French Fries 400 G,"[""415542.jpg"","""","""",]",80,68,15,1,5,103,0,0,1,400,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,12,13150|13151|13809|13815,0,662
0,331936,49,331936.jpg,"Sumeru Masala French Fries - Chilli Garlic, 400 G","[""331936.jpg"","""","""",]",125,106,16,1,5,103,0,0,1,400,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,12,13150|13151|13810|13815,0,728
0,286287,49,286287.jpg,Catch Meat Masala 100 G,"[""286287.jpg"","""","""",]",75,41,46,1,2,27,0,0,1,100,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13170|13195|13204|13628,0,126
0,284317,49,284317.jpg,Catch Sabji Masala 100 G,"[""284317.jpg"","""","""",]",54,32,41,1,2,27,0,0,1,100,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13170|13195|13204|13628,0,126
0,284319,49,284319.jpg,Catch Dhaniya Powder 200 G,"[""284319.jpg"","""","""",]",57,34,41,1,2,27,0,0,1,200,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13170|13195|13204|13628,0,126
0,393350,49,393350.jpg,Organic Tattwa Red Chilli Whole 100G,"[""393350.jpg"","""","""",]",70,59,16,1,2,27,0,0,1,100,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13170|13195|13624|13628,0,871
0,421281,49,421281.jpg,Zeeba Super Basmati Rice 1Kg,"[""421281.jpg"","""","""",]",140,98,30,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13170|13197|13239|13286,0,830
0,401857,49,401857.jpg,Oleev Olive Pomace Oil 5L Tin,"[""401857.jpg"","""","""",]",3999,1999,51,1,10,61,0,0,0,0,0,0,0,0,1,5,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13805|13806|13812|13818|13819,0,555
0,424839,49,424839.jpg,Borges Extra Virgin Olive Oil 2L Pet,"[""424839.jpg"","""","""",]",2700,1485,45,1,10,61,0,0,0,0,0,0,0,0,1,2,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13805|13806|13726|13818|13820,0,97
0,364842,49,364842.jpg,Figaro Extra Virgin Olive Oil 250 Ml,"[""364842.jpg"","""","""",]",399,279,31,1,10,61,0,0,0,0,0,0,0,0,0,0,1,250,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13805|13806|13813|13818|13820,0,252
0,387118,49,387118.jpg,Figaro Extra Virgin Olive Oil 1L Pet,"[""387118.jpg"","""","""",]",1199,839,31,1,10,61,0,0,0,0,0,0,0,0,1,1,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13805|13806|13813|13818|13820,0,252
0,423878,49,423878.jpg,"Cremica Digestive High Brain Biscuits, 1 Kg","[""423878.jpg"","""","""",]",200,192,4,1,5,38,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,13150|13534|13579|13821,0,167
0,339218,49,339218.jpg,Lotte Choco Pie 12Pc 336G,"[""339218.jpg"","""","""",]",140,119,15,1,3,30,0,0,1,336,0,0,1,12,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,13244|13245|13613|13514|13637,0,444
0,433880,49,433880.jpg,Cremica Coconut Cookies 900 G,"[""433880.jpg"","""","""",]",180,172,5,1,5,38,0,0,1,900,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,13150|13534|13579|13822,0,167
