nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,420074,49,420074.jpg,Handi Veg Shami Kebab 400gm,"[""420074.jpg"","""","""",]",180,162,10,0,5,104,0,0,1,400,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,12,13150|13152|13870|13878,0,892
0,215244,49,215244.jpg,Dairy Day Choco Mocha Ice Cream 500ml,"[""215244.jpg"","""","""",]",350,298,15,1,3,33,0,0,0,0,0,0,0,0,0,0,1,500,,,,20/12/2050,0,1,5,4,1,0,[],0,18,13244|13370|13871|13879|13880,0,893
0,424004,49,424004.jpg,Godrej Yumez Tawa Paratha 300gm,"[""424004.jpg"","""","""",]",105,95,10,1,5,104,0,0,1,300,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,12,13150|13152|13143|13544|13875,0,286
0,423160,49,423160.jpg,Goeld Whole Whet Paratha 300gm,"[""423160.jpg"","""","""",]",110,94,15,1,5,104,0,0,1,300,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,12,13150|13152|13872|13544|13875,0,894
0,423168,49,423168.jpg,Goeld Malabar Paratha 800gm,"[""423168.jpg"","""","""",]",205,175,15,1,5,104,0,0,1,800,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,12,13150|13152|13872|13544|13875,0,894
0,423170,49,423170.jpg,Goeld Punjabi Samosa 600gm,"[""423170.jpg"","""","""",]",165,141,15,1,5,104,0,0,1,600,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13150|13152|13872|13544|13876,0,894
0,352791,49,352791.jpg,Mitza Chicken Value Sausage 1kg,"[""352791.jpg"","""","""",]",385,328,15,0,5,103,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13150|13151|13873|13149,0,895
0,424766,49,424766.jpg,Sumeru Chicken Sausag Smoked 500gm,"[""424766.jpg"","""","""",]",300,255,15,0,5,103,0,0,1,500,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13150|13151|13857|13149,0,728
0,170777,49,170777.jpg,Sumeru Breaded Fish Fillets 350gm,"[""170777.jpg"","""","""",]",290,247,15,0,5,103,0,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13150|13151|13857|13149,0,728
0,420084,49,420084.jpg,Handi Cheese & Corn Momos 12pcs,"[""420084.jpg"","""","""",]",190,171,10,1,5,104,0,0,0,0,0,0,1,12,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,12,13150|13152|13870|13544|13423|13005,0,892
0,401669,49,401669.jpg,Zeeba Every Day Supermongra 1Kg,"[""401669.jpg"","""","""",]",90,63,30,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,13170|13197|13239|13286,0,830
