id,original_price,sell_price,variations_types,stocks,size
367537,20,20,[],166,0
428257,80,76,[],28,0
266421,112,107,[],28,0
266419,100,95,[],28,0
319729,25,24,[],28,0
284411,100,95,[],28,0
284408,70,67,[],56,0
354120,150,143,[],28,0
266429,40,37,[],306,0
266474,80,76,[],82,0
368892,125,119,[],28,0
339036,275,251,[],28,0
303127,180,171,[],28,0
344490,99,95,[],28,0
161622,450,428,[],28,0
161623,450,428,[],28,0
334556,210,192,[],49,0
345332,130,119,[],28,0
258600,190,181,[],195,0
334525,210,192,[],28,0
368697,265,252,[],28,0
353540,170,147,[],28,0
381107,99,91,[],43,0
353093,105,86,[],208,0
404326,45,43,[],28,0
404327,45,43,[],28,0
404328,45,43,[],28,0
404325,36,35,[],28,0
404324,36,35,[],28,0
412605,175,100,[],35,0
343598,150,143,[],28,0
343645,85,81,[],28,0
343649,75,72,[],28,0
343652,140,133,[],28,0
261653,70,61,[],339,0
270080,60,57,[],28,0
306260,17,17,[],28,0
393890,50,48,[],28,0
393891,50,48,[],28,0
393889,50,48,[],115,0
393887,50,48,[],26,0
145130,1152,1095,[],169,0
398759,15,15,[],28,0
276413,58,57,[],28,0
337383,110,108,[],28,0
266170,28,28,[],28,0
358507,89,81,[],28,0
358503,109,100,[],28,0
358508,89,81,[],28,0
342440,115,105,[],28,0
389750,120,114,[],51,0
263368,94,90,[],66,0
326605,10,10,[],28,0
265963,52,50,[],28,0
265979,125,119,[],212,0
281674,149,142,[],28,0
265940,75,72,[],116,0
380980,50,48,[],28,0
370455,10,10,[],28,0
260422,99,91,[],217,0
424490,76,73,[],28,0
374867,20,20,[],28,0
326567,140,133,[],28,0
405571,28,28,[],124,0
411469,125,119,[],148,0
411468,99,91,[],27,0
411463,125,119,[],108,0
411467,125,119,[],28,0
411462,99,91,[],28,0
411466,99,91,[],28,0
310182,12,12,[],28,0
347732,12,12,[],28,0
356650,40,40,[],28,0
347719,12,12,[],28,0
347735,60,57,[],28,0
365111,25,24,[],28,0
365110,25,24,[],28,0
