id,name,status,sub_cate_id
14094,steam rice,1,75
14095,bili batani,1,75
14096,pravasa bala,1,25
14097,orange imported,1,22
14098,kiwi fruit,1,22
14099,ground pods,1,23
14100,beans chikkadi,1,23
14101,onion white,1,23
14102,white bitter gourd,1,23
14103,dill leaves,1,23
14104,sona massori steam rice in loose,1,75
14105,basmati in loose,1,75
14106,white peas in loose,1,25
14107,bombai rawa in loose,1,24
14108,toor dal in loose,1,25
14109,papad in loose,1,101
13003,fruits & vegetables,1,23
13004,fresh vegetables,1,23
13017,fresh fruits,1,23
13150,snacks & branded foods,1,44
13170,"food grains, oil & masala",1,25
13193,dal and pluses,1,25
13197,rice,1,75
13541,ready to cook and eat,1,39
