id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
396386,49,396386.jpeg,4700 Bc Gourmet Popcorn French Butter & Pink Salt Popcorn 45G,"[""396386.jpeg""]",35,34,3,1,5,43,1,1,1,45,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
396384,49,396384.jpeg,4700 Bc Gourmet Popcorn Hawaiian Barbeque Cheese Popcorn 35G,"[""396384.jpeg""]",39,38,3,1,5,43,1,1,1,35,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
396381,49,396381.jpeg,4700 Bc Gourmet Popcorn Himalayan Salt Caramel Popcorn 60G,"[""396381.jpeg""]",49,47,5,1,5,43,1,1,1,60,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
396383,49,396383.jpeg,4700 Bc Gourmet Popcorn Sour Cream & Wasabi Cheese Popcorn 35G,"[""396383.jpeg""]",39,38,3,1,5,43,1,1,1,35,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
396382,49,396382.jpeg,4700 Bc Gourmet Popcorn Sriracha Lime Cheese Popcorn 35G,"[""396382.jpeg""]",39,38,3,1,5,43,1,1,1,35,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
415780,49,415780.jpeg,4700 Bc Popcorn Barbeque 30G,"[""415780.jpeg""]",10,9,10,1,5,43,1,1,1,30,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
415782,49,415782.jpeg,4700 Bc Popcorn Barbeque 92G,"[""415782.jpeg""]",80,65,19,1,5,43,1,1,1,92,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
415779,49,415779.jpeg,4700 Bc Popcorn Butter 30G,"[""415779.jpeg""]",10,9,10,1,5,43,1,1,1,30,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
415783,49,415783.jpeg,4700 Bc Popcorn Butter 85G,"[""415783.jpeg""]",75,61,19,1,5,43,1,1,1,85,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
415776,49,415776.jpeg,4700 Bc Popcorn Natural 30G,"[""415776.jpeg""]",10,9,10,1,5,43,1,1,1,30,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
415793,49,415793.jpeg,4700 Bc Popcorn Natural 85G,"[""415793.jpeg""]",75,61,19,1,5,43,1,1,1,85,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
415781,49,415781.jpeg,4700 Bc Popcorn Seven Spices 30G,"[""415781.jpeg""]",10,9,10,1,5,43,1,1,1,30,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5743|13630,0,1020
376768,49,376768.jpeg,Act Ii Butter Flavour Popcorn 50G,"[""376768.jpeg""]",25,24,4,1,5,43,1,1,1,50,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4735|13630,0,10
385929,49,385929.jpeg,Act Ii Caramel Bliss Clasic Caramel Popcorn Flavour 70G,"[""385929.jpeg""]",65,60,8,1,5,43,1,1,1,70,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4735|13630,0,10
399801,49,399801.jpeg,Act Ii Diet Popcorn Zero Added Fat 28G,"[""399801.jpeg""]",25,24,4,1,5,43,1,1,1,28,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4735|13630,0,10
421141,49,421141.jpeg,Act Ii Golden Sizzle Popcorn 30G,"[""421141.jpeg""]",10,10,0,1,5,43,1,1,1,30,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4735|13630,0,10
390018,49,390018.jpeg,Act Ii Sweet & Salty Popcorn 45 G,"[""390018.jpeg""]",25,24,4,1,5,43,1,1,1,45,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4735|13630,0,10
421111,49,421111.jpeg,Act Ii Sweet Pani Puri Instant Popcorn 59G,"[""421111.jpeg""]",33,31,7,1,5,43,1,1,1,59,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4735|13630,0,10
413355,49,413355.jpeg,Bingo Mad Angles Achari Masti 33G Pack Of 9,"[""413355.jpeg""]",90,86,5,1,5,43,1,1,1,33,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5767,0,85
393505,49,393505.jpeg,Bingo Mad Angles Very Peri Peri 33G Pack Of 9,"[""393505.jpeg""]",90,86,5,1,5,43,1,1,1,33,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5767,0,85
425322,49,425322.jpeg,Bingo Potato Chips Chilli Sprinkled 30G Pack Of 12,"[""425322.jpeg""]",120,110,9,1,5,43,1,1,1,30,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
425295,49,425295.jpeg,Bingo Potato Chips Cream & Onion 10.5 G Pack Of 16,"[""425295.jpeg""]",80,73,9,1,5,43,1,1,1,10.5,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
401408,49,401408.jpeg,Bingo Potato Chips Cream & Onion 100G,"[""401408.jpeg""]",50,26,48,1,5,43,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
425297,49,425297.jpeg,Bingo Potato Chips Cream & Onion 25G Pack Of 12,"[""425297.jpeg""]",120,110,9,1,5,43,1,1,1,25,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
425298,49,425298.jpeg,Bingo Potato Chips Masala 25G Pack Of 12,"[""425298.jpeg""]",120,110,9,1,5,43,1,1,1,25,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
425296,49,425296.jpeg,Bingo Potato Chips Salted 10.5G Pack Of 16,"[""425296.jpeg""]",80,73,9,1,5,43,1,1,1,10.5,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5401|1241,0,85
422637,49,422637.jpeg,Bingo Tedhe Medhe Cocktail Mix 180G,"[""422637.jpeg""]",50,46,8,1,5,43,1,1,1,180,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5768,0,85
428227,49,428227.jpeg,Bingo Tedhe Medhe Masala Tadaka 90G,"[""428227.jpeg""]",20,20,0,1,5,43,1,1,1,90,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5744|5768,0,85
