id,original_price,sell_price,variations_types,stocks,size
427082,100,91,[],0,0
177144,245,210,[],0,0
177319,130,111,[],0,0
425259,125,118,[],0,0
270083,175,117,[],0,0
387378,295,215,[],0,0
424731,350,199,[],0,0
424734,99,90,[],0,0
424735,99,90,[],0,0
355454,170,161,[],0,0
266423,16,15,[],0,0
354122,96,87,[],0,0
421045,25,23,[],0,0
421046,90,85,[],0,0
390695,40,36,[],0,0
267165,25,22,[],0,0
394991,400,228,[],0,0
429448,30,27,[],0,0
429449,120,109,[],0,0
429450,100,91,[],0,0
237261,150,136,[],0,0
416376,160,107,[],0,0
270524,50,47,[],0,0
427310,37,35,[],0,0
427312,137,130,[],0,0
427311,44,40,[],0,0
427313,162,147,[],0,0
398059,175,159,[],0,0
423880,180,102,[],0,0
380979,50,47,[],0,0
384293,50,47,[],0,0
428875,115,109,[],0,0
428874,115,109,[],0,0
428876,110,100,[],0,0
402719,110,100,[],0,0
365848,85,77,[],0,0
260592,130,118,[],0,0
428855,200,182,[],0,0
428852,200,182,[],0,0
428849,50,45,[],0,0
422831,200,182,[],0,0
422833,200,182,[],0,0
428850,200,182,[],0,0
428851,200,182,[],0,0
422842,200,182,[],0,0
293758,70,66,[],0,0
357967,120,97,[],0,0
360844,40,32,[],0,0
357972,90,72,[],0,0
413945,60,51,[],0,0
413952,95,81,[],0,0
413950,150,121,[],0,0
413941,148,119,[],0,0
413951,170,137,[],0,0
286395,30,24,[],0,0
405884,200,190,[],0,0
399786,200,86,[],0,0
399785,250,107,[],0,0
353095,110,62,[],0,0
353086,170,113,[],0,0
380425,65,52,[],0,0
357335,35,28,[],0,0
353547,55,36,[],0,0
353096,50,43,[],0,0
353574,55,36,[],0,0
353575,55,36,[],0,0
393559,85,68,[],0,0
353097,110,62,[],0,0
393561,85,68,[],0,0
384564,75,60,[],0,0
353098,52,47,[],0,0
405308,170,57,[],0,0
358380,175,159,[],0,0
419804,169,160,[],0,0
419802,169,160,[],0,0
402862,39,37,[],0,0
408828,165,150,[],0,0
427058,640,582,[],0,0
427057,320,291,[],0,0
427056,320,291,[],0,0
428113,640,582,[],0,0
429265,75,68,[],0,0
429267,99,90,[],0,0
429261,75,68,[],0,0
429263,75,68,[],0,0
424583,150,85,[],0,0
423162,135,76,[],0,0
423172,590,336,[],0,0
421094,30,27,[],0,0
421093,60,48,[],0,0
364564,60,57,[],0,0
364565,80,72,[],0,0
364566,80,72,[],0,0
428331,160,145,[],0,0
426593,199,181,[],0,0
425620,60,54,[],0,0
425619,60,54,[],0,0
425621,160,145,[],0,0
425622,160,145,[],0,0
418818,50,43,[],0,0
397036,99,97,[],0,0
419003,60,58,[],0,0
419005,125,122,[],0,0
390751,160,152,[],0,0
419012,190,186,[],0,0
419011,180,176,[],0,0
415804,160,137,[],0,0
390748,160,137,[],0,0
419008,175,171,[],0,0
421303,160,145,[],0,0
415227,330,283,[],0,0
415226,330,283,[],0,0
425585,175,171,[],0,0
273807,45,44,[],0,0
426557,185,168,[],0,0
426558,185,168,[],0,0
412604,175,99,[],0,0
408084,15,13,[],0,0
393899,50,47,[],0,0
393910,50,47,[],0,0
428220,199,181,[],0,0
428231,349,317,[],0,0
428217,199,181,[],0,0
428228,199,181,[],0,0
428222,349,317,[],0,0
428218,199,181,[],0,0
427443,100,91,[],0,0
427450,150,136,[],0,0
104297,50,45,[],0,0
427227,78,76,[],0,0
427226,20,20,[],0,0
266153,50,49,[],0,0
266058,65,63,[],0,0
420178,150,136,[],0,0
409777,120,109,[],0,0
429422,40,36,[],0,0
418017,285,230,[],0,0
408919,270,245,[],0,0
408922,360,291,[],0,0
377277,375,367,[],0,0
408857,360,352,[],0,0
408856,375,356,[],0,0
408860,275,261,[],0,0
429329,586,574,[],0,0
408859,360,241,[],0,0
408864,450,427,[],0,0
408858,270,264,[],0,0
408921,450,441,[],0,0
408863,342,324,[],0,0
402567,525,477,[],0,0
408862,219,219,[],0,0
429184,300,243,[],0,0
429183,300,243,[],0,0
429182,400,292,[],0,0
403972,600,438,[],0,0
417293,375,150,[],0,0
413876,200,104,[],0,0
413877,50,40,[],0,0
413878,50,40,[],0,0
413880,50,40,[],0,0
412782,160,137,[],0,0
413955,50,28,[],0,0
429420,50,45,[],0,0
429421,35,31,[],0,0
409179,200,190,[],0,0
