nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,418345,49,418345.jpg,Bazana Salted Pista 155G,"[""418345.jpg""]",350,298,15,1,2,26,1,0,1,155,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13949|13342|13843,0,922
0,391369,49,391369.jpg,Metro Salted Pista 250G,"[""391369.jpg""]",415,291,30,1,2,26,1,0,1,250,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13965|13342|13843,0,480
0,419442,49,419442.jpg,Ru Nutz! Pista Kernel 500G,"[""419442.jpg""]",900,810,10,1,2,26,1,0,1,500,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13990|13342|13843,0,943
0,419437,49,419437.jpg,Molsi'S Salted Pista Oil Free 200G,"[""419437.jpg""]",275,193,30,1,2,26,1,0,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13991|13342|13843,0,935
0,398686,49,398686.jpg,Nutty Gritties Roasted Pistachios Lightly Salted 200G,"[""398686.jpg""]",420,336,20,1,2,26,1,0,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13227|13342|13843,0,939
0,361483,49,361483.jpg,Fine Life Salted Pista 100G,"[""361483.jpg""]",260,143,45,1,2,26,1,0,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13211|13342|13843,0,255
0,420445,49,420445.jpg,Nutraj Turkish Apricot 200G,"[""420445.jpg""]",199,140,30,1,2,26,1,0,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13226|13354,0,545
0,420440,49,420440.jpg,Nutraj Afghan Dried Munakka Raisin 200G,"[""420440.jpg""]",249,175,30,1,2,26,1,0,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13226|13343,0,545
0,419435,49,419435.jpg,Ru Nutz! Premium Cashew 2 Pc Split  1Kg,"[""419435.jpg""]",1050,840,20,1,2,26,1,0,0,0,1,1,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13990|13320|13993|13995,0,943
0,419436,49,419436.jpg,Ru Nutz! Cashew 4 Pc Split 1Kg,"[""419436.jpg""]",800,560,30,1,2,26,1,0,0,0,1,1,0,0,0,0,0,0,,,,20-12-2050,0,1,5,4,1,0,[],0,12,13170|13194|13990|13320|13993|13995,0,943
