id,original_price,sell_price,variations_types,stocks,size
340073,50,46,[],333,0
374684,30,28,[],143,0
346380,50,46,[],77,0
387098,150,143,[],163,0
387108,125,119,[],229,0
401617,130,124,[],337,0
387091,150,143,[],66,0
401615,100,95,[],272,0
387106,100,95,[],193,0
408816,150,143,[],267,0
401614,100,95,[],133,0
387097,125,119,[],191,0
413922,40,38,[],150,0
413923,40,38,[],247,0
267349,30,29,[],34,0
267347,40,38,[],83,0
274988,149,136,[],694,0
398760,280,266,[],254,0
418817,100,86,[],78,0
421649,215,205,[],38,0
421667,215,211,[],27,0
421646,215,205,[],30,0
405772,100,91,[],213,0
372679,30,28,[],360,0
412583,70,67,[],265,0
333876,128,111,[],27,0
298249,109,94,[],131,0
283165,109,94,[],56,0
283160,102,88,[],69,0
298247,122,105,[],224,0
298245,125,108,[],121,0
282872,211,182,[],136,0
282869,106,92,[],115,0
282876,109,94,[],77,0
282875,141,122,[],111,0
298248,115,99,[],127,0
383173,120,110,[],31,0
384313,200,172,[],116,0
410914,30,28,[],126,0
420597,40,37,[],523,0
396820,80,76,[],94,0
420599,45,43,[],206,0
339197,895,815,[],27,0
406928,425,345,[],27,0
391895,60,55,[],187,0
386957,120,110,[],33,0
405277,250,215,[],37,0
380785,60,55,[],149,0
417471,140,121,[],124,0
417469,60,52,[],490,0
417483,55,48,[],27,0
417479,150,129,[],136,0
417482,55,48,[],268,0
407466,50,43,[],222,0
417470,50,43,[],27,0
417480,150,129,[],207,0
409177,10,10,[],446,0
416237,480,437,[],38,0
416238,160,146,[],285,0
336866,1080,983,[],83,0
335733,320,292,[],49,0
336867,1080,983,[],90,0
335737,320,292,[],85,0
394859,650,592,[],27,0
352934,240,219,[],81,0
352936,50,46,[],488,0
352937,115,105,[],1146,0
346306,25,23,[],66,0
415252,50,43,[],149,0
416650,360,328,[],54,0
416651,50,46,[],283,0
416648,200,182,[],625,0
401690,270,246,[],125,0
333044,140,128,[],352,0
288506,140,128,[],357,0
317804,240,219,[],110,0
353994,360,342,[],522,0
421412,300,285,[],309,0
118544,120,110,[],2210,0
340143,240,236,[],47,0
422608,180,164,[],27,0
417740,300,243,[],192,0
321904,50,49,[],27,0
359459,150,147,[],27,0
169899,50,49,[],27,0
360158,150,147,[],177,0
104271,50,49,[],27,0
270030,50,49,[],91,0
270026,100,98,[],57,0
104269,50,49,[],27,0
417941,400,364,[],452,0
406075,480,437,[],280,0
337622,80,73,[],114,0
376517,960,874,[],33,0
274985,149,136,[],427,0
343929,248,226,[],226,0
409775,99,91,[],146,0
322016,640,583,[],969,0
335516,110,101,[],967,0
268978,60,55,[],27,0
404938,40,38,[],27,0
404939,40,38,[],348,0
404937,40,38,[],27,0
404935,40,38,[],331,0
377586,200,182,[],108,0
368748,50,46,[],367,0
382706,160,146,[],40,0
377632,50,46,[],304,0
382701,160,146,[],150,0
405797,40,38,[],154,0
405800,125,119,[],119,0
367539,45,43,[],110,0
245724,210,192,[],63,0
428258,80,76,[],112,0
423709,24,24,[],120,0
266286,22,21,[],172,0
266291,27,26,[],144,0
266292,63,60,[],250,0
268654,19,19,[],269,0
268653,45,43,[],47,0
266428,50,48,[],27,0
319731,25,24,[],222,0
284409,70,67,[],148,0
354121,150,143,[],55,0
266437,25,24,[],223,0
392317,60,57,[],297,0
266439,99,91,[],185,0
303137,250,238,[],294,0
303129,250,238,[],294,0
303122,180,171,[],124,0
303219,250,238,[],285,0
339019,275,251,[],107,0
303124,250,238,[],321,0
389559,160,152,[],26,0
389560,160,152,[],47,0
270514,32,31,[],194,0
270508,60,59,[],97,0
270545,15,15,[],249,0
270512,60,59,[],160,0
270546,15,15,[],330,0
270510,60,59,[],319,0
279407,15,15,[],465,0
344663,60,59,[],33,0
270378,30,30,[],351,0
279403,107,102,[],52,0
258601,190,181,[],44,0
275198,190,181,[],49,0
345330,130,119,[],48,0
361357,230,210,[],28,0
258599,190,181,[],30,0
258602,190,181,[],54,0
361356,230,210,[],34,0
295630,130,112,[],1084,0
413940,105,91,[],72,0
277180,200,190,[],50,0
368704,90,86,[],99,0
413949,125,108,[],77,0
413953,90,78,[],76,0
277181,230,219,[],56,0
368703,108,103,[],61,0
226990,65,56,[],501,0
353545,170,147,[],65,0
353092,91,74,[],455,0
380426,105,100,[],582,0
380427,240,195,[],394,0
353090,155,89,[],149,0
353546,170,147,[],102,0
353091,170,114,[],49,0
353101,28,23,[],216,0
353099,45,37,[],385,0
372587,60,57,[],99,0
412603,140,80,[],27,0
393888,50,48,[],204,0
393892,40,38,[],408,0
393894,40,38,[],387,0
393895,40,38,[],440,0
393909,50,48,[],240,0
393886,50,48,[],325,0
393896,40,38,[],124,0
393898,50,48,[],406,0
393893,40,38,[],469,0
266165,24,24,[],53,0
266112,66,65,[],105,0
266162,45,45,[],27,0
266109,96,95,[],873,0
266160,12,12,[],2484,0
346209,270,265,[],182,0
266151,50,49,[],652,0
266071,24,24,[],29,0
266096,94,93,[],597,0
360988,28,28,[],225,0
360990,28,28,[],167,0
283307,128,122,[],157,0
389749,94,90,[],40,0
265950,52,50,[],131,0
334089,185,176,[],236,0
389766,94,90,[],303,0
334093,219,209,[],221,0
263367,94,90,[],120,0
389769,94,90,[],61,0
314134,99,91,[],60,0
389773,99,91,[],83,0
263363,94,90,[],46,0
265962,52,50,[],113,0
389741,94,90,[],48,0
389747,92,88,[],27,0
265960,52,50,[],86,0
389768,92,88,[],43,0
389748,94,90,[],75,0
265943,94,90,[],233,0
263369,125,119,[],100,0
265961,52,50,[],137,0
389739,125,119,[],147,0
283310,118,113,[],223,0
389740,99,91,[],79,0
265968,55,51,[],31,0
345285,240,228,[],27,0
266016,90,86,[],27,0
265967,130,124,[],94,0
266011,130,124,[],31,0
266000,140,133,[],32,0
266015,90,86,[],43,0
266018,130,124,[],56,0
345283,240,228,[],27,0
266009,150,143,[],96,0
266017,90,86,[],26,0
266006,130,124,[],27,0
266014,50,48,[],45,0
265930,25,24,[],212,0
298685,55,51,[],183,0
392730,105,100,[],267,0
265978,12,12,[],151,0
265948,42,40,[],291,0
265947,80,76,[],922,0
266010,150,143,[],26,0
340878,50,48,[],595,0
339539,50,48,[],2914,0
339536,50,48,[],1200,0
339542,50,48,[],1501,0
346566,145,143,[],27,0
375161,40,40,[],59,0
260427,99,91,[],136,0
367777,170,162,[],69,0
260433,99,91,[],86,0
260432,99,91,[],165,0
260439,99,91,[],91,0
260429,99,91,[],102,0
260434,99,91,[],98,0
260424,99,91,[],178,0
260435,99,91,[],137,0
260430,99,91,[],103,0
424489,20,20,[],1186,0
279356,28,27,[],97,0
279367,28,27,[],76,0
287006,48,46,[],279,0
287005,12,12,[],27,0
391763,72,69,[],5491,0
403874,24,24,[],58,0
385287,15,15,[],2893,0
385288,58,56,[],673,0
420740,58,56,[],689,0
266323,66,61,[],112,0
266283,130,124,[],253,0
263515,80,76,[],478,0
351072,60,57,[],198,0
351076,10,10,[],556,0
357839,80,76,[],1048,0
293714,80,76,[],55,0
263521,48,46,[],1162,0
263524,68,65,[],175,0
357827,96,92,[],1022,0
363671,250,238,[],388,0
413385,140,133,[],27,0
