id,original_price,sell_price,variations_types,stocks,size
284304,95,54,[],0,0
284319,67,38,[],0,0
420434,449,255,[],0,0
420440,249,166,[],100,0
420444,299,200,[],100,0
427657,299,170,[],0,0
383630,350,182,[],100,0
423143,699,566,[],100,0
409815,699,566,[],100,0
423825,2500,850,[],0,0
424242,225,117,[],0,0
424237,225,117,[],0,0
277152,170,113,[],100,0
424060,60,57,[],0,0
424061,60,57,[],0,0
429640,249,107,[],0,0
396261,995,805,[],0,0
423244,400,208,[],0,0
409832,150,64,[],100,0
355740,30,17,[],100,0
341173,30,15,[],100,0
