id,original_price,sell_price,variations_types,stocks,size
418770,225,165,[],100,0
418768,225,165,[],0,0
284319,67,39,[],100,0
284340,54,31,[],100,0
420435,299,219,[],100,0
387894,750,608,[],100,0
261373,600,312,[],0,0
302774,5500,3135,[],0,0
340335,225,194,[],100,0
277149,732,381,[],100,0
422301,50,26,[],100,0
424593,295,154,[],100,0
277153,170,114,[],0,0
356608,86,79,[],100,0
356613,86,79,[],100,0
356612,86,79,[],100,0
425713,1000,340,[],100,0
427660,899,603,[],100,0
420442,199,104,[],100,0
396261,995,667,[],100,0
423244,400,208,[],100,0
405876,249,130,[],100,0
423350,199,104,[],100,0
423351,549,368,[],100,0
423247,600,516,[],100,0
423246,549,237,[],100,0
423345,350,200,[],100,0
427659,899,513,[],100,0
