id,original_price,sell_price,variations_types,stocks,size
420450,299,128,[],100,0
420434,449,233,[],0,0
328664,379,253,[],100,0
426652,489,420,[],100,0
426651,1499,779,[],100,0
267279,700,364,[],100,0
326624,2600,1352,[],100,0
302774,5500,3135,[],100,0
364920,4500,3645,[],0,0
422299,75,39,[],100,0
423582,50,28,[],100,0
422300,164,85,[],100,0
284711,189,64,[],100,0
386222,499,214,[],0,0
422300,164,85,[],100,0
386223,449,327,[],100,0
321325,170,154,[],0,0
404907,99,90,[],100,0
368743,110,100,[],100,0
398725,199,181,[],100,0
410702,120,97,[],100,0
279833,475,346,[],100,0
390135,234,170,[],100,0
