id,original_price,sell_price,variations_types,stocks,size
102774,280,196,[],0,0
263699,90,87,[],0,0
267277,1350,945,[],0,0
277142,93,86,[],0,0
279813,70,63,[],0,0
279864,70,63,[],0,0
284264,65,46,[],1,0
339195,350,245,[],100,0
345202,190,171,[],100,0
346188,120,108,[],0,0
356612,86,80,[],0,0
368742,110,99,[],0,0
376908,115,69,[],0,0
381846,280,238,[],0,0
406050,200,120,[],0,0
408393,249,230,[],0,0
408984,375,300,[],0,0
419438,345,339,[],0,0
423168,205,123,[],1,0
424581,120,72,[],1,0
424733,350,322,[],0,0
424732,350,322,[],0,0
423026,465,419,[],0,0
284340,54,38,[],0,0
420463,50,30,[],0,0
427966,320,224,[],0,0
427972,700,420,[],0,0
427965,500,350,[],0,0
427964,270,189,[],0,0
427981,300,180,[],0,0
420435,299,255,[],0,0
398762,555,333,[],0,0
380159,590,472,[],0,0
424239,225,158,[],0,0
424238,225,124,[],0,0
424240,225,158,[],0,0
424064,189,171,[],100,0
356424,99,92,[],0,0
421461,109,99,[],0,0
