id,original_price,sell_price,variations_types,stocks,size
263699,90,87,[],0,0
277142,93,86,[],0,0
279813,70,63,[],0,0
279817,30,27,[],100,0
279822,28,26,[],100,0
279864,70,63,[],0,0
345202,190,171,[],100,0
346188,120,108,[],0,0
356612,86,80,[],0,0
406050,200,120,[],1,0
408393,249,230,[],0,0
409818,1149,977,[],0,0
424733,350,322,[],0,0
424732,350,322,[],0,0
423026,465,419,[],0,0
284340,54,38,[],1,0
420463,50,30,[],1,0
427966,320,224,[],0,0
427972,700,420,[],0,0
427965,500,350,[],0,0
427964,270,189,[],0,0
427981,300,180,[],0,0
424064,189,171,[],100,0
356424,99,92,[],0,0
421461,109,99,[],0,0
