id,original_price,sell_price,variations_types,stocks,size
102774,280,168,[],50,0
267276,1350,810,[],50,0
267277,1350,945,[],50,0
279813,70,63,[],50,0
279817,30,27,[],50,0
279822,28,25,[],50,0
279864,70,63,[],50,0
284264,65,39,[],50,0
284272,65,35,[],50,0
284301,66,39,[],50,0
284308,65,39,[],50,0
284317,56,33,[],50,0
284319,67,40,[],50,0
302774,5500,3300,[],50,0
307943,310,170,[],50,0
326624,2600,1430,[],50,0
330469,1400,980,[],50,0
339195,350,192,[],50,0
368742,110,93,[],50,0
368743,200,180,[],50,0
376908,115,69,[],50,0
381846,280,196,[],50,0
382049,999,549,[],50,0
382050,700,490,[],50,0
383630,350,192,[],50,0
384205,1099,659,[],50,0
387890,750,637,[],50,0
387892,375,300,[],50,0
387893,700,420,[],50,0
401672,999,549,[],50,0
401856,3900,2145,[],50,0
401857,3999,1999,[],50,0
401858,2899,1449,[],50,0
406050,200,120,[],50,0
409815,699,594,[],50,0
409816,699,594,[],50,0
409818,1149,976,[],50,0
409819,1149,976,[],50,0
409820,1149,976,[],50,0
409838,899,449,[],50,0
412256,1149,976,[],50,0
419438,345,276,[],50,0
419777,150,90,[],50,0
420446,199,109,[],50,0
420450,299,119,[],50,0
422302,315,173,[],50,0
423143,699,594,[],50,0
423167,100,60,[],50,0
423168,205,123,[],50,0
423170,165,99,[],50,0
423825,2500,1000,[],50,0
424581,120,72,[],50,0
424839,2700,1485,[],50,0
