id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
FHCNISTBCU48,0,0,0,0,1,1,0,0,0,0
FHTSWLXCHR16,0,0,0,0,1,1,0,0,0,0
FHSSWSTOWH16,0,0,0,0,1,1,0,0,0,0
42705,0,0,0,0,1,1,0,0,0,0
GWPDAMRIT00003,0,0,0,0,1,1,0,0,0,0
GWPDPPFMCBLK00,0,0,0,0,1,1,0,0,0,0
GWPDPITCH00002,0,0,0,0,1,1,0,0,0,0
440216,0,0,0,0,1,1,0,0,0,0
WOA126X0IN,0,0,0,0,1,1,0,0,0,0
WAK2006HIN,0,0,0,0,1,1,0,0,0,0
WOE654W0IN,0,0,0,0,1,1,0,0,0,0
WOE654Y0IN,0,0,0,0,1,1,0,0,0,0
WOE704W0IN,0,0,0,0,1,1,0,0,0,0
WAK2006WIN,0,0,0,0,1,1,0,0,0,0
WAK2016DIN,0,0,0,0,1,1,0,0,0,0
WOE704Y1IN,0,0,0,0,1,1,0,0,0,0
WAT2846WIN,0,0,0,0,1,1,0,0,0,0
WAK2416SIN,0,0,0,0,1,1,0,0,0,0
WAK20265IN,0,0,0,0,1,1,0,0,0,0
WAK20267IN,0,0,0,0,1,1,0,0,0,0
WAK20166IN,0,0,0,0,1,1,0,0,0,0
KDN30UL30I,0,0,0,0,1,1,0,0,0,0
KDN30UV30I,0,0,0,0,1,1,0,0,0,0
KDN42UL30I,0,0,0,0,1,1,0,0,0,0
MESM500W,0,0,0,0,1,1,0,0,0,0
MESM731M,0,0,0,0,1,1,0,0,0,0
MGM4341RIN,0,0,0,0,1,1,0,0,0,0
MGM6642WIN,0,0,0,0,1,1,0,0,0,0
MGM8842MIN,0,0,0,0,1,1,0,0,0,0
MSM67190,0,0,0,0,1,1,0,0,0,0
SMS66GI01I,0,0,0,0,1,1,0,0,0,0
WM10K161IN,0,0,0,0,1,1,0,0,0,0
WM14T461IN,0,0,0,0,1,1,0,0,0,0
GFCDFCARC00000,0,0,0,0,1,1,0,0,0,0
ACGIH-IHL101,0,0,0,0,1,1,0,0,0,0
ACGIH-IHL102,0,0,0,0,1,1,0,0,0,0
ACGIH-IHL104,0,0,0,0,1,1,0,0,0,0
ACGIH-IHL151,0,0,0,0,1,1,0,0,0,0
ACGIH-IHL152,0,0,0,0,1,1,0,0,0,0
ACGIH-IHL154,0,0,0,0,1,1,0,0,0,0
ACGIH-IHL201,0,0,0,0,1,1,0,0,0,0
ACGIH-IHL251,0,0,0,0,1,1,0,0,0,0
41331,0,0,0,0,1,1,0,0,0,0
ACPUWP,0,0,0,0,1,1,0,0,0,0
AERUM,0,0,0,0,1,1,0,0,0,0
AGO,0,0,0,0,1,1,0,0,0,0
AMUWP,0,0,0,0,1,1,0,0,0,0
ASSU,0,0,0,0,1,1,0,0,0,0
FCVC,0,0,0,0,1,1,0,0,0,0
FLV,0,0,0,0,1,1,0,0,0,0
FQCDX,0,0,0,0,1,1,0,0,0,0
FTNVC,0,0,0,0,1,1,0,0,0,0
FTWD,0,0,0,0,1,1,0,0,0,0
FVVC,0,0,0,0,1,1,0,0,0,0
FESCVC,0,0,0,0,1,1,0,0,0,0
GHFMGBNV075,0,0,0,0,1,1,0,0,0,0
HEV-001,0,0,0,0,1,1,0,0,0,0
HEV-002,0,0,0,0,1,1,0,0,0,0
HEV-006,0,0,0,0,1,1,0,0,0,0
HEV-005,0,0,0,0,1,1,0,0,0,0
HEV-007,0,0,0,0,1,1,0,0,0,0
HEV-009,0,0,0,0,1,1,0,0,0,0
HEV-008,0,0,0,0,1,1,0,0,0,0
HEV-012,0,0,0,0,1,1,0,0,0,0
HEV-003,0,0,0,0,1,1,0,0,0,0
HEV-018,0,0,0,0,1,1,0,0,0,0
HEV-021,0,0,0,0,1,1,0,0,0,0
HEV-022,0,0,0,0,1,1,0,0,0,0
HEV-014,0,0,0,0,1,1,0,0,0,0
HEV-015,0,0,0,0,1,1,0,0,0,0
HEV-016,0,0,0,0,1,1,0,0,0,0
HEV-013,0,0,0,0,1,1,0,0,0,0
41915,0,0,0,0,1,1,0,0,0,0
FNKCATPB3B90SDAG,0,0,0,0,1,1,0,0,0,0
FNKCATPB3BV01DAG,0,0,0,0,1,1,0,0,0,0
FNKCATPI3B12SDAG,0,0,0,0,1,1,0,0,0,0
FNKCATPI3B90SDAG,0,0,0,0,1,1,0,0,0,0
FNKCATPW3B90SDAG,0,0,0,0,1,1,0,0,0,0
FNKCATPW3BV01DAG,0,0,0,0,1,1,0,0,0,0
FNKCCOAB3B12ADAG,0,0,0,0,1,1,0,0,0,0
FNKCGLAB3B12SDAG,0,0,0,0,1,1,0,0,0,0
FNKCGLAB3B90SDAG,0,0,0,0,1,1,0,0,0,0
FNKCGLAB4B60SDAG,0,0,0,0,1,1,0,0,0,0
FNKCGLAI3B12SDAG,0,0,0,0,1,1,0,0,0,0
FNKCGLAI3B90SDAG,0,0,0,0,1,1,0,0,0,0
FNKCGLAW3B12SDAG,0,0,0,0,1,1,0,0,0,0
FNKCGLAW3B90SDAG,0,0,0,0,1,1,0,0,0,0
FNKCKLAB3D12SDST,0,0,0,0,1,1,0,0,0,0
FNKCSPAW3S12SDST,0,0,0,0,1,1,0,0,0,0
FNKEFREW5B20SDST,0,0,0,0,1,1,0,0,0,0
FNKEFREW5B25SDST,0,0,0,0,1,1,0,0,0,0
FNKEFREW5H20SDST,0,0,0,0,1,1,0,0,0,0
FNKEFREW6B15SDST,0,0,0,0,1,1,0,0,0,0
FNKEFREW6H15SDST,0,0,0,0,1,1,0,0,0,0
FNKEFRJW6H15SDST,0,0,0,0,1,1,0,0,0,0
FNKEFUMG3B30SDST,0,0,0,0,1,1,0,0,0,0
FNKEFUMG3H22SDST,0,0,0,0,1,1,0,0,0,0
FNKPARDL3H40SDST,0,0,0,0,1,1,0,0,0,0
FNKTTAVG3B40SDST,0,0,0,0,1,1,0,0,0,0
FNKTTAVL3H40SDST,0,0,0,0,1,1,0,0,0,0
FNKWSTIG3B40SDST,0,0,0,0,1,1,0,0,0,0
FNKWSTIL3H40SDST,0,0,0,0,1,1,0,0,0,0
KHS20W1PDBH,0,0,0,0,1,1,0,0,0,0
KJNUP45W2PDJS,0,0,0,0,1,1,0,0,0,0
KKB10C3PDBH,0,0,0,0,1,1,0,0,0,0
KKEST18C1SCID,0,0,0,0,1,1,0,0,0,0
KKKAL18C1PCID,0,0,0,0,1,1,0,0,0,0
KKOLL05C1SCLW,0,0,0,0,1,1,0,0,0,0
KKOLL10C1SCLW,0,0,0,0,1,1,0,0,0,0
KMMAX55W3SDJS,0,0,0,0,1,1,0,0,0,0
KMMIC50N3SDBB,0,0,0,0,1,1,0,0,0,0
KMMIX50N3SDBB,0,0,0,0,1,1,0,0,0,0
KMSPA50K3SDJS,0,0,0,0,1,1,0,0,0,0
KMSPI50Y3SDES,0,0,0,0,1,1,0,0,0,0
KMSTA60V3PDBF,0,0,0,0,1,1,0,0,0,0
KNACX75O1PDBM,0,0,0,0,1,1,0,0,0,0
KNALL10G1PDBM,0,0,0,0,1,1,0,0,0,0
KNARD10V1PDRG,0,0,0,0,1,1,0,0,0,0
KNBIG10W1PDBM,0,0,0,0,1,1,0,0,0,0
KNFER10W1PDBM,0,0,0,0,1,1,0,0,0,0
KNGLP10W1MDBM,0,0,0,0,1,1,0,0,0,0
KNGRA12B2PDBM,0,0,0,0,1,1,0,0,0,0
KNSAT10P1PDBM,0,0,0,0,1,1,0,0,0,0
KNSTI14W2PDBM,0,0,0,0,1,1,0,0,0,0
KNZES10B1PDBM,0,0,0,0,1,1,0,0,0,0
KNZES10R1PDBM,0,0,0,0,1,1,0,0,0,0
KNZES10T1PDBM,0,0,0,0,1,1,0,0,0,0
MOKM20GSCNMGZ,0,0,0,0,1,1,0,0,0,0
GFCDELTVC00000,0,0,0,0,1,1,0,0,0,0
41337,0,0,0,0,1,1,0,0,0,0
42702,0,0,0,0,1,1,0,0,0,0
HL1655/00,0,0,0,0,1,1,0,0,0,0
HR1350/90,0,0,0,0,1,1,0,0,0,0
