id,name
163584,Lion Desert King Dates 500 G
268009,Mtr Pulao Masala 100 G
284013,Mdh Biryani Masala 50 G
284319,Catch Coriander Powder 200 G
335603,Keya Piri Piri Instant Multi Purpose Spice Mix 80 G
340754,Sakthi Chicken Masala 50 G
359000,Eastern Vangi Bath Mix Brinjal Rice 100 G
382131,On1Y Mixed Herbs 14 G
400020,On1Y Pasta Seasoning 30 G
401672,Nutraj California Walnuts In Shell 1 Kg
407941,Keya Awadhi Kadhai Veg 100 G
413079,Happilo Queen Kalmi Dates 250 G
420434,Nutraj Premium California Pistachios Roasted & Salted 200 G
420450,Nutraj Chia Seeds 200 G
