id,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml
422300,0,0,0,0,1,1,0,0,0,0
351050,1,80,0,0,0,0,0,0,0,0
322932,1,150,0,0,0,0,0,0,0,0
322933,1,150,0,0,0,0,0,0,0,0
385295,1,100,0,0,0,0,0,0,0,0
385296,1,100,0,0,0,0,0,0,0,0
385297,1,100,0,0,0,0,0,0,0,0
318987,0,0,1,3,0,0,0,0,0,0
318989,0,0,1,10,0,0,0,0,0,0
318994,0,0,1,3,0,0,0,0,0,0
318998,0,0,1,3,0,0,0,0,0,0
318999,0,0,1,10,0,0,0,0,0,0
328680,0,0,1,15,0,0,0,0,0,0
353634,0,0,1,6,0,0,0,0,0,0
353644,0,0,1,6,0,0,0,0,0,0
380976,0,0,1,1.2,0,0,0,0,0,0
380981,0,0,1,20,0,0,0,0,0,0
392966,0,0,1,1.2,0,0,0,0,0,0
353647,1,100,0,0,0,0,0,0,0,0
353658,1,100,0,0,0,0,0,0,0,0
392913,1,905,0,0,0,0,0,0,0,0
296072,0,0,0,0,1,1,0,0,0,0
326875,0,0,0,0,1,1,0,0,0,0
329278,0,0,0,0,1,3,0,0,0,0
393065,0,0,1,1,0,0,0,0,0,0
380583,0,0,0,0,0,0,0,0,1,200
380584,0,0,0,0,0,0,0,0,1,200
267629,0,0,0,0,1,60,0,0,0,0
256655,0,0,1,1.2,0,0,0,0,0,0
259837,1,450,0,0,0,0,0,0,0,0
259856,1,480,0,0,0,0,0,0,0,0
265371,0,0,1,1.2,0,0,0,0,0,0
266156,1,700,0,0,0,0,0,0,0,0
294223,0,0,0,0,1,80,0,0,0,0
377838,0,0,1,4,0,0,0,0,0,0
377839,0,0,1,4,0,0,0,0,0,0
397379,0,0,0,0,0,0,1,2,0,0
255210,0,0,0,0,0,0,0,0,1,500
263813,0,0,1,1.5,0,0,0,0,0,0
378781,0,0,0,0,0,0,0,0,1,250
364098,0,0,0,0,0,0,0,0,1,90
374805,0,0,0,0,1,1,0,0,0,0
393204,0,0,0,0,0,0,0,0,1,12
267698,1,700,0,0,0,0,0,0,0,0
323794,0,0,0,0,0,0,0,0,1,45
399709,1,50,0,0,0,0,0,0,0,0
413967,1,700,0,0,0,0,0,0,0,0
414112,0,0,0,0,0,0,0,0,1,75
263819,0,0,0,0,0,0,0,0,1,500
263958,0,0,0,0,0,0,0,0,1,250
277139,0,0,0,0,0,0,0,0,1,500
339007,0,0,0,0,0,0,0,0,1,500
359410,0,0,0,0,0,0,0,0,1,500
381164,0,0,0,0,0,0,0,0,1,90
287732,0,0,0,0,0,0,0,0,1,200
379199,0,0,0,0,0,0,0,0,1,249
346188,0,0,0,0,0,0,0,0,1,500
390199,0,0,0,0,0,0,0,0,1,45
266954,0,0,0,0,0,0,0,0,1,220
274769,0,0,0,0,0,0,0,0,1,245
285704,0,0,0,0,0,0,0,0,1,200
378407,0,0,0,0,0,0,0,0,1,200
378408,0,0,0,0,0,0,0,0,1,400
379195,0,0,0,0,0,0,0,0,1,249
400458,0,0,0,0,0,0,0,0,1,400
404840,0,0,0,0,0,0,0,0,1,500
404844,0,0,0,0,0,0,0,0,1,500
423585,0,0,0,0,0,0,0,0,1,500
277136,0,0,0,0,0,0,0,0,1,500
373471,0,0,0,0,0,0,0,0,1,18
390198,0,0,0,0,0,0,0,0,1,45
409685,0,0,0,0,0,0,0,0,1,230
324380,0,0,0,0,0,0,0,0,1,750
230745,0,0,0,0,0,0,0,0,1,800
268762,0,0,0,0,0,0,0,0,1,400
269256,0,0,0,0,0,0,0,0,1,425
280085,0,0,0,0,0,0,0,0,1,200
285250,0,0,0,0,0,0,0,0,1,800
305909,0,0,0,0,0,0,0,0,1,12
305931,0,0,0,0,0,0,0,0,1,12
307195,0,0,0,0,0,0,0,0,1,750
320261,0,0,0,0,0,0,0,0,1,75
344712,0,0,0,0,0,0,0,0,1,800
375110,0,0,0,0,0,0,0,0,1,30
379198,0,0,0,0,0,0,0,0,1,249
388857,0,0,0,0,0,0,0,0,1,500
399061,0,0,0,0,0,0,0,0,1,200
400461,0,0,0,0,0,0,0,0,1,625
415316,0,0,0,0,0,0,0,0,1,90
415317,0,0,0,0,0,0,0,0,1,90
415752,0,0,0,0,0,0,0,0,1,100
107803,0,0,0,0,0,0,0,0,1,400
149353,0,0,0,0,0,0,0,0,1,200
264720,0,0,0,0,0,0,0,0,1,200
267006,0,0,0,0,0,0,0,0,1,500
274775,0,0,0,0,0,0,0,0,1,975
305539,0,0,0,0,0,0,0,0,1,430
307170,0,0,0,0,0,0,0,0,1,45
320254,0,0,0,0,0,0,0,0,1,240
333182,0,0,0,0,0,0,0,0,1,12
339051,0,0,0,0,0,0,0,0,1,500
359484,0,0,0,0,0,0,0,0,1,45
379196,0,0,0,0,0,0,0,0,1,249
379197,0,0,0,0,0,0,0,0,1,249
380024,0,0,0,0,0,0,0,0,1,8
404486,0,0,0,0,0,0,0,0,1,500
406004,0,0,0,0,0,0,0,0,1,750
413910,0,0,0,0,0,0,0,0,1,500
413913,0,0,0,0,0,0,0,0,1,500
415569,0,0,0,0,0,0,0,0,1,45
206182,0,0,0,0,0,0,0,0,1,45
224591,0,0,0,0,0,0,0,0,1,625
263727,0,0,0,0,0,0,0,0,1,500
263975,0,0,0,0,0,0,0,0,1,500
265611,0,0,0,0,0,0,0,0,1,500
267525,0,0,0,0,0,0,0,0,1,750
277101,0,0,0,0,0,0,0,0,1,45
281395,0,0,0,0,0,0,0,0,1,500
305920,0,0,0,0,0,0,0,0,1,300
305927,0,0,0,0,0,0,0,0,1,12
319604,0,0,0,0,0,0,0,0,1,500
320256,0,0,0,0,0,0,0,0,1,240
320263,0,0,0,0,0,0,0,0,1,45
326636,0,0,0,0,0,0,0,0,1,800
351401,0,0,0,0,0,0,0,0,1,750
383251,0,0,0,0,0,0,0,0,1,500
388856,0,0,0,0,0,0,0,0,1,500
393574,0,0,0,0,0,0,0,0,1,200
393575,0,0,0,0,0,0,0,0,1,200
393576,0,0,0,0,0,0,0,0,1,200
410315,0,0,0,0,0,0,0,0,1,125
415753,0,0,0,0,0,0,0,0,1,500
416447,0,0,0,0,0,0,0,0,1,250
107800,0,0,0,0,0,0,0,0,1,320
149354,0,0,0,0,0,0,0,0,1,200
199522,0,0,0,0,0,0,0,0,1,45
263737,0,0,0,0,0,0,0,0,1,200
263740,0,0,0,0,0,0,0,0,1,975
263753,0,0,0,0,0,0,0,0,1,975
263762,0,0,0,0,0,0,0,0,1,975
263973,0,0,0,0,0,0,0,0,1,500
264746,0,0,0,0,0,0,0,0,1,245
264786,0,0,0,0,0,0,0,0,1,150
266952,0,0,0,0,0,0,0,0,1,200
266967,0,0,0,0,0,0,0,0,1,250
266981,0,0,0,0,0,0,0,0,1,500
266984,0,0,0,0,0,0,0,0,1,245
267533,0,0,0,0,0,0,0,0,1,225
273561,0,0,0,0,0,0,0,0,1,180
273562,0,0,0,0,0,0,0,0,1,400
281366,0,0,0,0,0,0,0,0,1,200
281394,0,0,0,0,0,0,0,0,1,975
286560,0,0,0,0,0,0,0,0,1,250
305921,0,0,0,0,0,0,0,0,1,320
337399,0,0,0,0,0,0,0,0,1,500
337452,0,0,0,0,0,0,0,0,1,500
356612,0,0,0,0,0,0,0,0,1,500
356613,0,0,0,0,0,0,0,0,1,500
365691,0,0,0,0,0,0,0,0,1,200
365693,0,0,0,0,0,0,0,0,1,200
381421,0,0,0,0,0,0,0,0,1,240
381422,0,0,0,0,0,0,0,0,1,270
381423,0,0,0,0,0,0,0,0,1,240
385320,0,0,0,0,0,0,0,0,1,35
385321,0,0,0,0,0,0,0,0,1,45
397073,0,0,0,0,0,0,0,0,1,225
399060,0,0,0,0,0,0,0,0,1,625
401090,0,0,0,0,0,0,0,0,1,45
402098,0,0,0,0,0,0,0,0,1,800
402996,0,0,0,0,0,0,0,0,1,250
408288,0,0,0,0,0,0,0,0,1,240
408290,0,0,0,0,0,0,0,0,1,240
408291,0,0,0,0,0,0,0,0,1,240
408292,0,0,0,0,0,0,0,0,1,240
408704,0,0,0,0,0,0,0,0,1,500
408705,0,0,0,0,0,0,0,0,1,750
409710,0,0,0,0,0,0,0,0,1,450
410300,0,0,0,0,0,0,0,0,1,400
413314,0,0,0,0,0,0,0,0,1,45
413926,0,0,0,0,0,0,0,0,1,450
245525,0,0,0,0,0,0,0,0,1,500
263760,0,0,0,0,0,0,0,0,1,500
263939,0,0,0,0,0,0,0,0,1,500
