id,name
393039,Grocery Avarai Split 1Kg
392831,Grocery Avarai Whole 1 Kg
392836,Grocery Avarai Whole 500G
392826,Grocery Avarai Whole 500G
393037,Grocery Urad Black Split 1Kg
393045,Grocery Urad Black Split 500G
392756,Grocery Fried Gram 500G
392739,Grocery Green Moong Whole 1Kg
392763,Grocery Green Moong Whole 500G 
392746,Grocery Green Peas Reg 5 Kg
392769,Grocery Kabuli Chana Reg 5Kg
392842,Grocery Red Moong Whole 1Kg
392774,Grocery Moong Dal 1Kg
392777,Grocery Moong Dal 5Kg 
392780,Grocery Moong Dal 500G
392768,Grocery Green Moong Dal Split 1Kg
392845,Grocery Green Moong Dal Split 500G
392833,Grocery Popcorn 500G
392773,Grocery Rajma Red Reg 5Kg
392846,Grocery Red Moong Dal Whole 500G
392771,Grocery Red Rajma 1Kg
392823,Grocery Red Rajma 500G
392744,Grocery Small Brown Chana Dal 5Kg
292767,Grocery Toor Dal Reg 5Kg
392782,Grocery Urad Dal 5Kg
392752,Grocery Urad Dal Whole 500G
392808,Grocery Urad Dal Whole Reg 5 Kg
297720,Grocery Wheat Brocken Daliya 1 Kg
392755,Grocery Brown Chana Small 1Kg
392751,Grocery Brown Chana Small 500G
392821,Grocery Chana Dal 1 Kg 
392764,Grocery Chana Dal 5Kg
392758,Grocery Chana Dal 500G
387226,Dauble Horse Appam Idiyappam Pathri 500G
269798,Double Horse Semolina Roasted Rava 500G
388533,Grocery Besan Flour 500G
392762,Grocery Green Moong Split 1 Kg
392848,Grocery Green Moong Whole 5 Kg
392804,Grocery Green Peas 1Kg
392765,Grocery Horse Gram 1Kg
392759,Grocery Horse Gram 500G
388780,Maida Flour 500G
392810,Grocery Moong Dal 500G
392749,Grocery Moong Dal 5 Kg
SB0029,Moong Whole Loose
368382,Organic Tattva Arhar (Toor) Dal 1kg
392781,Grocery Toor Dal 1Kg
392785,Grocery Toor Dal 500G
100554,"Saffola Tasty, Pro Fitness Conscious Edible Oil, 1ltr Pouch"
274123,Sunny Refined Sunflower Oil 15kg (Tin)
393282,"Freedom Refined Sunflower Oil, 1Ltr Pet Bottle"
