id,name
378177,Vivel Aloe Vera Bathing Soap(150 G X 4+1)
382114,Colgate Gentle Sensitive Ultrasoft Toothbrush 4 Pc
398188,Oral-B Charcoal Sensitive Toothbrush Buy 2 Get 1
399021,Oral-B Anti-Plaque Toothbrush Buy2 Get2
399219,Patanjali Dant Kanti Regular Toothpaste 200+200+100G
399220,Oral-B 123 Cvty Defense Soft 6 S Toothbrush
400822,Colgate Total Advance Health Toothpaste 120+65 G
402622,Oral-B Anti-Plaque With Neem Toothbrush B2 G2
404907,Chandrika Hand Wash 215Ml Buy 1 Get 1
408737,Fiama Hand Wash Happy 350 Ml Pouch
412266,Axe Shower Gel Peace 250 Ml
