id,original_price,sell_price,variations_types,stocks,size
434858,1800,1458,[],100,0
435038,1500,1290,[],100,0
435808,2180,1592,[],100,0
435809,3000,2190,[],100,0
434973,3000,2850,[],100,0
435807,2040,1592,[],100,0
346514,650,592,[],100,0
434967,1050,840,[],100,0
434859,1250,1000,[],100,0
435020,2080,1332,[],100,0
435032,1500,1065,[],100,0
435018,1500,1095,[],100,0
279649,2160,1460,[],100,0
392164,1766,1307,[],100,0
357692,1500,855,[],100,0
333126,1500,1125,[],100,0
393593,1500,1350,[],100,0
304705,1500,1290,[],100,0
366493,1500,1290,[],100,0
417117,2080,1415,[],100,0
342391,2080,1602,[],100,0
422981,2100,1617,[],100,0
417113,2080,1332,[],100,0
399514,1500,1215,[],100,0
357693,1500,1215,[],100,0
391298,1500,1095,[],100,0
381058,2080,1581,[],100,0
