id,original_price,sell_price,variations_types,stocks
405217,22,22,[],0
251150,18,16,[],30
250543,143,130,1000|500|250,30
249926,286,260,1000|500|2000,30
249944,248,225,1000|500|2000,30
249951,193,175,1000|500|2000,30
249961,275,250,1000|500|2000,30
285818,286,260,1000|500|2000,0
249963,248,225,1000|500|2000,30
249953,291,264,1000|500|2000,0
250544,83,75,[],0
342749,49,44,[],0
250624,253,230,[],30
250625,121,110,1000|500|2000,30
368181,37,33,[],0
250626,49,44,[],0
250512,54,49,[],30
250103,94,85,1000|500|2000,0
250553,66,60,1000|500|2000,30
250110,94,85,1000|500|2000,30
250116,33,30,1000|500|2000,30
250549,18,16,[],30
250122,73,66,1000|500|2000,30
250545,22,20,[],30
250547,7,6,[],0
250492,44,40,1000|500|250,30
250641,55,50,1000|500|250,30
250554,44,40,1000|500|2000,30
250474,61,55,1000|500|250,0
250561,55,50,1000|500|250,30
403952,275,260,[],30
250569,44,40,[],30
250460,55,50,1000|500|250,30
250457,44,40,1000|500|250,30
250445,55,50,1000|500|250,30
250638,209,190,1000|500|2000,30
250521,20,18,[],30
250656,110,100,[],0
250657,138,125,[],30
250462,61,55,1000|500|2000,30
250634,165,150,1000|500|2000,0
250635,165,150,1000|500|2000,30
250536,77,70,1000|500|250,30
273395,77,70,1000|500|2000,0
347642,109,99,1000|500|2000,30
250931,43,39,[],30
250660,154,140,1000|500|2000,30
250465,44,40,1000|500|250,0
250468,44,40,1000|500|250,30
250570,55,50,1000|500|2000,30
250574,50,45,1000|500|2000,30
252663,28,25,[],30
250586,55,50,1000|500|2000,30
250679,30,27,[],30
250438,44,40,1000|500|2000,30
250440,17,15,1000|500|2000,30
250443,28,25,[],30
250680,17,15,[],30
250216,110,100,1000|500|2000,0
250600,66,60,[],0
279522,31,28,1000|500|2000,0
279427,193,175,1000|500|2000,0
250615,6,5,[],0
405152,60,58,1000|500|2000,0
368287,39,35,[],30
405143,38,34,[],0
250511,70,63,[],30
277860,75,50,[],30
250591,83,75,1000|500|2000,30
279433,286,260,1000|500|2000,30
SB0040,176,160,[],0
250200,99,90,[],0
250205,165,150,[],0
250490,138,125,1000|500|250,0
250219,77,70,1000|500|2000,0
250667,149,135,1000|500|250,0
340409,165,150,1000|500|2000,30
298938,28,25,[],30
250930,33,30,1000|500|2000,30
250658,165,150,1000|500|2000,0
261478,61,55,1000|500|250,30
405202,143,130,1000|500|2000,30
250645,143,130,1000|500|2000,30
250647,165,150,1000|500|2000,0
250231,72,65,1000|500|2000,0
SB0041,253,230,[],0
SB0043,193,175,1000|500|2000,0
SB0042,176,160,1000|500|2000,0
250383,66,60,1000|500|2000,0
SB0039,61,55,1000|500|250,0
250406,88,80,1000|500|2000,30
250683,29,26,[],30
250685,25,22,[],30
249877,66,60,1000|500|2000,30
368136,55,45,[],30
