id,original_price,sell_price,variations_types,stocks
SB0001,61,60,500|1000|2000|3000|4000|5000,40
SB0002,38,37,500|1000|2000|3000|4000|5000,40
SB0004,173,170,500|1000|2000|3000|4000|5000,40
SB0005,74,73,500|1000|2000|3000|4000|5000,40
SB0006,36,36,500|1000|2000|3000|4000|5000,0
SB0007,54,53,500|1000|2000|3000|4000|5000,40
SB0008,50,49,500|1000|2000|3000|4000|5000,40
SB0009,266,262,100|200|300|400|500|600|700|800|900|1000,0
SB0010,145,144,500|1000|2000|3000|4000|5000,0
SB0011,41,40,500|1000|2000|3000|4000|5000,40
SB0012,138,135,500|1000|2000|3000|4000|5000,40
SB0013,83,81,500|1000|2000|3000|4000|5000,40
SB0014,103,101,500|1000|2000|3000|4000|5000,40
SB0015,58,57,500|1000|2000|3000|4000|5000,40
SB0016,115,113,500|1000|2000|3000|4000|5000,40
SB0017,109,107,500|1000|2000|3000|4000|5000,40
SB0018,87,86,500|1000|2000|3000|4000|5000,40
SB0019,127,125,500|1000|2000|3000|4000|5000,40
SB0020,104,102,500|1000|2000|3000|4000|5000,40
SB0021,142,140,500|1000|2000|3000|4000|5000,40
SB0022,81,79,500|1000|2000|3000|4000|5000,40
SB0023,150,147,500|1000|2000|3000|4000|5000,40
SB0024,127,125,500|1000|2000|3000|4000|5000,0
SB0026,140,138,500|1000|2000|3000|4000|5000,0
SB0027,140,138,500|1000|2000|3000|4000|5000,0
SB0028,109,107,500|1000|2000|3000|4000|5000,40
SB0029,127,125,500|1000|2000|3000|4000|5000,40
SB0030,109,107,500|1000|2000|3000|4000|5000,40
SB0031,35,34,500|1000|2000|3000|4000|5000,40
SB0032,107,105,500|1000|2000|3000|4000|5000,40
SB0033,47,46,500|1000|2000|3000|4000|5000,40
SB0034,121,119,500|1000|2000|3000|4000|5000,40
SB0035,46,46,500|1000|2000|3000|4000|5000,0
SB0003,39,38,500|1000|2000|3000|4000|5000,40
SB0025,42,42,500|1000|2000|3000|4000|5000,40
SB0036,120,118,500|1000|2000|3000|4000|5000,40
