nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,265939,49,265939.jpg,Mrecipe Aloo Papad  70 g,"[""265939.jpg"",""265939-1.jpg"",""265939-2.jpg"",""265939-3.jpg"","" "",]",31,29,7,1,5,101,0,0,1,70,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,7009|1261|1395,1905,504
0,265971,49,265971.jpg,Mothers Recipe Punjabi Masala Papad 200 g,"[""265971.jpg"",""265971-1.jpg"",""265971-2.jpg"",""265971-3.jpg"","" "",]",76,70,8,1,5,101,0,0,1,200,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,7033|1261|1395|1401,1905,504
0,277180,49,277180.jpg,Double Horse Fish Pickle glass Bottle 400 g,"[""277180.jpg"",""277180-1.jpg"",""277180-2.jpg"",""277180-3.jpg"","" "",]",200,134,33,1,5,42,1,0,1,400,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,7529|1377|1386,4101,204
0,339079,49,339079.jpg,Mrecepi Rice Papad Ajwain 75 g,"[""339079.jpg"",""339079-1.jpg"",""339079-2.jpg"",""339079-3.jpg"","" "",]",21,19,10,1,5,101,0,0,1,75,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,8965|1261|1395,1905,504
0,347696,49,347696.jpg,Mothers Recipe Madras Appalam100 g,"[""347696.jpg"",""347696-1.jpg"",""347696-2.jpg"",""347696-3.jpg"","" "",]",50,46,8,1,5,101,0,0,1,100,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,1659,1905,504
0,357788,49,357788.jpg,Mothers Recipe Moong Papad 200 g,"[""357788.jpg"",""357788-1.jpg"",""357788-2.jpg"",""357788-3.jpg"","" "",]",65,60,8,1,5,43,0,0,1,200,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,9437|1261|1395|1397,1905,504
0,357798,49,357798.jpg,Mothers Recipe Channa Masala Papad 200 g,"[""357798.jpg"",""357798-1.jpg"",""357798-2.jpg"",""357798-3.jpg"","" "",]",79,73,8,1,5,101,0,0,1,200,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,9438|1261|1395|1398|1401,1905,504
0,358503,49,358503.jpg,Manna Olive Oil garlic Pickle glass Bottle 300 g,"[""358503.jpg"",""358503-1.jpg"",""358503-2.jpg"",""358503-3.jpg"","" "",]",109,97,12,1,5,42,0,0,1,300,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,9463|1377,4101,461
0,364926,49,364926.jpg,Ambika Appalam No.3 (255 g),"[""364926.jpg"",""364926-1.jpg"",""364926-2.jpg"",""364926-3.jpg"","" "",]",117,108,8,1,5,101,0,0,1,255,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,9629|1261|1262,1905,25
0,368703,49,368703.jpg,Double Horse Prawn Pickle Pouch 200 g,"[""368703.jpg"",""368703-1.jpg"",""368703-2.jpg"",""368703-3.jpg"","" "",]",108,100,8,0,5,42,0,0,1,200,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,9738|1377|1387,4101,204
0,368704,49,368704.jpg,Double Horse Fish Pickle Pouch 200 g,"[""368704.jpg"",""368704-1.jpg"",""368704-2.jpg"",""368704-3.jpg"","" "",]",90,60,34,0,5,42,0,0,1,200,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,9739|1377|1386,4101,204
