nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
0,SB0006,49,SB0006.jpg,ARO Raw Rice loose,"[""SB0006.jpg"","" "","" "","" "","" "",]",36,33,10,1,2,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,2000|5000|10000,1,0,891|12696|301|927,0
0,SB0026,49,SB0026.jpg,Black Urad Loose,"[""SB0026.jpg"","" "","" "","" "","" "",]",160,145,10,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,892|923|927,0
0,SB0013,49,SB0013.jpg,Brown Channa loose,"[""SB0013.jpg"","" "","" "","" "","" "",]",96,87,10,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,893|895|927,0
0,SB0015,49,SB0015.jpg,Brown Rice loose,"[""SB0015.jpg"","" "","" "","" "","" "",]",62,56,10,1,2,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,2000|5000|10000,1,0,894|12696|301|927,0
0,SB0018,49,SB0018.jpg,Channa Dal Loose,"[""SB0018.jpg"","" "","" "","" "","" "",]",98,89,10,1,2,25,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,895|895|927,0
0,SB0002,49,SB0002.jpg,Dosa Rice Loose,"[""SB0002.jpg"","" "","" "","" "","" "",]",45,41,10,1,2,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,2000|5000|10000,1,0,896|12696|301|927,0
0,SB0009,49,SB0009.jpg,Dry Copra Loose,"[""SB0009.jpg"","" "","" "","" "","" "",]",278,253,10,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,0,0,897|927,0
0,SB0030,49,SB0030.jpg,Fried Gram loose,"[""SB0030.jpg"","" "","" "","" "","" "",]",120,109,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,898|927,0
0,SB0004,49,SB0004.jpg,Green peas loose,"[""SB0004.jpg"","" "","" "","" "","" "",]",54,49,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,899|927,0
0,SB0022,49,SB0022.jpg,Horse Gram Loose,"[""SB0022.jpg"","" "","" "","" "","" "",]",87,79,10,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,900|927,0
0,SB0031,49,SB0031.jpg,Idly rawa loose,"[""SB0031.jpg"","" "","" "","" "","" "",]",36,33,10,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500,1,0,901|927,0
0,SB0035,49,SB0035.jpg,Idly Rice loose,"[""SB0035.jpg"","" "","" "","" "","" "",]",43,39,10,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,2000|5000|10000,0,0,902|12696|301|927,0
0,SB0014,49,SB0014.jpg,Jeera Rice Loose,"[""SB0014.jpg"","" "","" "","" "","" "",]",125,114,10,1,2,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,2000|5000|10000,1,0,903|12696|301|927,0
0,SB0034,49,SB0034.jpg,Kabuli channa Loose,"[""SB0034.jpg"","" "","" "","" "","" "",]",73,66,10,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,0,0,904|895|927,0
0,SB0005,49,SB0005.jpg,Kolam Raw rice loose,"[""SB0005.jpg"","" "","" "","" "","" "",]",83,75,10,1,2,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,2000|5000|10000,1,0,905|12696|301|927,0
0,SB0016,49,SB0016.jpg,Lobia Red Loose,"[""SB0016.jpg"","" "","" "","" "","" "",]",132,120,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,906|927,0
0,SB0036,49,SB0036.jpg,lobia White,"[""SB0036.jpg"","" "","" "","" "","" "",]",125,114,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,907|927,0
0,SB0032,49,SB0032.jpg,Masoor dal Loose,"[""SB0032.jpg"","" "","" "","" "","" "",]",112,102,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,908|927,0
0,SB0017,49,SB0017.jpg,Moong Dal Loose,"[""SB0017.jpg"","" "","" "","" "","" "",]",151,137,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,909|299|909|927,0
0,SB0029,49,SB0029.jpg,Moong hole Loose,"[""SB0029.jpg"","" "","" "","" "","" "",]",158,144,10,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,20/12/2056,0,0,5,4,1,0,1000|500|250,1,0,910|299|909|927,0
