nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,100012,49,100012.jpg,"McCain French Fries Regular Pack, 420g","[""100012.jpg"",""100012-1.jpg"",""100012-2.jpg"",""100012-3.jpg"","" "",]",100,90,10,1,5,103,0,0,1,420,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6002|1491,0,470
0,100223,49,100223.jpg,Kinley mineral water 500ml (Pack of 24),"[""100223.jpg"","""","""",""""]",240,207,14,1,4,37,1,0,0,0,0,0,0,0,0,0,1,50,,,,20/12/2050,0,0,5,4,1,0,[],0,18,493,2201,387
0,1003AEI,46,1003AEI.jpg,itoys Box Cricket Set-(B),"[""1003AEI.jpg"",""1003AEI-1.jpg"",""1003AEI-2.jpg"",]",599,527,13,1,11,126,1,0,0,0,0,0,0,0,0,0,0,0,"<ul>
 	<li>Minimum Age: 4years</li>
 	<li>Included Components: 1 Cricket Bat, 1 Ball, 3 stumps, 1 stump stand</li>
 	<li>Improves hand-eye co-ordination and increases mobility</li>
 	<li>Made of durable and non toxic plastic</li>
 	<li>For outdoor gaming fun</li>
</ul>",,,20/12/2050,0,0,5,4,1,0,[],0,12,2903|4423|12508,9503,349
0,1004ABEI,46,1004ABEI.jpg,itoys Cricket Set with 4 Wickets,"[""1004ABEI.jpg"",""1004ABEI-1.jpg"",""1004ABEI-2.jpg"",""1004ABEI-3.jpg"",]",549,483,13,1,11,126,1,0,0,0,0,0,0,0,0,0,0,0,"<ul>
 	<li>Attractive Avengers print</li>
 	<li>Made of durable plastic</li>
 	<li>This cricket set is a great way to make exercise fun and help children develop healthy habits</li>
 	<li>This cricket set has been specially designed to give future international cricketers a flying start to their practice.</li>
 	<li>This cricket set is a great way to make exercise fun and help children develop healthy habits.</li>
</ul>",,,20/12/2050,0,0,5,4,1,0,[],0,12,2902|4423|12508,9503,349
0,100554,49,100554.jpg,"Saffola Tasty, Pro Fitness Conscious Edible Oil, Jar, 1 L","[""100554.jpg"",""100554-1.jpg"",""100554-2.jpg"",""100554-3.jpg"","" "",]",200,188,7,1,10,61,0,0,0,0,0,0,0,0,1,1,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,5,12653|6003|356|416,1512,665
0,100968,49,100968.jpg,Mysore Sandal Soap  450 g,"[""100968.jpg"",""100968-1.jpg"",""100968-2.jpg"",""100968-3.jpg"","" "",]",232,219,6,1,6,45,0,0,1,450,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6004|786|630,0,513
0,101030,49,101030.jpg,Germisol Black Phenyl 5 L,"[""101030.jpg"",""101030-1.jpg"",""101030-2.jpg"",""101030-3.jpg"","" "",]",585,536,9,1,7,20,0,0,0,0,0,0,0,0,1,5,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,6005|1078|1079,0,272
0,101165,49,101165.jpg,Tide Plus Detergent Powder (2 kg),"[""101165.jpg"",""101165-1.jpg"",""101165-2.jpg"",""101165-3.jpg"","" "",]",215,200,7,1,7,50,0,0,0,0,1,2,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,12595|6006|1066|1003,1234,762
0,101263,49,101263.jpg,Haldiram All In One 350g,"[""101263.jpg"",""101263-1.jpg"",""101263-2.jpg"",""101263-3.jpg"","" "",]",90,83,8,1,5,43,0,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,6007|1422|1448,0,304
0,101306,49,101306.jpg,Haldiram Khatta Meetha 350g,"[""101306.jpg"",""101306-1.jpg"",""101306-2.jpg"",""101306-3.jpg"","" "",]",65,61,7,1,5,43,0,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6008|1422|1458,1102,304
0,101316,49,101316.jpg,Haldiram Mixture 350g,"[""101316.jpg"",""101316-1.jpg"",""101316-2.jpg"",""101316-3.jpg"","" "",]",65,61,7,1,5,43,0,0,1,350,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6009|1302|1422,0,304
0,101360,49,101360.jpg,Vicks Vaporub Ointment 10 g (Pack Of 12),"[""101360.jpg"",""101360-1.jpg"",""101360-2.jpg"",""101360-3.jpg"","" "",]",480,401,17,1,6,105,0,0,1,10,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6010|845|847,0,794
0,101401,49,101401.jpg,Haldiram Moong Dal 400G,"[""101401.jpg"",""101401-1.jpg"",""101401-2.jpg"",""101401-3.jpg"","" "",]",100,91,9,1,5,43,0,0,1,400,0,0,0,0,0,0,0,0,,,,20/12/2050,0,1,5,4,1,0,[],0,18,6011|1422|1466,713,304
