id,original_price,sell_price,variations_types,stocks,size
103246,315,299,[],0,0
130138,1200,1032,[],0,0
130307,1320,1135,[],0,0
152075,1380,1186,[],0,0
180963,2760,2511,[],0,0
251042,35,34,[],0,0
251045,35,34,[],0,0
265074,28,25,[],0,0
265692,58,52,[],0,0
265694,40,36,[],0,0
265699,70,63,[],0,0
265708,100,91,[],0,0
265712,105,102,[],0,0
265721,35,34,[],0,0
265722,109,106,[],0,0
265728,105,102,[],0,0
274035,10,9,[],0,0
284429,110,107,[],0,0
288957,960,912,[],0,0
292392,720,684,[],0,0
292395,30,29,[],0,0
292398,30,29,[],0,0
293396,110,107,[],0,0
317201,400,344,[],0,0
319237,95,69,[],0,0
320389,150,142,[],0,0
326169,120,80,[],0,0
332173,40,36,[],0,0
333824,315,286,[],0,0
343625,20,19,[],0,0
344463,105,102,[],0,0
354112,75,73,[],0,0
355217,960,825,[],0,0
355218,960,825,[],0,0
357240,110,104,[],0,0
360460,135,128,[],0,0
366484,65,59,[],0,0
374307,65,59,[],0,0
374308,65,59,[],0,0
375357,10,9,[],0,0
376647,120,109,[],0,0
376648,140,127,[],0,0
376820,110,100,[],0,0
376821,110,100,[],0,0
378037,20,19,[],0,0
378180,199,189,[],0,0
380160,40,39,[],0,0
384053,33,30,[],0,0
387954,30,28,[],0,0
390058,140,127,[],0,0
391668,120,114,[],0,0
393018,22,20,[],0,0
393057,40,38,[],0,0
395300,480,456,[],0,0
395325,480,456,[],0,0
395338,1200,1140,[],0,0
395422,720,583,[],0,0
397630,110,104,[],0,0
397631,40,38,[],0,0
397632,110,104,[],0,0
397637,120,114,[],0,0
397640,110,104,[],0,0
399397,240,218,[],0,0
401819,120,114,[],0,0
408948,55,50,[],0,0
408949,55,50,[],0,0
408950,55,50,[],0,0
411331,30,27,[],0,0
411333,10,9,[],0,0
411339,40,32,[],0,0
411340,40,39,[],0,0
411341,40,39,[],0,0
411351,30,27,[],0,0
411357,20,18,[],0,0
411365,30,27,[],0,0
411366,30,27,[],0,0
411367,30,27,[],0,0
411368,30,27,[],0,0
415728,130,123,[],0,0
415731,30,27,[],0,0
422278,252,239,[],0,0
422717,90,72,[],0,0
423957,150,142,[],0,0
171651,183,166,[],0,0
177140,435,395,[],0,0
181597,215,195,[],0,0
181598,200,196,[],0,0
189439,695,632,[],0,0
266005,65,59,[],0,0
268700,320,291,[],0,0
279324,130,111,[],0,0
284406,75,71,[],0,0
288854,55,50,[],0,0
293388,10,9,[],0,0
294955,1320,1254,[],0,0
295241,55,50,[],0,0
295244,105,95,[],0,0
295248,55,50,[],0,0
295743,37,33,[],0,0
314915,160,145,[],0,0
318057,70,63,[],0,0
326778,10,9,[],0,0
326782,10,9,[],0,0
326783,10,9,[],0,0
326784,10,9,[],0,0
326785,10,9,[],0,0
337064,50,45,[],0,0
339078,21,19,[],0,0
350698,90,81,[],0,0
350699,90,81,[],0,0
350701,50,45,[],0,0
352836,130,127,[],0,0
353126,10,9,[],0,0
354204,65,61,[],0,0
356978,198,170,[],0,0
357016,85,73,[],0,0
357724,15,14,[],0,0
365941,31,31,[],0,0
379038,150,136,[],0,0
381208,150,147,[],0,0
381209,150,147,[],0,0
382127,139,132,[],0,0
382614,75,68,[],0,0
382615,75,68,[],0,0
383764,55,52,[],0,0
383766,55,52,[],0,0
386846,79,71,[],0,0
394623,110,100,[],0,0
402185,60,34,[],0,0
411457,99,90,[],0,0
411464,149,141,[],0,0
411465,125,113,[],0,0
413632,200,172,[],0,0
413946,95,81,[],0,0
415842,25,14,[],0,0
415843,25,14,[],0,0
415857,25,14,[],0,0
416258,40,36,[],0,0
416259,20,18,[],0,0
416261,20,18,[],0,0
416284,40,36,[],0,0
416285,50,45,[],0,0
416315,25,22,[],0,0
417222,48,35,[],0,0
417223,48,35,[],0,0
