id,original_price,sell_price,variations_types,stocks,size
102774,289,275,[],1543,0
102830,410,390,[],0,0
102833,209,199,[],0,0
154171,450,428,[],289,0
206980,223,212,[],0,0
206981,222,211,[],0,0
206982,235,224,[],0,0
227052,575,524,[],0,0
246395,240,207,[],0,0
258403,580,528,[],0,0
258415,120,114,[],0,0
258418,129,123,[],0,0
258421,325,309,[],50,0
259032,249,237,[],34,0
264328,205,195,[],0,0
264329,180,171,[],0,0
267384,110,105,[],0,0
269603,540,492,[],49,0
273590,1175,1070,[],0,0
275254,610,580,[],204,0
275258,610,580,[],0,0
275260,1290,1174,[],34,0
275261,1290,1174,[],0,0
284782,124,118,[],71,0
284783,299,285,[],0,0
286624,245,223,[],266,0
295518,168,160,[],0,0
305562,120,114,[],306,0
305787,595,542,[],72,0
305790,360,328,[],113,0
305792,560,510,[],83,0
309773,410,374,[],136,0
320300,58,56,[],0,0
321963,565,537,[],39,0
321964,590,561,[],56,0
325576,305,290,[],0,0
325736,120,114,[],26,0
327083,1015,924,[],36,0
327084,1015,924,[],0,0
337056,125,114,[],128,0
343195,95,87,[],62,0
343476,149,136,[],69,0
363367,399,380,[],0,0
371031,240,228,[],221,0
371033,300,273,[],0,0
375612,360,328,[],135,0
375613,560,510,[],88,0
377965,310,295,[],0,0
383156,1699,1377,[],0,0
383278,8670,7890,[],0,0
391756,325,309,[],0,0
399375,30,29,[],123,0
400282,1020,929,[],27,0
403853,20,20,[],380,0
406033,285,260,[],28,0
406035,285,260,[],32,0
408965,55,51,[],0,0
411235,390,371,[],52,0
412853,254,242,[],182,0
412854,351,334,[],200,0
412855,435,414,[],122,0
412856,459,437,[],97,0
412859,215,205,[],64,0
412860,225,214,[],33,0
412861,240,228,[],200,0
412863,245,233,[],51,0
412865,114,109,[],147,0
412869,380,361,[],0,0
412909,120,114,[],563,0
412912,790,751,[],28,0
412914,310,295,[],40,0
412916,475,452,[],67,0
412933,299,285,[],57,0
412943,299,285,[],45,0
415173,199,190,[],451,0
415175,199,190,[],246,0
417991,195,186,[],50,0
419358,209,199,[],0,0
419361,275,262,[],105,0
419362,290,276,[],71,0
