id,name,kind
144126,"MTR Foods Spice Puliyogare Powder, 27g (pack of 10)",1
174626,MDH Kasoori Meethi 500 g,1
174631,"MDH Turmeric Powder, 500 g",1
174635,"MDH Lal Mirch, 500 g",1
174636,"MDH Dhania Powder, 500 g",1
204912,"Knorr Chicken Broth Powder, 500 g",1
206046,BSF Chilli / Lal Mirch Powder 5 kg,1
206047,BSF Turmeric Powder 5 kg,1
206776,Everest Chaat Masala 500 g,1
206778,"Everest Tikhalal Chilli Powder, 500 g",1
206779,Everest Coriander Powder 500 g,1
222085,"MDH Kitchen King Mixed Spices Powder, 500 g",1
240449,Nutraj Pumpkin Seeds 200g,1
259411,Chilli Guntur Stemless 5 kg,1
260767,MTR Bisibelabath Masala 100 g,1
260770,"MTR Rasam Powder, 200 g",1
260772,MTR Sambar Masala Powder 200 g,1
260797,"MDH Chunky Chat Masala, 100 g",1
260798,"MDH Chicken Masala, 100 g",1
260799,"MDH Deggi Chilli, 100 g",1
260806,"MDH Kitchen King Mixed Spices Powder, 100 g",1
264515,Dabur Hommade Ginger Garlic Paste 100 g,1
264516,Dabur Hommade Ginger Garlic Paste 200 g,1
264590,Dabur Hommade garlic Paste200 g,1
264591,Dabur Hommade Ginger Garlic Paste 200 g,1
264593,Hommade Dabur Tamarind Paste 200 g,1
265317,"MDH Pav Bhaji Masala, 100 g",1
265490,Everest Turmeric Powder 500 g,1
265958,Mothers Recipe garlic Paste200 g,1
265974,MTR Sambar Rice Ready To Eat 300 g,1
266031,MDH Kasoori Meethi 100 g,1
266032,"MDH Garam Masala, 100 g",1
266034,Everest Kasuri Methi 100 g,1
266580,Everest Black Pepper Powder 100 g,1
266585,Catch Sprinklers Chat Masala 100 G,1
267979,MDH Cumin / Jeera Powder (100 g),1
267995,Everest Chicken Masala 100 g,1
268002,Everest Chat Masala Powder 50 g,1
268005,Mtr Vangi Bath Masala 100 G,1
268007,"MTR Spice Pav Bhaji Masala, 100 g",1
268008,Catch Sprinklers Black Pepper 100 G,1
268009,Mtr Pulao Masala 100 G,1
268010,Kwality Noodles Masala Powder 100 g,1
268011,Catch Sprinklers Black Pepper 50 G,1
268012,Everest garam Masala Powder 50 g,1
268013,"MDH Turmeric Powder, 100 g",1
268023,Kwality Gobi Manchurian Masala 125g,1
268024,MDH Jal Jeera Powder 100 g,1
268025,Everest Super garam Masala Powder 200 g,1
268026,"MTR Masala - Puliogare Powder, 200 g Pouch",1
268033,Everest Chicken Masala 200 g,1
268035,MTR Puliogare Paste 200 g,1
268039,Everest Hing Powder 50 g,1
268041,SVT Hotel Special Asafoetida / Hing Compounded 250 g,1
268042,Mtr Jeera Powder 100 G,1
268046,MTR Chutney Powder 200 g,1
268048,"Kwality Garam Masala, 100 g",1
268055,"Mother Recipe Ginger Paste, 100 g",1
268059,"MTR Spice Black Pepper Powder, 50 g",1
268060,"Mother Recipe Ginger Garlic Paste, 100 g",1
268064,"Mother Recipe Garlic Paste, 100 g",1
268068,Everest Black Pepper Powder 50 g,1
268071,Everest Punjab Chole Masala 50 g,1
268073,Everest Shahi Biryani Masala Powder 50 g,1
268074,Everest Meat Masala Powder 50 g,1
268076,Everest Chicken Masala 50 g,1
268077,Everest Tandoori Chicken 100 g,1
268078,Everest Chole Masala 100 g,1
268931,"MDH Chana Masala, 100 g",1
268932,Mdh Meat Ka Masala 100 G,1
268937,Everest Chat Masala Powder 100 g,1
268939,Everest Meat Masala Powder 100 g,1
268941,Everest Pav Bhaji Masala 100 g,1
268942,Everest Kitchen King Masala 100 g,1
268943,"Everest garam Masala,100 g",1
268944,Everest White Pepper Powder 100 g,1
269133,"MDH Amchoor Powder, 100 g Pouch",1
269268,MDH Kashmiri Mirch Powder 100 G,1
269286,"MDH Dhania Powder, 100g",1
270518,"MDH White Pepper Powder, 100 g",1
270787,Ravi Puliyogare Powder 200g,1
271130,"Everest Cumin Powder, 100 g Carton",1
271156,Guntur Stemless Chilli / Mirchi Whole 1 Kg,1
271680,Winny Kabab Masala Powder 100 g,1
275242,"Aashirvaad Chilli Powder /Mirchi , 100 g",1
278285,Everest Sambar Masala Powder 50 g,1
