id,tags
IT003227,16983|17159|17170|17171
IT002944,16983|17159|17170|17171
IT003072,16983|17159|17170|17171
IT002943,16983|17159|17170|17171
IT012602,16983|17152|17164|17179
IT013743,16983|17152|17164|17179
IT013745,16983|17152|17164|17179
IT012117,16983|17152|17164|17179
IT013744,16983|17152|17164|17179
IT013755,16983|17152|17164|17179
IT015358,16983|17152|17164|17179
IT012118,16983|17152|17164|17179
IT013742,16983|17152|17164|17179
IT012122,16983|17152|17164|17179
IT012124,16983|17152|17164|17179
IT012123,16983|17152|17164|17179
IT014658,16983|17152|17164|17179
IT012119,16983|17152|17164|17179
IT015359,16983|17152|17164|17179
IT012120,16983|17152|17164|17179
IT012121,16983|17152|17164|17179
IT013756,16983|17152|17164|17179
IT012125,16983|17152|17164|17179
IT012938,16983|17152|17164|17179
IT015357,16983|17152|17164|17179
IT013741,16983|17152|17164|17179
IT014657,16983|17152|17164|17179
IT014656,16983|17152|17164|17179
IT013746,16983|17152|17164|17179
IT012603,16983|17152|17164|17179
IT013747,16983|17152|17164|17179
IT003734,16983|17159|17170|17171
IT013039,16983|17159|17170|17172
IT002985,16983|17159|17170|17171
IT000563,16983|17159|17170|17171
IT000564,16983|17159|17170|17171
IT000558,16983|17159|17170|17171
IT000566,16983|17159|17170|17171
IT000565,16983|17159|17170|17171
IT002937,16983|17159|17170|17171
IT000977,16983|17159|17170|17174
IT000975,16983|17159|17170|17174
IT000452,16983|17159|17170|17171
IT000569,16983|17159|17170|17171
IT000784,16983|17159|17170|17171
IT011244,16983|17160
IT016411,16983|17160
IT006640,16983|17149
IT013912,16983|17160
IT013913,16983|17160
IT013969,16983|17151|17164
IT010900,16983|17160
IT006344,16983|17160
IT014457,16983|17160
IT011110,16983|17160
IT000570,16983|17159|17170|17171
IT016016,16983|17159|17170|17171
IT016023,16983|17159|17170|17171
IT016014,16983|17159|17170|17171
IT016017,16983|17159|17170|17171
IT000979,16983|17159|17170|17174
IT007300,16983|17149
IT007306,16983|17149
IT000260,16983|17149
IT000287,16983|17155|16924|17182
IT000288,16983|17155|16924|17182
IT000285,16983|17155|16924|17182
IT007297,16983|17155|16924|17182
IT007298,16983|17155|16924|17182
IT007299,16983|17155|16924|17182
IT007321,16983|17155|16924
IT007322,16983|17155|16924
IT007327,16983|17155|16924
IT007317,16983|17155|16924|17182
IT007318,16983|17155|16924|17182
IT007319,16983|17155|16924|17182
IT007308,16983|17155|16924|17182
IT007309,16983|17155|16924|17182
IT007304,16983|17149
IT007305,16983|17149
IT000261,16983|17149
IT013738,16983|17159|17170|17173
IT013739,16983|17159|17170|17173
IT003387,16983|17159|17170|17173
IT013344,16983|17159|17170|17173
IT013345,16983|17159|17170|17173
IT013346,16983|17159|17170|17173
IT003386,16983|17159|17170|17173
IT003414,16983|17159|17170|17173
IT000799,16983|17159|17170|17171
IT000800,16983|17159|17170|17171
IT006006,16983|17159|17170|17171
IT006004,16983|17159|17170|17171
IT000791,16983|17159|17170|17171
IT006005,16983|17159|17170|17171
IT013120,16983|17159|17170|17171
IT013126,16983|17159|17170|17171
IT006009,16983|17159|17170|17171
IT013130,16983|17159|17170|17171
IT013131,16983|17159|17170|17171
IT013127,16983|17159|17170|17171
IT013129,16983|17159|17170|17171
IT000789,16983|17159|17170|17171
IT000788,16983|17159|17170|17171
IT013119,16983|17159|17170|17171
IT013123,16983|17159|17170|17171
IT006002,16983|17159|17170|17171
IT006003,16983|17159|17170|17171
IT006000,16983|17159|17170|17171
IT006001,16983|17159|17170|17171
IT013124,16983|17159|17170|17171
IT013125,16983|17159|17170|17171
IT000454,16983|17159|17170|17171
IT000584,16983|17159|17170|17171
IT000582,16983|17159|17170|17171
IT000580,16983|17159|17170|17171
IT000579,16983|17159|17170|17171
IT000583,16983|17159|17170|17171
IT000585,16983|17159|17170|17171
IT000587,16983|17159|17170|17171
IT003075,16983|17159|17170|17171
IT000592,16983|17159|17170|17171
IT000591,16983|17159|17170|17171
IT000593,16983|17159|17170|17171
IT000572,16983|17159|17170|17171
IT000594,16983|17159|17170|17176
IT004067,16983|17159|17170|17171
IT000576,16983|17159|17170|17171
IT000601,16983|17159|17170|17171
IT003077,16983|17159|17170|17171
IT000293,16983|17155|16924|17184
IT004945,16983|17155|16924|17184
IT005591,16983|17151|17164
IT014608,16983|17157|17167|17169
IT011684,16983|17157|17167|17169
IT010807,16983|17157|17167|17169
IT011977,16983|17157|17167|17169
IT011976,16983|17157|17167|17169
IT014403,16983|17157|17167|17169
IT010808,16983|17157|17167|17169
IT005028,16983|17159|17170|17171
IT6895,16983|17159|17170|17171
IT006894,16983|17159|17170|17171
IT013717,16983|17152|17164
IT000185,16983|17152|17164
IT006183,16983|17152|17164
IT001691,16983|17162|17177
IT007290,16983|17153|17165
IT011564,16983|17160
IT012193,16983|17160
IT010788,16983|17160
IT000385,16983|17159|17170|17171
IT001035,16983|17159|17170|17173
IT003405,16983|17159|17170|17173
IT006203,16983|17159|17170|17171
IT000813,16983|17159|17170|17171
IT006212,16983|17159|17170|17171
IT000814,16983|17159|17170|17171
IT006204,16983|17159|17170|17171
IT006206,16983|17159|17170|17171
IT006211,16983|17159|17170|17171
IT000819,16983|17159|17170|17171
IT002955,16983|17159|17170|17171
IT000618,16983|17159|17170|17171
IT000619,16983|17159|17170|17171
IT013342,16983|17159|17170|17171
IT006199,16983|17159|17170|17171
IT006202,16983|17159|17170|17171
IT000621,16983|17159|17170|17171
IT000626,16983|17159|17170|17171
IT000630,16983|17159|17170|17171
IT006201,16983|17159|17170|17171
IT000616,16983|17159|17170|17171
IT000623,16983|17159|17170|17171
IT000627,16983|17159|17170|17171
IT010128,16983|17159|17170|17171
IT000631,16983|17159|17170|17171
IT014329,16983|17159|17170|17171
IT012219,16983|17160
IT011660,16983|17152|17164|17180
IT011661,16983|17152|17164|17180
IT011666,16983|17152|17164|17180
IT011667,16983|17152|17164|17180
IT012600,16983|17152|17164|17180
IT007457,16983|17152|17164|17180
IT007458,16983|17152|17164|17180
IT007459,16983|17152|17164|17180
IT007460,16983|17152|17164|17180
IT007461,16983|17152|17164|17180
IT007462,16983|17152|17164|17180
IT007463,16983|17152|17164|17180
IT007464,16983|17152|17164|17180
IT007465,16983|17152|17164|17180
IT014650,16983|17152|17164|17180
IT014652,16983|17152|17164|17180
IT014653,16983|17152|17164|17180
IT014654,16983|17152|17164|17180
IT015356,16983|17152|17164|17180
IT006155,16983|17152|17164|17180
IT000192,16983|17152|17164|17180
IT000189,16983|17152|17164|17180
IT000190,16983|17152|17164|17180
IT000191,16983|17152|17164|17180
IT000196,16983|17152|17164|17180
IT014985,16983|17152|17164|17180
IT000194,16983|17152|17164|17180
IT013396,16983|17151|17164|17180
IT007467,16983|17152|17164|17180
IT010680,16983|17152|17164|17180
IT010681,16983|17152|17164|17180
IT010685,16983|17152|17164|17180
IT010688,16983|17152|17164|17180
IT010689,16983|17152|17164|17180
IT013139,16983|17152|17164|17180
IT007468,16983|17152|17164|17180
IT011662,16983|17152|17164|17180
IT011663,16983|17152|17164|17180
IT011664,16983|17152|17164|17180
IT011665,16983|17152|17164|17180
IT007469,16983|17152|17164|17180
IT000193,16983|17152|17164|17180
IT007473,16983|17152|17164|17180
IT010682,16983|17152|17164|17180
IT010684,16983|17152|17164|17180
IT010686,16983|17152|17164|17180
IT004123,16983|17152|17164|17180
IT004124,16983|17152|17164|17180
IT000195,16983|17152|17164|17180
IT000197,16983|17152|17164|17180
IT004126,16983|17152|17164|17180
IT007478,16983|17152|17164|17180
IT015916,16983|17152|17164|17180
IT015917,16983|17152|17164|17180
IT012329,16983|17152|17164|17180
IT014277,16983|17152|17164|17180
IT012327,16983|17152|17164|17180
IT012328,16983|17152|17164|17180
IT015648,16983|17152|17164|17180
IT007474,16983|17152|17164|17180
IT007475,16983|17152|17164|17180
IT007476,16983|17152|17164|17180
IT007477,16983|17152|17164|17180
IT007481,16983|17152|17164|17180
IT007482,16983|17152|17164|17180
IT007483,16983|17152|17164|17180
IT004127,16983|17152|17164|17180
IT004128,16983|17152|17164|17180
IT004118,16983|17152|17164|17180
IT004119,16983|17152|17164|17180
IT004120,16983|17152|17164|17180
IT004129,16983|17152|17164|17180
IT004121,16983|17152|17164|17180
IT004122,16983|17152|17164|17180
IT004114,16983|17152|17164|17180
IT004115,16983|17152|17164|17180
IT004116,16983|17152|17164|17180
IT004117,16983|17152|17164|17180
IT016483,16983|17152|17164|17180
IT016484,16983|17152|17164|17180
IT014983,16983|17152|17164|17180
IT014980,16983|17152|17164|17180
IT014981,16983|17152|17164|17180
