nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,IT003227,46,IT003227.jpg,Alien Cricket Bat,"[""IT003227.jpg""]",3899,3822,2,-1,16,157,1,0,0,0,0,0,1,1,0,0,0,0,"<ul><li>Order will be processed based on the color availability</li><li>Brand:Alien</li><li>Model:IT003227</li><li>Made for net practice and tournaments with excellent stroke play with exquisite bat balance, also it is made to compliment your natural game</li><li>The bat is inspired by the traditions of the game keeping as much wood as possible in the full profile of the hitting area giving maximum shot making.</li></ul>",,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17159|17170|17171,9506,1049
0,IT002944,46,IT002944.jpg,Alien Cricket Bat Hit Machine,"[""IT002944.jpg""]",3099,3038,2,-1,16,157,1,0,0,0,0,0,1,1,0,0,0,0,"<ul><li>Order will be processed based on the color availability</li><li>Brand:Alien</li><li>Model:IT002944</li><li>Made for net practice and tournaments with excellent stroke play with exquisite bat balance, also it is made to compliment your natural game</li><li>The bat is inspired by the traditions of the game keeping as much wood as possible in the full profile of the hitting area giving maximum shot making.</li></ul>",,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17159|17170|17171,95069920,1049
0,IT003072,46,IT003072.jpg,Alien 50Mm Cricket Bat,"[""IT003072.jpg""]",2749,2695,2,-1,16,157,1,0,0,0,0,0,1,1,0,0,0,0,"<ul><li>Order will be processed based on the color availability</li><li>Brand:Alien</li><li>Model:IT003072</li><li>Made for net practice and tournaments with excellent stroke play with exquisite bat balance, also it is made to compliment your natural game</li><li>The bat is inspired by the traditions of the game keeping as much wood as possible in the full profile of the hitting area giving maximum shot making.</li></ul>",,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17159|17170|17171,95069920,1049
0,IT002943,46,IT002943.jpg,Alien 2 Fast Cricket Bat,"[""IT002943.jpg""]",2349,2303,2,-1,16,157,1,0,0,0,0,0,1,1,0,0,0,0,"<ul><li>Order will be processed based on the color availability</li><li>Brand:Alien</li><li>Model:IT002943</li><li>Made for net practice and tournaments with excellent stroke play with exquisite bat balance, also it is made to compliment your natural game</li><li>The bat is inspired by the traditions of the game keeping as much wood as possible in the full profile of the hitting area giving maximum shot making.</li></ul>",,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17159|17170|17171,95069920,1049
0,IT012602,46,IT012602.jpg,Apacs Finapi 262 Unstrung Badminton Racquet,"[""IT012602.jpg""]",4315,4229,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT012602</li><li>Head Shape:- Isometric Shape</li><li>Strung Type:- Unstrung</li><li>Cover: Full Cover</li><li>Strung Type:- Unstrung</li><li>Number of Contents in Sales Package: Pack of 1.</li></ul>,,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,95065910,1050
0,IT013743,46,IT013743.jpg,Apacs Finapi 252 Graphite Badminton Racket Unstrung,"[""IT013743.jpg""]",4315,4229,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT013743</li><li>Material: Graphite</li><li>Strung Type:- Unstrung</li><li>Frame material hi modulus graphite plus aero wide body head</li><li>Strung Type:- Unstrung</li><li>Professional badminton players can use this racquet which is known to deliver great shots</li><li>This racquet has an isometric head shape with unstrung features</li><li>In-Box Contents: 1 Piece Badminton Racket.</li></ul>,,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,9506,1050
0,IT013745,46,IT013745.jpg,Apacs Finapi 77 Ii Graphite Unstrung Badminton Racquet,"[""IT013745.jpg""]",4315,4229,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT013745</li><li>Head Shape:- Isometric Shape</li><li>Strung Type:- Unstrung</li><li>Shaft : Ultra Light Weight / Head Heavy Balance ; High Modulus Graphite / Super Slim Shaft</li><li>Strung Type:- Unstrung</li><li>In-Box Contents: 1 Piece Badminton Racket.</li></ul>,,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,9506,1050
0,IT012117,46,IT012117.jpg,Apacs Finapi 232 Unstrung Badminton Racquet,"[""IT012117.jpg""]",4500,4410,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT012117</li><li>Cover: Full Cover</li><li>Strung Type:- Unstrung</li><li>Head Shape:- Oval Shape</li><li>Body Material: Graphite</li><li>Number of Contents in Sales Package: Pack of 1.</li></ul>,,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,9506,1050
0,IT013744,46,IT013744.jpg,Apacs Carbo Power 505 Unstrung Badminton Racquet,"[""IT013744.jpg""]",4875,4778,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT013744</li><li>Frame Meterial: Hi Modulus Graphite</li><li>Flex: 9.0</li><li>Max Tension: 35lbs</li><li>Graphite Frame Material</li><li>Number of Contents in Sales Package: Pack of 1.</li></ul>,,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,9506,1050
0,IT013755,46,IT013755.jpg,Apacs Carbo Power 16 Unstrung Badminton Racquet,"[""IT013755.jpg""]",4875,4778,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT013755</li><li>Frame Meterial: Hi Modulus Graphite</li><li>Flex: 9.0</li><li>Max Tension: 35lbs</li><li>Graphite Frame Material</li><li>Number of Contents in Sales Package: Pack of 1.</li></ul>,,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,95065910,1050
0,IT015358,46,IT015358.jpg,Apacs Finapi 232 Le Unstrung Badminton Racquet,"[""IT015358.jpg""]",4875,4778,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT015358</li><li>Cover: Full Cover</li><li>Strung Type:- Unstrung</li><li>Grip Size: G4 -3.25 Inches</li><li>Weight: 85 g</li><li>Head Shape:- Oval Shape</li><li>Beam Width:- 7 mm</li><li>Number of Contents in Sales Package: Pack of 1.</li></ul>,,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,95065910,1050
0,IT012118,46,IT012118.jpg,Apacs Commander Graphite Unstrung Badminton Racquet,"[""IT012118.jpg""]",5000,4900,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,"<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT012118</li><li>Strung Type:- Unstrung</li><li>Head Shape:- Isometric Shape</li><li>Technology : Nano Technology, High Modulus Graphite</li><li>Frame : Power Shaft For Power Game, Fast Flex Recovery</li><li>Number of Contents in Sales Package: Pack of 1.</li></ul>",,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,9506,1050
0,IT013742,46,IT013742.jpg,Apacs Nano Fusion Speed 725 Unstrung Badminton Racquet,"[""IT013742.jpg""]",5250,5145,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,"<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT013742</li><li>Cover: Full Cover</li><li>Strung Type:- Unstrung</li><li>Grip Size: G4 -3.25 Inches</li><li>Head Shape:- Isometric Shape</li><li>Technology: Power Head, Full 24T Japanese Graphite, Extra Slim Shaft, Nano Fusion Technology</li><li>Number of Contents in Sales Package: Pack of 1.</li></ul>",,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,9506,1050
0,IT012122,46,IT012122.jpg,Apacs Defender 25 Unstrung Badminton Racquet,"[""IT012122.jpg""]",5300,5194,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT012122</li><li>Cover: Full Cover</li><li>Strung Type:- Unstrung</li><li>Grip Size: G2 - 9.52 cm</li><li>Head Shape:- Isometric Shape</li><li>Beam Width:- 20 mm</li><li>Number of Contents in Sales Package: Pack of 1.</li></ul>,,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,9506,1050
0,IT012124,46,IT012124.jpg,Apacs Dual Power Speed Badminton Racquet ,"[""IT012124.jpg""]",5440,5332,2,-1,16,155,1,0,0,0,0,0,1,1,0,0,0,0,"<ul><li>Order will be processed based on the color availability</li><li>Brand: APACS</li><li>Model:IT012124</li><li>Cover: Full Cover</li><li>Grip Size: G4 -3.25 Inches</li><li>Beam Width:- 6 mm</li><li>Strung Type:- Unstrung</li><li>Head Shape:- Isometric Shape</li><li>Advanced, Intermediate Playing Level</li><li>Number of Contents in Sales Package: Pack of 1.</li></ul>",,,7/20/2022,0,1,5,4,1,0,[],0,12,16983|17152|17164|17179,9506,1050
