id,discount
423171,43
425663,43
425665,43
427675,2
379944,19
414619,9
424518,9
424521,9
424522,8
379940,19
400626,9
418721,43
398007,8
423058,14
419135,5
424540,9
294087,8
147737,9
332141,9
167738,9
147739,9
267240,9
259192,9
398001,5
423061,43
423060,14
423059,43
423057,14
423055,14
381328,9
423159,43
281317,43
420465,40
428888,40
427660,33
420442,43
406862,43
396261,19
423244,43
405876,43
423350,43
423351,33
423247,19
423246,57
423345,33
427659,43
354540,33
426650,19
426651,43
333869,27
412211,43
394916,43
412340,43
412338,32
412341,43
412339,32
429338,43
429337,43
429336,43
426177,43
351592,14
240125,9
398725,9
422004,33
422125,33
412910,5
412862,5
424523,3
408790,9
402525,9
402522,9
412724,9
412725,9
402524,9
417990,5
412870,5
415174,5
412857,14
412871,5
412929,9
412928,14
412858,9
412911,5
419359,5
419360,5
286642,9
412727,5
412728,5
281374,9
429635,9
400281,14
