id,original_price,sell_price,variations_types,stocks,size
405217,22,22,[],0,0
251150,22,20,[],100,0
250543,143,130,1000|500|250,100,1
249926,286,260,1000|500|2000,0,1
249944,248,225,1000|500|2000,100,1
249951,164,149,1000|500|2000,0,1
249961,303,275,1000|500|2000,100,1
285818,286,260,1000|500|2000,0,1
249963,275,250,1000|500|2000,100,1
249953,291,264,1000|500|2000,0,1
250544,69,63,[],100,0
342749,49,44,[],0,0
250624,253,230,[],0,0
250625,121,110,1000|500|2000,100,1
368181,37,33,[],0,0
250626,33,30,[],0,0
250512,54,49,[],0,0
250103,99,90,1000|500|2000,100,1
250553,55,50,1000|500|2000,100,1
250110,94,85,1000|500|2000,100,1
250116,33,30,1000|500|2000,100,1
250549,18,16,[],100,0
250122,61,55,1000|500|2000,100,1
250545,22,20,[],100,0
250547,7,6,[],0,0
250492,44,40,1000|500|250,100,1
250641,50,45,1000|500|250,100,1
250554,28,25,1000|500|2000,100,1
250474,33,30,1000|500|250,100,1
250561,21,19,1000|500,100,1
403952,286,260,[],0,0
250569,16,14,[],100,0
250460,55,50,1000|500|250,100,1
250457,28,25,1000|500|250,100,1
250445,66,60,1000|500|250,0,1
250638,143,130,1000|500|2000,100,1
250521,15,13,[],100,0
250656,143,130,[],100,0
250657,138,125,[],0,0
250462,33,30,1000|500|2000,100,1
250634,165,150,1000|500|2000,100,1
250635,165,150,1000|500|2000,100,1
250536,49,44,1000|500|250,100,1
273395,77,70,1000|500|2000,0,1
347642,109,99,1000|500|2000,100,1
250931,28,25,[],100,0
250660,154,140,1000|500|2000,0,1
250465,55,50,1000|500|250,100,1
250468,29,26,1000|500|250,100,1
250570,44,40,1000|500|2000,100,1
250574,22,20,1000|500|2000,100,1
252663,26,23,[],100,0
250586,55,50,1000|500|2000,100,1
250679,28,25,[],100,0
250438,28,25,1000|500|2000,100,1
250440,22,20,1000|500|2000,100,1
250443,17,15,[],100,0
250680,19,17,[],100,0
250216,253,230,1000|500|2000,100,1
250600,42,38,[],100,0
279522,31,28,1000|500|2000,0,1
279427,220,200,1000|500|2000,0,1
250615,7,6,[],100,0
405152,60,58,1000|500|2000,0,1
368287,39,35,[],0,0
405143,39,35,[],0,0
250511,50,45,[],100,0
277860,75,50,[],100,0
250591,44,40,500,100,1
279433,286,260,1000|500|2000,100,1
SB0040,176,160,[],0,0
250200,99,90,[],0,0
250205,165,150,[],0,0
250490,138,125,1000|500|250,100,1
250219,77,70,1000|500|2000,0,1
250667,149,135,1000|500|250,100,1
340409,109,99,1000|2000,100,1
298938,28,25,[],100,0
250930,28,25,1000|500|2000,100,1
250658,165,150,1000|500|2000,0,1
261478,58,52,1000|500|250,100,1
405202,143,130,1000|500|2000,0,1
250645,165,150,1000|500|2000,0,1
250647,165,150,1000|500|2000,100,1
250231,72,65,1000|500|2000,0,1
SB0041,253,230,[],0,0
SB0043,193,175,1000|500|2000,0,1
SB0042,176,160,1000|500|2000,0,1
250383,66,60,1000|500|2000,0,1
SB0039,61,55,1000|500|250,0,1
250406,88,80,1000|500|2000,0,1
250683,31,28,[],100,0
250685,28,25,[],100,0
249877,43,39,1000|500|2000,100,1
368136,55,50,[],100,0
249965,37,34,[],100,0
250505,55,50,[],100,0
250507,99,90,[],0,0
277862,55,44,[],0,0
249882,88,80,1000|500|2000,0,1
249885,109,99,1000|500|2000,0,1
249889,165,150,1000|500|2000,100,1
357258,54,49,[],0,0
250662,121,110,1000|500|2000,0,1
250687,32,29,[],100,0
250222,69,63,[],100,0
368197,61,55,[],0,0
250133,303,275,1000|500|2000,0,1
250145,219,199,1000|500|2000,0,1
350478,97,88,1000|500|2000,0,1
250095,65,59,[],100,0
253355,385,350,1000|500|2000,100,1
250174,153,139,1000|500|2000,100,1
250528,25,22,[],100,0
250604,83,75,[],100,0
250538,110,100,1000|500|250,0,1
250539,22,20,1000|500|250,100,1
250607,18,16,1000|500|2000,100,1
250223,132,120,1000|500|2000,0,1
250608,17,15,1000|500|2000,100,1
250689,39,35,[],100,0
307012,40,40,[],100,0
307011,40,33,[],100,0
307009,40,33,[],100,0
307010,40,30,[],0,0
317850,99,90,[],0,0
277865,44,40,1000|500|2000,0,1
368273,105,95,[],100,0
250531,72,65,1000|500|250,100,1
250609,55,50,1000|500|2000,100,1
261662,44,40,[],0,0
350486,109,99,1000|500|2000,100,1
250417,19,17,1000|500|2000,100,1
250437,21,19,1000|500|250,100,1
250631,165,150,1000|500|2000,0,1
405186,17,15,[],100,0
405141,83,80,[],0,0
405155,13,11,[],0,0
405146,49,44,[],0,0
405156,14,12,[],0,0
405140,44,40,[],0,0
405149,26,23,[],0,0
405147,30,30,[],100,0
405138,31,28,[],0,0
405158,14,12,[],0,0
405194,50,50,[],0,0
405154,55,50,[],0,0
405161,15,13,[],0,0
405162,14,12,[],0,0
405193,67,60,[],0,0
405163,15,13,[],0,0
405215,15,13,[],0,0
405190,83,80,[],0,0
405216,13,12,[],0,0
250659,110,100,1000|500|2000,0,1
250077,72,65,[],100,0
SB0037,88,80,[],0,0
SB0038,99,90,[],0,0
250611,79,72,[],100,0
250664,165,150,1000|500|2000,100,1
250665,165,150,1000|500|2000,0,1
102582,682,470,1000|2000|3000,0,1
102587,492,339,1000|2000|3000,0,1
102590,318,219,1000|2000|3000,100,1
102592,420,289,1000|2000|3000,100,1
102615,283,195,[],0,0
106220,579,399,1000|2000|3000,100,1
106224,1348,929,1000|2000|3000,100,1
106227,1116,769,1000|2000|3000,100,1
106244,1159,799,1000|2000|3000,100,1
106271,637,439,1000|2000|3000,100,1
106367,637,439,1000|2000|3000,100,1
107443,282,194,1000|2000|3000,100,1
107449,240,165,1000|2000|3000,0,1
107558,260,179,1000|2000|3000,0,1
128069,356,245,1000|2000|3000,0,1
128327,318,219,[],100,0
134262,1014,699,1000|2000|3000,100,1
146675,695,479,[],0,0
246792,260,179,1000|2000|3000,100,1
270201,462,318,1000|2000|3000,0,1
319569,312,215,[],100,0
319957,492,339,1000|2000|3000,100,1
326807,1101,759,1000|2000|3000,100,1
326808,971,669,1000|2000|3000,100,1
326809,956,659,1000|2000|3000,100,1
326812,179,123,[],0,0
326815,1406,969,1000|2000|3000,0,1
334392,450,310,1000|2000|3000,100,1
SB0064,1406,969,1000|2000|3000,0,1
SB0065,508,350,1000|2000|3000,0,1
SB0066,1406,969,1000|2000|3000,0,1
SB0067,956,659,1000|2000|3000,0,1
