id,original_price,sell_price,variations_types,stocks,size
251150,15,13,[],100,0
249951,120,109,1000|500|2000,100,1
250116,27,24,1000|500|2000,100,1
250122,61,55,1000|500|2000,100,1
250445,55,50,1000|500|250,0,1
250536,61,55,1000|500|250,0,1
252663,25,22,[],100,0
250615,7,6,[],0,0
368287,39,35,[],0,0
250219,77,70,1000|500|2000,0,1
340409,87,79,1000|2000,100,1
249965,41,37,[],100,0
250505,55,50,[],100,0
249882,99,90,1000|500|2000,0,1
250222,42,38,[],100,0
250528,25,22,[],100,0
307011,37,33,[],0,0
307010,33,30,[],0,0
