id,original_price,sell_price,variations_types,stocks,size
405217,30,27,[],0,0
251150,22,20,[],0,0
250543,143,130,1000|500|250,100,1
249926,292,265,1000|500|2000,0,1
249944,253,230,1000|500|2000,100,1
249951,132,120,1000|500|2000,100,1
249961,286,260,1000|500|2000,100,1
285818,292,265,[],0,0
249963,275,250,1000|500|2000,100,1
249953,296,269,1000|500|2000,0,1
250544,55,50,1000|500|2000,100,1
342749,54,49,[],0,0
250624,253,230,1000|500|2000,100,1
250625,121,110,1000|500|250,100,1
368181,42,38,1000|500|2000,0,1
250626,72,65,1000|500|250,0,1
250512,54,49,1000|500,100,1
250103,99,90,[],100,0
250553,55,50,[],100,0
250110,94,85,1000|500|250,100,1
250116,32,29,1000|500|250,0,1
250549,17,15,1000|500|250,100,1
250122,72,65,[],100,0
250545,22,20,1000|500|2000,100,1
250547,11,10,1000|500|2000,0,1
250492,44,40,1000|500|2000,100,1
250641,55,50,1000|500|250,100,1
250554,33,30,1000|500|2000,100,1
250474,39,35,[],100,0
250561,21,19,1000|500|250,100,1
403952,286,260,1000|500|2000,0,1
250569,28,25,1000|500|2000,100,1
250460,44,40,[],100,0
250457,22,20,1000|500|2000,100,1
250445,55,50,[],0,0
250638,165,150,1000|500|2000,100,1
250521,17,15,1000|500|2000,100,1
250656,143,130,[],0,0
250657,143,125,[],0,0
250462,66,60,[],100,0
250634,193,175,[],100,0
250635,193,175,[],100,0
250536,65,65,500,0,1
273395,83,75,1000|500|2000,0,1
347642,109,99,1000|500|250,100,1
250931,41,37,1000|500|2000,100,1
250660,154,140,1000|500|2000,100,1
250465,55,50,[],100,0
250468,33,30,1000|500|2000,100,1
250570,39,35,[],100,0
250574,33,30,[],100,0
252663,28,25,[],100,0
250586,44,40,[],100,0
250679,20,18,[],100,0
250438,44,40,[],100,0
250440,17,15,[],100,0
250443,33,30,[],0,0
250680,17,15,1000|500|2000,100,1
250216,220,200,[],0,0
250600,55,50,1000|500|250,100,1
279522,37,33,1000|500|2000,0,1
279427,248,225,[],0,0
250615,13,11,[],100,0
405152,70,63,[],0,0
368287,44,40,[],0,0
405143,44,40,1000|500|250,0,1
250511,57,51,1000|500|2000,100,1
277860,75,50,1000|500|2000,100,1
250591,39,35,500|1000|2000,100,1
279433,286,260,[],100,0
SB0040,182,165,[],0,0
250200,105,95,[],0,0
250205,171,155,[],0,0
250490,143,130,1000|500|250,0,1
250219,83,75,1000|500|2000,0,1
250667,149,135,1000|500|250,100,1
340409,93,84,1000|2000,0,1
