id,original_price,sell_price,variations_types,stocks,size
249944,270,245,1000|500|2000,100,1
249961,330,300,1000|500|2000,100,1
249963,330,300,1000|500|2000,100,1
250624,308,280,[],100,0
250625,154,140,1000|500|2000,100,1
250122,77,70,1000|500|2000,100,1
250641,61,55,1000|500|250,100,1
250561,26,23,1000|500,100,1
250569,39,35,[],100,0
250462,66,60,1000|500|2000,100,1
250468,39,35,1000|500|250,100,1
250574,37,33,1000|500|2000,100,1
250438,58,52,1000|500|2000,100,1
250440,33,30,1000|500|2000,100,1
250511,72,65,[],100,0
277860,66,60,[],100,0
250591,50,45,500,100,1
261478,88,80,1000|500|250,100,1
250645,182,165,1000|500|2000,100,1
250095,66,60,[],100,0
250174,259,235,1000|500|2000,100,1
250607,42,38,1000|500|2000,100,1
250608,15,13,1000|500|2000,100,1
