id,original_price,sell_price,variations_types,stocks,size
418345,350,298,[],27,0
391369,415,291,[],27,0
419442,900,810,[],27,0
419437,275,193,[],27,0
398686,420,336,[],27,0
361483,260,143,[],27,0
420445,199,140,[],27,0
420440,249,175,[],27,0
419435,1050,840,[],27,0
419436,800,560,[],27,0
419441,475,433,[],27,0
399817,350,210,[],27,0
419460,540,432,[],27,0
410711,1200,960,[],27,0
311818,695,417,[],27,0
419455,250,175,[],27,0
418346,350,245,[],27,0
418308,300,255,[],27,0
419463,240,204,[],27,0
419444,160,96,[],27,0
419445,330,281,[],27,0
419438,335,235,[],27,0
420449,249,150,[],27,0
394936,1900,1045,[],27,0
394868,1000,600,[],27,0
394869,800,440,[],27,0
394867,400,220,[],27,0
418049,245,147,[],27,0
418047,95,67,[],27,0
418050,245,147,[],27,0
418048,159,96,[],27,0
424567,250,175,[],27,0
424568,310,279,[],27,0
418046,249,175,[],27,0
424566,250,175,[],27,0
418056,100,70,[],27,0
411950,275,248,[],27,0
421944,85,77,[],27,0
421951,200,180,[],27,0
421948,78,71,[],27,0
421947,80,72,[],27,0
421945,90,81,[],27,0
418189,85,60,[],27,0
331252,75,64,[],27,0
275251,152,92,[],27,0
140989,304,168,[],27,0
385323,120,96,[],27,0
298983,899,810,[],27,0
423819,65,60,[],27,0
423818,110,101,[],27,0
424052,105,90,[],27,0
398595,65,56,[],27,0
398596,249,212,[],27,0
398591,94,80,[],27,0
424055,149,127,[],27,0
395894,35,30,[],27,0
421405,170,155,[],27,0
421404,290,264,[],27,0
421584,215,194,[],27,0
320251,190,173,[],27,0
425083,432,394,[],27,0
425084,432,394,[],27,0
409638,50,46,[],27,0
399538,10,10,[],27,0
306158,20,19,[],27,0
421855,27,25,[],27,0
421060,5,5,[],27,0
410586,400,364,[],27,0
414600,125,107,[],27,0
414599,270,246,[],27,0
410604,400,364,[],27,0
420058,140,119,[],27,0
410641,244,221,[],27,0
417016,250,225,[],27,0
410640,228,207,[],27,0
403983,180,162,[],27,0
424005,105,95,[],27,0
229762,105,95,[],27,0
415141,80,72,[],27,0
415139,85,77,[],27,0
397830,250,213,[],27,0
397831,260,221,[],27,0
397833,250,213,[],27,0
421708,270,230,[],27,0
423158,105,63,[],27,0
423882,120,108,[],27,0
423885,180,162,[],27,0
424581,120,72,[],27,0
423169,135,75,[],27,0
