id,original_price,sell_price,stocks,variations_types,size
102997,120,115,30,[],0
147283,64,57,30,[],0
167781,205,188,30,[],0
167782,205,188,30,[],0
179650,355,326,30,[],0
179651,355,326,30,[],0
189099,180,165,30,[],0
189100,180,165,30,[],0
189101,180,166,30,[],0
189296,206,197,30,[],0
189311,295,283,30,[],0
189323,235,225,30,[],0
189326,235,225,30,[],0
189785,240,230,30,[],0
202239,660,607,30,[],0
202242,660,607,30,[],0
202248,600,552,30,[],0
212701,295,283,30,[],0
215578,206,197,30,[],0
216747,295,283,30,[],0
216809,299,275,30,[],0
218856,64,54,30,[],0
229140,280,268,30,[],0
248215,415,406,30,[],0
251218,550,506,30,[],0
251220,550,506,30,[],0
251224,550,506,30,[],0
251235,550,506,30,[],0
251249,620,571,30,[],0
251251,620,570,30,[],0
251259,620,570,30,[],0
254690,325,292,30,[],0
255243,270,259,30,[],0
256002,960,816,30,[],0
256165,64,54,30,[],0
258357,133,122,30,[],0
258358,69,66,30,[],0
258359,37,35,30,[],0
259705,110,101,30,[],0
259706,175,161,30,[],0
260634,135,124,30,[],0
260637,199,184,30,[],0
260641,199,183,30,[],0
262971,190,182,30,[],0
262978,128,108,30,[],0
263675,128,122,30,[],0
263698,209,192,30,[],0
263724,45,43,30,[],0
263870,97,93,30,[],0
263871,90,86,30,[],0
263880,135,129,30,[],0
263884,85,81,30,[],0
263910,138,132,30,[],0
263935,38,36,30,[],0
264024,80,76,30,[],0
264661,85,78,30,[],0
265246,91,83,30,[],0
265355,165,151,30,[],0
266628,52,49,30,[],0
266631,102,97,30,[],0
266644,90,86,30,[],0
266651,68,65,30,[],0
266664,90,86,30,[],0
266667,68,65,30,[],0
266672,150,144,30,[],0
266673,102,97,30,[],0
266687,102,97,30,[],0
266690,90,86,30,[],0
266693,68,65,30,[],0
266698,160,153,30,[],0
266700,140,134,30,[],0
266829,58,55,30,[],0
266830,125,120,30,[],0
266886,145,139,30,[],0
266917,120,115,30,[],0
267846,150,144,30,[],0
267847,120,115,30,[],0
267873,72,69,30,[],0
267876,155,142,30,[],0
267963,72,69,30,[],0
267964,72,69,30,[],0
269380,480,460,30,[],0
274171,290,246,30,[],0
274173,160,136,30,[],0
274350,282,259,30,[],0
274353,265,243,30,[],0
276626,85,78,30,[],0
278332,80,73,30,[],0
281039,138,132,30,[],0
286270,240,230,30,[],0
286271,120,115,30,[],0
287989,305,292,30,[],0
288785,205,188,30,[],0
289526,96,86,30,[],0
289528,96,86,30,[],0
290593,97,89,30,[],0
292093,170,156,30,[],0
292626,47,45,30,[],0
293399,50,46,30,[],0
294729,69,67,30,[],0
294746,133,122,30,[],0
295873,199,183,30,[],0
295875,135,124,30,[],0
300219,175,161,30,[],0
300230,435,400,30,[],0
305325,450,414,30,[],0
305538,160,147,30,[],0
306237,50,48,30,[],0
306240,50,48,30,[],0
306242,50,48,30,[],0
306437,40,36,30,[],0
307359,210,193,30,[],0
307365,525,483,30,[],0
307366,70,67,30,[],0
307367,150,144,30,[],0
307369,130,124,30,[],0
307371,90,86,30,[],0
308181,230,220,30,[],0
308183,230,220,30,[],0
312687,150,144,30,[],0
315203,137,126,30,[],0
315209,65,59,30,[],0
315217,268,246,30,[],0
318036,155,142,30,[],0
319362,540,496,30,[],0
319969,380,323,30,[],0
319985,199,159,30,[],0
321758,33,30,30,[],0
321759,33,30,30,[],0
321760,30,27,30,[],0
321761,30,27,30,[],0
325403,192,163,30,[],0
326577,220,202,30,[],0
326585,560,515,30,[],0
326589,107,102,30,[],0
326672,160,136,30,[],0
331381,180,165,30,[],0
331463,550,506,30,[],0
333666,199,183,30,[],0
333667,265,243,30,[],0
336225,300,270,30,[],0
343530,450,414,30,[],0
345574,295,284,30,[],0
345884,60,54,30,[],0
346417,80,73,30,[],0
348070,85,83,30,[],0
348132,110,107,30,[],0
349860,40,36,30,[],0
349869,40,36,30,[],0
350683,60,55,30,[],0
350767,108,97,30,[],0
351590,295,271,30,[],0
352681,80,76,30,[],0
352682,130,119,30,[],0
352817,160,153,30,[],0
357345,75,73,30,[],0
357671,399,367,30,[],0
358375,40,38,30,[],0
358864,330,303,30,[],0
361344,39,35,30,[],0
361345,105,89,30,[],0
365787,95,93,30,[],0
366942,240,216,30,[],0
366943,240,216,30,[],0
366946,210,189,30,[],0
366947,150,135,30,[],0
371365,215,197,30,[],0
372908,960,816,30,[],0
373512,140,134,30,[],0
373513,130,124,30,[],0
373542,190,174,30,[],0
374937,432,388,30,[],0
376391,210,189,30,[],0
376399,210,189,30,[],0
376400,299,269,30,[],0
376408,275,247,30,[],0
376414,210,189,30,[],0
376415,240,216,30,[],0
376416,185,166,30,[],0
376419,185,166,30,[],0
376422,150,135,30,[],0
376423,150,135,30,[],0
376426,185,166,30,[],0
376427,125,112,30,[],0
376428,125,112,30,[],0
376430,90,81,30,[],0
376431,99,89,30,[],0
376432,99,89,30,[],0
376434,240,216,30,[],0
376436,90,81,30,[],0
376466,90,81,30,[],0
378806,46,42,30,[],0
379908,225,216,30,[],0
381565,282,259,30,[],0
381566,150,138,30,[],0
381567,199,183,30,[],0
382242,130,124,30,[],0
383257,1099,989,30,[],0
383265,1799,1619,30,[],0
384510,256,235,30,[],0
384512,256,230,30,[],0
384516,256,230,30,[],0
384519,128,117,30,[],0
384627,375,345,30,[],0
384628,825,759,30,[],0
386813,110,101,30,[],0
386814,99,91,30,[],0
387136,99,92,30,[],0
388210,192,176,30,[],0
388326,87,83,30,[],0
392719,60,55,30,[],0
393305,225,216,30,[],0
393953,170,163,30,[],0
394905,123,118,30,[],0
394906,261,250,30,[],0
398514,135,129,30,[],0
398515,234,224,30,[],0
398516,234,210,30,[],0
398916,150,138,30,[],0
401655,740,680,30,[],0
404824,30,27,30,[],0
405296,250,240,30,[],0
405498,369,340,30,[],0
407224,142,136,30,[],0
407227,130,124,30,[],0
408393,249,230,30,[],0
408448,250,230,30,[],0
409780,299,269,30,[],0
411148,395,356,30,[],0
411149,295,266,30,[],0
422398,550,495,30,[],0
189204,499,459,30,[],0
235214,649,597,30,[],0
236283,225,207,30,[],0
236284,225,207,30,[],0
243080,199,169,30,[],0
258879,250,230,30,[],0
263494,1250,1150,30,[],0
263926,175,161,30,[],0
263957,120,110,30,[],0
264111,65,59,30,[],0
264747,75,72,30,[],0
265280,65,59,30,[],0
266638,75,72,30,[],0
272271,205,188,30,[],0
280953,99,91,30,[],0
285609,120,110,30,[],0
285613,120,110,30,[],0
285617,145,139,30,[],0
290485,69,66,30,[],0
292168,480,432,30,[],0
298311,125,115,30,[],0
305027,249,229,30,[],0
307905,550,506,30,[],0
307906,1000,920,30,[],0
307907,1649,1517,30,[],0
326107,1048,964,30,[],0
326109,375,345,30,[],0
326115,260,239,30,[],0
326116,165,151,30,[],0
326122,50,45,30,[],0
326128,375,345,30,[],0
330941,110,101,30,[],0
336130,27,24,30,[],0
340534,149,119,30,[],0
340592,349,321,30,[],0
341481,85,76,30,[],0
346542,270,249,30,[],0
346544,250,230,30,[],0
353443,499,459,30,[],0
359426,899,827,30,[],0
362845,325,299,30,[],0
365570,75,69,30,[],0
365571,75,69,30,[],0
366842,250,230,30,[],0
372593,599,551,30,[],0
375123,130,119,30,[],0
375124,199,183,30,[],0
376904,215,197,30,[],0
379705,75,63,30,[],0
391783,149,134,30,[],0
391784,220,202,30,[],0
396743,75,69,30,[],0
397418,249,229,30,[],0
397419,449,413,30,[],0
397421,169,155,30,[],0
402193,70,63,30,[],0
403732,123,104,30,[],0
406226,165,151,30,[],0
409869,349,314,30,[],0
411155,245,220,30,[],0
411156,195,175,30,[],0
414048,99,92,30,[],0
415290,149,134,30,[],0
422817,380,349,30,[],0
422818,380,349,30,[],0
263980,128,122,30,[],0
274344,235,225,30,[],0
362843,249,229,30,[],0
395374,70,64,30,[],0
