id,original_price,sell_price,variations_types,stocks,size
427075,599,529,[],0,0
408750,25,24,[],0,0
417554,80,78,[],0,0
417555,80,78,[],0,0
417557,80,78,[],0,0
417014,90,88,[],0,0
398543,470,446,[],0,0
412259,195,185,[],0,0
128462,104,101,[],0,0
415538,110,97,[],0,0
415539,110,97,[],0,0
417560,245,240,[],0,0
338146,499,454,[],0,0
369187,70,61,[],0,0
402577,40,32,[],0,0
402579,60,48,[],0,0
402580,247,200,[],0,0
284709,599,437,[],0,0
284711,149,64,[],0,0
298980,499,404,[],0,0
118382,499,364,[],0,0
118156,410,373,[],0,0
275241,299,170,[],0,0
138461,240,212,[],0,0
SB0099,843,581,[],0,0
300847,300,285,[],0,0
300791,300,243,[],0,0
369670,120,97,[],0,0
340483,120,97,[],0,0
340480,65,52,[],0,0
325570,230,186,[],0,0
340482,120,97,[],0,0
340481,65,52,[],0,0
419420,400,324,[],0,0
400398,20,18,[],0,0
400404,20,18,[],0,0
410013,115,104,[],0,0
421705,130,115,[],0,0
284265,80,45,[],0,0
284787,75,42,[],0,0
284304,95,54,[],0,0
413690,50,44,[],0,0
422305,990,900,[],0,0
422311,1480,1346,[],0,0
422306,950,864,[],0,0
422307,650,591,[],0,0
422309,950,864,[],0,0
407361,195,177,[],0,0
411871,780,709,[],0,0
407387,195,157,[],0,0
407391,885,716,[],0,0
407366,1195,1087,[],0,0
407368,930,846,[],0,0
407367,425,344,[],0,0
428018,399,352,[],0,0
428016,399,352,[],0,0
417972,24,21,[],0,0
421515,299,218,[],0,0
421484,199,145,[],0,0
421485,250,182,[],0,0
421524,350,255,[],0,0
421522,240,175,[],0,0
421508,399,291,[],0,0
421513,299,218,[],0,0
421507,299,218,[],0,0
421525,240,175,[],0,0
421517,360,262,[],0,0
421514,240,175,[],0,0
421483,175,127,[],0,0
413551,140,113,[],0,0
404007,145,117,[],0,0
404009,260,236,[],0,0
412047,515,468,[],0,0
427410,145,82,[],0,0
424487,330,313,[],0,0
424488,350,318,[],0,0
404004,195,177,[],0,0
403959,70,63,[],0,0
417559,199,181,[],0,0
403982,100,95,[],0,0
403981,199,161,[],0,0
403980,535,486,[],0,0
424747,10,9,[],0,0
402085,30,27,[],0,0
424744,10,9,[],0,0
424750,30,27,[],0,0
410912,30,27,[],0,0
402028,30,27,[],0,0
424745,10,9,[],0,0
419866,230,202,[],0,0
424482,200,162,[],0,0
420802,70,62,[],0,0
420801,70,62,[],0,0
420800,70,62,[],0,0
265193,75,71,[],0,0
376968,60,43,[],0,0
376967,20,13,[],0,0
304663,20,13,[],0,0
304662,20,13,[],0,0
374745,15,8,[],0,0
415137,80,64,[],0,0
415136,45,36,[],0,0
424592,140,72,[],0,0
331406,155,103,[],0,0
250672,495,450,250|500|1000|2000,0,1
250673,495,450,250|500|1000|2000,0,1
408272,270,245,[],0,0
422335,195,177,[],0,0
422361,160,152,[],0,0
422360,160,152,[],0,0
422336,310,251,[],0,0
422900,329,187,[],0,0
408826,120,106,[],0,0
SB0097,843,581,[],0,0
341087,297,261,[],0,0
422170,250,227,[],0,0
422171,280,254,[],0,0
250650,193,175,250|500|1000|2000,0,1
428413,299,242,[],0,0
417544,30,27,[],0,0
393835,390,382,[],0,0
320292,100,95,[],0,0
320291,100,98,[],0,0
415552,175,159,[],0,0
415551,300,273,[],0,0
418770,225,128,[],0,0
169166,180,171,[],0,0
418771,250,142,[],0,0
408987,425,374,[],0,0
418768,225,128,[],0,0
390679,40,39,[],0,0
419571,125,113,[],0,0
418769,250,142,[],0,0
413866,70,68,[],0,0
393156,30,27,[],0,0
393149,30,27,[],0,0
281404,110,100,[],0,0
281401,130,118,[],0,0
347758,12,12,[],0,0
281402,245,222,[],0,0
403202,70,63,[],0,0
408558,360,342,[],0,0
403201,85,80,[],0,0
403207,85,80,[],0,0
336151,470,427,[],0,0
403432,150,136,[],0,0
417720,225,204,[],0,0
426755,80,53,[],0,0
331282,75,66,[],0,0
269398,260,148,[],0,0
331290,42,37,[],0,0
426753,210,119,[],0,0
428611,480,273,[],0,0
426756,132,88,[],0,0
419026,310,207,[],0,0
412210,290,165,[],0,0
414095,30,26,[],0,0
250663,275,250,250|500|1000|2000,0,1
377801,10,9,[],0,0
377799,10,9,[],0,0
377797,10,9,[],0,0
377787,10,9,[],0,0
422822,395,288,[],0,0
302576,799,727,[],0,0
373108,24,22,[],0,0
SB0098,537,370,[],0,0
394544,600,204,[],0,0
345317,45,39,[],0,0
420824,476,421,[],0,0
410892,580,515,[],0,0
420894,10,8,[],0,0
425731,85,68,[],0,0
402995,85,77,[],0,0
344748,15,13,[],0,0
227865,28,25,[],0,0
422301,50,26,[],0,0
417558,150,136,[],0,0
419418,360,291,[],0,0
412335,110,100,[],0,0
428811,499,404,[],0,0
385501,225,204,[],0,0
385570,25,23,[],0,0
385492,25,23,[],0,0
428781,249,219,[],0,0
380210,200,162,[],0,0
401940,200,162,[],0,0
421918,10,9,[],0,0
417548,110,100,[],0,0
419231,80,72,[],0,0
424789,120,106,[],0,0
