id,name,status,sub_cate_id
14041,Plastic container,1,74
14042,Coffee Stair,1,114
14043,Paper Serviettes,1,114
14044,Electronics,1,68
14045,Appliances,1,67
14046,Luggages,1,71
14047,Home,1,74
14048,Kitchen ,1,74
14049,BackPack,1,117
14050,Laptop bag,1,121
14051,Fashion,1,128
14052,Caps,1,128
14053,Copper,1,67
14054,Cooker,1,74
14055,Stainless Steel,1,74
14056,Home Theatre,1,68
14057,Garment Steamer,1,68
14058,BEVERLY HILLS SPINNER,1,71
14059,Power Back up,1,117
14060,Duffle Luggages,1,117
14061,Water Heater,1,68
14062,Vacum Cleaner,1,67
14063,Travel Bags,1,71
14064,Sadwich Grill Maker,1,74
14065,Sadwich Maker,1,74
14066,Kadai,1,74
14067,Mixer Grider,1,74
14068,OTG,1,74
14069,Gas Stove,1,74
14070,Hat Cap,1,128
14071,boAt,1,68
14072,Kenstar,1,68
14073,Bajaj,1,74
14074,Signoraware,1,74
14075,Morphy Richards,1,74
14076,American Tourister,1,71
14077,Adidas,1,128
14078,Pigeon,1,74
14079,Prestige,1,74
14080,Eurekha Forbes,1,67
