nothing,id,store_id,cover,name,images,original_price,sell_price,discount,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
0,250624,49,250624.jpg,Avocado (Appox : 1 kg /Pc),"[""250624.jpg"",""250624-1.jpg"",""250624-2.jpg"",""250624-3.jpg"","" "",]",396,360,10,413,375,10,1,1,139,0,0,0,0,0,0,1,1,0,0,0,0,"<h1 style=""text-align: center"">Avocado</h1>
<span style=""font-weight: 400"">Buy Fresh AvocadoÂ from </span><a href=""https://sampurna-bazaar.com/""><span style=""font-weight: 400"">sampurna-bazaar.com</span></a><span style=""font-weight: 400""> at the best price and get free shipping &amp; Express delivery in north Bangalore.</span>

<b>About</b>

AnÂ <b>avocado</b>Â is a bright green fruit with a large pit and dark leathery skin. They're also known as alligator pears or butter fruit.Â <b>Avocados</b>Â are a favorite of the produce section. They're the go-to ingredient for guacamole dips.

<b>Nutritional info:</b>
<ul class=""list-check"">
 	<li>368 Calories</li>
 	<li>4.6g of Protein</li>
 	<li>19.62g of Carbohydrate</li>
 	<li>1166mg of Potassium</li>
 	<li>23.0mg of Vitamin C</li>
 	<li>175mg Beta-sitosterol</li>
 	<li>0mg Cholesterol</li>
</ul>
<b>Benefits:</b>
<ul class=""i8Z77e"">
 	<li class=""TrT0Xe"">Avocado Is Incredibly Nutritious. ...</li>
 	<li class=""TrT0Xe"">They Contain MoreÂ <b>Potassium</b>Â Than Bananas. ...</li>
 	<li class=""TrT0Xe"">Avocado Is Loaded WithÂ <b>Heart</b>-Healthy Monounsaturated Fatty Acids. ...</li>
 	<li class=""TrT0Xe"">Avocados Are Loaded WithÂ <b>Fiber</b>. ...</li>
 	<li class=""TrT0Xe"">Eating Avocados Can LowerÂ <b>Cholesterol</b>Â and Triglyceride Levels. ...</li>
 	<li class=""TrT0Xe"">People Who Eat Avocados Tend to Be Healthier.</li>
</ul>",,,20-12-2050,0,1,5,4,1,0,[],0,0,6582|18,0
0,250474,49,250474.jpg,Bhendi,"[""250474.jpg"",""250474-1.jpg"",""250474-2.jpg"",""250474-3.jpg"","" "",]",39,35,10,39,35,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"<h1 style=""text-align: center"">Bhendi</h1>
<span style=""font-weight: 400"">Buy <a href=""https://sampurna-bazaar.com/product-category/pantry/fruits-vegetables/"">Fresh </a>BhendiÂ from </span><a href=""https://sampurna-bazaar.com/""><span style=""font-weight: 400"">sampurna-bazaar.com</span></a><span style=""font-weight: 400""> at the best price and get free shipping and  Express delivery in north Bangalore.</span>

<b>About</b>

The cross section cut okra shows white colored round seeds spread entirely inside the vegetable. In India, it is commonly known asÂ <b>Bhindi</b>. And it is usually referred to as Okra in other countries. ... The lady's finger may be cut in to round pieces or sliced in to 4 halves or may be put whole in a mix vegetable subji.

<b>Nutritional info:</b>

100 grams ofÂ <b>bhindi</b>Â contains 7.03 gram carbohydrates, 2 gram protein, 0.1 gram fat and 9% fiber. It is packed with folate, niacin, Vitamin C, Vitamin E and Vitamin K. Other than these, it is also rich in calcium, copper, iron, magnesium, manganese, phosphorous and zinc.

<b>Benefits:</b>
<ul class=""i8Z77e"">
 	<li class=""TrT0Xe"">1 . Promotes Heart Health. Bhindi contains noÂ <b>cholesterol</b>Â of its own and in fact contains a component called pectin which helps in lowering badÂ <b>cholesterol</b>.</li>
 	<li class=""TrT0Xe"">2 . Regulates Blood Sugar.</li>
 	<li class=""TrT0Xe"">3 . FightsÂ <b>Cancer</b>.</li>
 	<li class=""TrT0Xe"">4 . Boosts Immunity.</li>
 	<li class=""TrT0Xe"">5 . Prevents Anaemia.</li>
 	<li class=""TrT0Xe"">6 . Helps InÂ <b>Weight Loss</b>.</li>
 	<li class=""TrT0Xe"">7 . Prevents ColonÂ <b>Cancer</b>.</li>
 	<li class=""TrT0Xe"">8 . Beneficial In Pregnancy.</li>
</ul>",,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6548|39,0
0,250536,49,250536.jpg,Carrot,"[""250536.jpg"",""250536-1.jpg"",""250536-2.jpg"",""250536-3.jpg"","" "",]",23,21,10,21,19,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Fresh carrots should be firm and crisp, with smooth and unblemished skin. Bright-orange colour indicates high carotene content; smaller types are the most tender. Carrots are used in salads and as relishes and are served as cooked vegetables and in stews and soups.",,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6559|57|56|55,0
0,273395,49,273395.jpg,Carrot Delhi,"[""273395.jpg"",""273395-1.jpg"",""273395-2.jpg"",""273395-3.jpg"","" "",]",66,60,10,66,60,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,The red carrots or the desi gajar and the orange carrots are enjoyed by the entire country.,,,20-12-2050,0,1,5,4,1,0,1000|500,1,0,7368|57|56|55,0
0,347642,49,347642.jpg,Carrot Ooty,"[""347642.jpg"",""347642-1.jpg"",""347642-2.jpg"",""347642-3.jpg"","" "",]",66,60,10,66,60,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Ooty Carrots are tight and cone formed. They have thick, beefy, profoundly shaded root, which develops underground, the carrot roots are crunchy finished with a sweet and minty fragrant taste",,,20-12-2050,0,0,5,4,1,0,1000|500,1,0,9184|57|56|55,0
0,252663,49,252663.jpg,Coconut (Per piece),"[""252663.jpg"",""252663-1.jpg"",""252663-2.jpg"",""252663-3.jpg"","" "",]",33,30,10,33,30,10,1,1,139,0,0,0,0,0,0,1,1,0,0,0,0,"Coconut is a round and elongate fruit of white, fibrous and oily meat covered by a thick, brown and hairy shell. Coconuts are surrounded by a fibrous kernel, inside which is a white meat called copra. When the fruit is still tender it yields a milky fluid that is commonly used as basic food in some zones.",,,20-12-2050,0,1,5,4,1,0,[],0,0,6633|65,0
0,250438,49,250438.jpg,Cucumber - English,"[""250438.jpg"",""250438-1.jpg"",""250438-2.jpg"",""250438-3.jpg"","" "",]",31,28,10,28,25,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Long, thin and narrow, this variety of vegetable is a common type of cucumber grown for the digestive qualities it contains. Also referred to as a ""burpless"" cucumber due to its lack of seeds as well as smaller seeds, the English cucumber can grow to lengths of 2 feet, providing a cream to bright white colored flesh.",,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6539|69|70|71,0
0,250440,49,250440.jpg,Cucumber - Hybrid,"[""250440.jpg"",""250440-1.jpg"",""250440-2.jpg"",""250440-3.jpg"","" "",]",15,14,10,15,14,10,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Cucumbers (Cucumis sativus L.) are prostrate, branched, stiffly hairy vines possessing sharply five-cornered leaves and unbranched tendrils. They are placed botanically in the same genus as melons only because the Swedish botanist LinnÃƒÂ© had done so.",,,20-12-2050,0,1,5,4,1,0,1000|500|250,1,0,6540|69|70|71,0
0,250443,49,250443.jpg,Cucumber - Malabar (Per Piece Appo: 1.5 kg),"[""250443.jpg"",""250443-1.jpg"",""250443-2.jpg"",""250443-3.jpg"","" "",]",22,20,10,22,20,10,1,1,139,0,0,0,0,0,0,1,1,0,0,0,0,"Malabar cucumbers are medium in size and have a cylindrical and elongated shape, averaging 15-20 centimeters in length. When young, the skin is smooth and light green with dark green striping and transforms into a vibrant orange with golden yellow striping when mature.",,,20-12-2050,0,0,5,4,1,0,[],0,0,6541|69|70|71,0
0,250200,49,250200.jpg,Grapes Green Seedless (Packed 1 kg),"[""250200.jpg"",""250200-1.jpg"",""250200-2.jpg"",""250200-3.jpg"","" "",]",65,65,0,59,59,0,1,1,139,0,0,0,0,0,0,0,0,0,0,0,0,"Green seedless grapes are small to medium in size and are round to slightly oval in shape, growing in tight or loose clusters depending on the variety. The skin ranges from yellow-green to bright green and is typically crisp, firm, and smooth. ... Green seedless grapes are mild and sweet with a slightly tart flavor.",,,20-12-2050,0,1,5,4,1,0,[],0,0,6529|86|87|88,0
