nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
0,409792CB,49,409792CB.jpg,Biotique ayurveda kelp Shampoo 650ml,"[""409792CB.jpg,"","","","",]
",430,215,50,1,6,48,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2054,0,1,5,4,1,0,[],0,0,628|641|12719,0,89
0,416523CB,49,416523CB.jpg,Coffee joy 90g,"[""416523CB.jpg,"","","","",]
",50,25,50,1,5,38,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2055,0,1,5,4,1,0,[],0,0,1498|11936|12719,0,156
0,424426CB,49,424426CB.jpg,Emami 7 oils in 500ml,"[""424426CB.jpg,"","","","",]
",290,145,50,1,6,48,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2052,0,1,5,4,1,0,[],0,0,686|356|12719,0,224
0,391461CB,49,391461CB.jpg,Lotte rich cocoa 168g,"[""391461CB.jpg,"","","","",]
",90,60.3,33,1,5,38,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/1952,0,1,5,4,1,0,[],0,0,12717|12718|12719,0,444
0,334089CB,49,334089CB.jpg,Mother recipe mango pickle 1kg jar,"[""334089CB.jpg,"","","","",]
",200,100,50,1,5,42,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2054,0,1,5,4,1,0,[],0,0,1380|1381|12719,0,503
0,334093CB,49,334093CB.jpg,Mother recipe Mixed pickle 1kg jar,"[""334093CB.jpg,"","","","",]
",199,100,50,1,5,42,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2055,0,1,5,4,1,0,[],0,0,1380| 1384|12719,0,503
0,321929CB,49,321929CB.jpg,Parle cheeslings snacks 300g,"[""321929CB.jpg,"","","","",]
",120,90,25,1,5,38,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2051,0,1,5,4,1,0,[],0,0,568|12719,0,578
0,420886CB,49,420886CB.jpg,Parle melody max 759g,"[""420886CB.jpg,"","","","",]
",200,130,35,1,5,40,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2054,0,1,5,4,1,0,[],0,0,12719|568,0,578
0,390871CB,49,390871CB.jpg,Saffola masala classic 500g,"[""390871CB.jpg,"","","","",]
",195,146,26,1,5,39,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2055,0,1,5,4,1,0,[],0,0,12719|1293,0,665
0,390870CB,49,390870CB.jpg,Saffola masala oats curry and pepper 500g,"[""390870CB.jpg,"","","","",]
",195,146,26,1,5,39,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2052,0,1,5,4,1,0,[],0,0,12719|1293,0,665
0,390877CB,49,390877CB.jpg,Saffola Masala oats masala and Coriander 500g,"[""390877CB.jpg,"","","","",]
",195,146,26,1,5,39,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2053,0,1,5,4,1,0,[],0,0,12719|1293,0,665
0,390869CB,49,390869CB.jpg,Saffola Masala veggie twist 500g,"[""390869CB.jpg,"","","","",]
",190,143,25,1,5,39,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2054,0,1,5,4,1,0,[],0,0,10786|12719|1293,0,665
0,409924CB,49,409924CB.jpg,Soulfull fruit and nut millet Muesli 700g,"[""409924CB.jpg,"","","","",]
",499,396,0,1,5,39,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2052,0,1,5,4,1,0,[],0,0,12719,0,706
0,367670CB,49,367670CB.jpg,Sunfeast dark fantasy 300g,"[""367670CB.jpg,"","","","",]
",120,89,26,1,5,38,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2053,0,1,5,4,1,0,[],0,0,9714|11098|12719,0,731
0,400251CB,49,400251CB.jpg,Sunfeast moms magic cashew almond 600g,"[""400251CB.jpg,"","","","",]
",120,90.3,25,1,5,38,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2052,0,1,5,4,1,0,[],0,0,11125|12719,0,731
0,351072CB,49,351072CB.jpg,Top ramen feiry chilli 280g,"[""351072CB.jpg,"","","","",]
",60,30,50,1,5,101,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2053,0,1,5,4,1,0,[],0,0,12719,0,634
0,421057CB,49,421057CB.jpg,Yoga Bar Almond Muesli 400g,"[""421057CB.jpg,"","","","",]
",325,218,33,1,5,39,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2053,0,1,5,4,1,0,[],0,0,12719,0,826
0,405793CB,49,405793CB.jpg,Yoga Bar Muesli Choco Cranberry 400g,"[""405793CB.jpg,"","","","",]
",325,218,33,1,5,39,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2052,0,1,5,4,1,0,[],0,0,12719,0,826
0,405795CB,49,405795CB.jpg,Yoga Bar Muesli fruit+ nuts + seeds 400g,"[""405795CB.jpg,"","","","",]
",325,218,33,1,5,39,0,0,0,0,0,0,1,2,0,0,0,0,,,,20/12/2054,0,1,5,4,1,0,[],0,0,12719,0,826
