id,tags
205775,13881|13882|13887|13891|13892|13893
262270,13881|13882|13885|13891|13892|13898
271326,13881|13882|13887|13891|13892|13897
271327,13881|13882|13887|13891|13892|13893
273217,13881|13882|13886|13891|13892|13895
273223,13881|13882|13886|13891|13892|13893
276402,13881|13882|13886|13891|13892|13896
292597,13881|13882|13886|13891|13892|13895
292607,13881|13882|13886|13891|13892|13893
292610,13881|13882|13886|13891|13892|13897
314324,13881|13882|13887|13891|13892|13893
315299,13881|13882|13887|13891|13892|13899
320630,13881|13882|13471|13891|13892|13898
332217,13881|13882|13887|13891|13892|13897
333847,13881|13882|13853|13891|13892|13898
335808,13881|13882|13887|13891|13892|13897
335868,13881|13882|13887|13891|13892|13896
336201,13881|13882|13887|13891|13892|13896
339021,13881|13882|13886|13891|13892|13899
339022,13881|13882|13886|13891|13892|13896
339023,13881|13882|13886|13891|13892|13893
339024,13881|13882|13886|13891|13892|13897
339025,13881|13882|13886|13891|13892|13895
341487,13881|13882|13887|13891|13892|13895
354198,13881|13882|13886|13891|13892|13897
355861,13881|13882|13887|13891|13892|13896
355862,13881|13882|13887|13891|13892|13893
355863,13881|13882|13887|13891|13892|13897
369615,13881|13882|13886|13891|13892|13896
369616,13881|13882|13886|13891|13892|13893
369617,13881|13882|13886|13891|13892|13897
374183,13881|13882|13887|13891|13892|13899
374957,13881|13882|13886|13891|13892|13896
374958,13881|13882|13886|13891|13892|13897
374959,13881|13882|13886|13891|13892|13893
376437,13881|13882|13887|13891|13892|13893
376440,13881|13882|13887|13891|13892|13895
379675,13881|13882|13887|13891|13892|13898
384417,13881|13882|13471|13891|13892|13896
384418,13881|13882|13471|13891|13892|13893
384419,13881|13882|13471|13891|13892|13897
384420,13881|13882|13471|13891|13892|13895
384778,13881|13882|13887|13891|13892|13896
385575,13881|13882|13886|13891|13892|13896
385577,13881|13882|13886|13891|13892|13897
387351,13881|13882|13884|13891|13892|13898
392009,13881|13882|13887|13891|13892|13897
392957,13881|13882|13888|13891|13892|13896
396932,13881|13882|13887|13891|13892|13897
398526,13881|13882|13887|13891|13892|13896
400936,13881|13882|13887|13891|13892|13895
409815,13881|13882|13889|13891|13892|13893
409816,13881|13882|13889|13891|13892|13897
409817,13881|13882|13889|13891|13892|13897
409818,13881|13882|13889|13891|13892|13893
409819,13881|13882|13889|13891|13892|13897
409820,13881|13882|13889|13891|13892|13896
412253,13881|13882|13889|13891|13892|13896
412254,13881|13882|13889|13891|13892|13893
412256,13881|13882|13889|13891|13892|13897
413399,13881|13882|13887|13891|13892|13896
413400,13881|13882|13887|13891|13892|13893
413401,13881|13882|13887|13891|13892|13897
413402,13881|13882|13887|13891|13892|13895
423143,13881|13882|13889|13891|13892|13896
273225,13881|13882|13886|13891|13892|13897
426712,13881|13882|13886|13891|13892|13897
426715,13881|13882|13886|13891|13892|13893
385576,13881|13882|13886|13891|13892|13893
298321,13881|13882|13886|13891|13892|13893
309135,13881|13882|13886|13891|13892|13896
298326,13881|13882|13886|13891|13892|13896
426713,13881|13882|13886|13891|13892|13895
426714,13881|13882|13886|13891|13892|13896
385578,13881|13882|13886|13891|13892|13895
408358,13881|13882|13471|13891|13892|13893
396927,13881|13882|13887|13891|13892|13896
396929,13881|13882|13887|13891|13892|13895
412401,13881|13882|13887|13891|13892|13897
381987,13881|13882|13887|13891|13892|13896
419527,13881|13882|13890|13891|13892|13897
419529,13881|13882|13890|13891|13892|13897
419528,13881|13882|13890|13891|13892|13897
419523,13881|13882|13890|13891|13892|13893
419525,13881|13882|13890|13891|13892|13893
419522,13881|13882|13890|13891|13892|13896
419524,13881|13882|13890|13891|13892|13896
419526,13881|13882|13890|13891|13892|13896
423142,13881|13882|13889|13891|13892|13895
