id,name,sub_cate_id
14568,groundnut oil in groceries,140
14569,edible oil and ghee in groceries,140
14570,refined sunflower oil,140
14571,moongaphalee ka tel,140
14572,kadalekayi enne,140
14573,peanut oil,140
14574,dhara groundnut oil,140
14575,dhara groundnut oil 5ltr,140
14576,dhara groundnut oil 1ltr,140
14577,idhayam groundnut oil ,140
14578,organic groundnut oil,140
14579,safal ground nut oil,140
14580,grb ghee ,140
14581,milky mist ghee 1ltr,140
14582,milky mist ghee,140
14583,mother dairy cow ghee,140
14584,nandini pure ghee,140
14585,pathajali cow ghee,140
14586,organic ghee,140
14587,aabad cow ghee,140
14588,aashirvad ghee,140
14589,thirumala ghee,140
14590,ghee 500ml,140
14591,ghee 200ml,140
14592,ghee 1ltr,140
14593,ghee pouch,140
14594,ghee tin,140
14595,cow ghee,140
14596,extra virgin olive oil 1ltr,140
14597,ghee 500ml jar,140
14598,ghee 500ml pouch,140
14599,ghee 1ltr tin,140
14600,ghee 200ml pet bottle,140
14601,extra virgin olive oil -2ltr,140
14602,ghee glass bottle,140
14603,ghee 500ml pet bottle,140
14604,ghee 1ltr pouch,140
14605,ghee 1ltr jar,140
14606,amul ghee 1ltr tetra pack,140
14607,pomace olive oil 1ltr,140
14608,pomace olive oil 5ltr,140
14609,pomace rifined cooking oil,140
14610,pomace olive oil in groceries,140
14611,pomace olive oil 1ltr pet bottle,140
14612,pomace olive oil 5ltr tin,140
14613,aro pomace olive oil,140
14614,cesar pomace olive oil,140
14615,oleev pomace olive oil,140
14616,extra light olive oil,140
14617,extra light olive oil 2ltr,140
14618,extra light olive oil 2ltr can,140
14619,extra light olive oil 5ltr can,140
14620,extra light olive oil 5ltr,140
14621,extra light olive oil 500ml,140
14622,borges extra light olive oil 2ltr,140
14623,borges extra light olive oil 5ltr,140
14624,oleev extra light olive oil 500ml,140
14625,oleev extra light olive oil 2ltr,140
14626,bertolli extra light olive oil 2ltr,140
14627,jivo extra light olive oil 5ltr tin,140
